Track,for,Erin,2001,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/5/2001,5:54:00,17.795,N,55.881,W
9/5/2001,5:56:00,17.797,N,55.888,W
9/5/2001,5:58:00,17.798,N,55.894,W
9/5/2001,6:00:00,17.8,N,55.9,W
9/5/2001,6:01:59,17.802,N,55.906,W
9/5/2001,6:03:59,17.803,N,55.912,W
9/5/2001,6:05:59,17.805,N,55.919,W
9/5/2001,6:07:59,17.807,N,55.925,W
9/5/2001,6:09:59,17.809,N,55.931,W
9/5/2001,6:11:59,17.81,N,55.937,W
9/5/2001,6:13:59,17.812,N,55.943,W
9/5/2001,6:16:00,17.814,N,55.95,W
9/5/2001,6:18:00,17.816,N,55.956,W
9/5/2001,6:20:00,17.817,N,55.962,W
9/5/2001,6:22:00,17.819,N,55.968,W
9/5/2001,6:24:00,17.821,N,55.974,W
9/5/2001,6:26:00,17.823,N,55.98,W
9/5/2001,6:28:00,17.824,N,55.987,W
9/5/2001,6:30:00,17.826,N,55.993,W
9/5/2001,6:31:59,17.828,N,55.999,W
9/5/2001,6:33:59,17.83,N,56.005,W
9/5/2001,6:35:59,17.831,N,56.011,W
9/5/2001,6:37:59,17.833,N,56.018,W
9/5/2001,6:39:59,17.835,N,56.024,W
9/5/2001,6:41:59,17.837,N,56.03,W
9/5/2001,6:43:59,17.838,N,56.036,W
9/5/2001,6:46:00,17.84,N,56.042,W
9/5/2001,6:48:00,17.842,N,56.048,W
9/5/2001,6:50:00,17.844,N,56.055,W
9/5/2001,6:52:00,17.845,N,56.061,W
9/5/2001,6:54:00,17.847,N,56.067,W
9/5/2001,6:56:00,17.849,N,56.073,W
9/5/2001,6:58:00,17.851,N,56.079,W
9/5/2001,7:00:00,17.852,N,56.086,W
9/5/2001,7:01:59,17.854,N,56.092,W
9/5/2001,7:03:59,17.856,N,56.098,W
9/5/2001,7:05:59,17.858,N,56.104,W
9/5/2001,7:07:59,17.859,N,56.11,W
9/5/2001,7:09:59,17.861,N,56.116,W
9/5/2001,7:11:59,17.863,N,56.123,W
9/5/2001,7:13:59,17.865,N,56.129,W
9/5/2001,7:16:00,17.866,N,56.135,W
9/5/2001,7:18:00,17.868,N,56.141,W
9/5/2001,7:20:00,17.87,N,56.147,W
9/5/2001,7:22:00,17.872,N,56.153,W
9/5/2001,7:24:00,17.873,N,56.16,W
9/5/2001,7:26:00,17.875,N,56.166,W
9/5/2001,7:28:00,17.877,N,56.172,W
9/5/2001,7:30:00,17.879,N,56.178,W
9/5/2001,7:31:59,17.88,N,56.184,W
9/5/2001,7:33:59,17.882,N,56.19,W
9/5/2001,7:35:59,17.884,N,56.197,W
9/5/2001,7:37:59,17.886,N,56.203,W
9/5/2001,7:39:59,17.887,N,56.209,W
9/5/2001,7:41:59,17.889,N,56.215,W
9/5/2001,7:43:59,17.891,N,56.221,W
9/5/2001,7:46:00,17.893,N,56.227,W
9/5/2001,7:48:00,17.894,N,56.234,W
9/5/2001,7:50:00,17.896,N,56.24,W
9/5/2001,7:52:00,17.898,N,56.246,W
9/5/2001,7:54:00,17.9,N,56.252,W
9/5/2001,7:56:00,17.902,N,56.258,W
9/5/2001,7:58:00,17.903,N,56.264,W
9/5/2001,8:00:00,17.905,N,56.27,W
9/5/2001,8:02:00,17.907,N,56.277,W
9/5/2001,8:03:59,17.909,N,56.283,W
9/5/2001,8:06:00,17.91,N,56.289,W
9/5/2001,8:07:59,17.912,N,56.295,W
9/5/2001,8:10:00,17.914,N,56.301,W
9/5/2001,8:11:59,17.916,N,56.307,W
9/5/2001,8:14:00,17.918,N,56.313,W
9/5/2001,8:15:59,17.919,N,56.32,W
9/5/2001,8:18:00,17.921,N,56.326,W
9/5/2001,8:19:59,17.923,N,56.332,W
9/5/2001,8:22:00,17.925,N,56.338,W
9/5/2001,8:23:59,17.926,N,56.344,W
9/5/2001,8:26:00,17.928,N,56.35,W
9/5/2001,8:27:59,17.93,N,56.356,W
9/5/2001,8:30:00,17.932,N,56.363,W
9/5/2001,8:32:00,17.934,N,56.369,W
9/5/2001,8:33:59,17.935,N,56.375,W
9/5/2001,8:36:00,17.937,N,56.381,W
9/5/2001,8:37:59,17.939,N,56.387,W
9/5/2001,8:40:00,17.941,N,56.393,W
9/5/2001,8:41:59,17.943,N,56.399,W
9/5/2001,8:44:00,17.944,N,56.405,W
9/5/2001,8:45:59,17.946,N,56.411,W
9/5/2001,8:48:00,17.948,N,56.418,W
9/5/2001,8:49:59,17.95,N,56.424,W
9/5/2001,8:52:00,17.952,N,56.43,W
9/5/2001,8:53:59,17.953,N,56.436,W
9/5/2001,8:56:00,17.955,N,56.442,W
9/5/2001,8:57:59,17.957,N,56.448,W
9/5/2001,9:00:00,17.959,N,56.454,W
9/5/2001,9:02:00,17.961,N,56.46,W
9/5/2001,9:03:59,17.963,N,56.466,W
9/5/2001,9:06:00,17.964,N,56.472,W
9/5/2001,9:07:59,17.966,N,56.479,W
