Track,for,Erin,2007,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/14/2007,18:28:08,23.337,N,90.004,W,0
8/14/2007,18:30:09,23.335,N,90.007,W,0
8/14/2007,18:32:09,23.333,N,90.009,W,0
8/14/2007,18:34:08,23.331,N,90.012,W,0
8/14/2007,18:36:09,23.329,N,90.015,W,0
8/14/2007,18:38:09,23.327,N,90.017,W,0
8/14/2007,18:40:08,23.325,N,90.02,W,0
8/14/2007,18:42:08,23.323,N,90.022,W,0
8/14/2007,18:44:09,23.322,N,90.025,W,0
8/14/2007,18:46:09,23.32,N,90.027,W,0
8/14/2007,18:48:08,23.318,N,90.03,W,0
8/14/2007,18:50:08,23.316,N,90.033,W,0
8/14/2007,18:52:09,23.314,N,90.035,W,0
8/14/2007,18:54:09,23.313,N,90.038,W,0
8/14/2007,18:56:08,23.311,N,90.04,W,0
8/14/2007,18:58:08,23.31,N,90.043,W,0
8/14/2007,19:00:09,23.308,N,90.046,W,0
8/14/2007,19:02:09,23.307,N,90.049,W,0
8/14/2007,19:04:08,23.306,N,90.051,W,0
8/14/2007,19:06:09,23.305,N,90.054,W,0
8/14/2007,19:08:09,23.304,N,90.057,W,0
8/14/2007,19:10:08,23.303,N,90.06,W,0
8/14/2007,19:12:08,23.302,N,90.062,W,0
8/14/2007,19:14:09,23.301,N,90.065,W,0
8/14/2007,19:16:09,23.301,N,90.068,W,0
8/14/2007,19:18:08,23.3,N,90.071,W,0
8/14/2007,19:20:08,23.3,N,90.074,W,0
8/14/2007,19:22:09,23.3,N,90.077,W,0
8/14/2007,19:24:09,23.3,N,90.08,W,0
8/14/2007,19:26:08,23.3,N,90.084,W,0
8/14/2007,19:28:08,23.301,N,90.087,W,0
8/14/2007,19:30:09,23.301,N,90.09,W,0
8/14/2007,19:32:09,23.302,N,90.093,W,0
8/14/2007,19:34:08,23.303,N,90.097,W,0
8/14/2007,19:36:09,23.304,N,90.1,W,0
8/14/2007,19:38:09,23.306,N,90.103,W,0
8/14/2007,19:40:08,23.307,N,90.107,W,0
8/14/2007,19:42:08,23.309,N,90.11,W,0
8/14/2007,19:44:09,23.311,N,90.114,W,0
8/14/2007,19:46:09,23.313,N,90.118,W,0
8/14/2007,19:48:08,23.316,N,90.121,W,0
8/14/2007,19:50:08,23.319,N,90.125,W,0
8/14/2007,19:52:09,23.322,N,90.129,W,0
8/14/2007,19:54:09,23.325,N,90.133,W,0
8/14/2007,19:56:08,23.328,N,90.137,W,0
8/14/2007,19:58:08,23.332,N,90.141,W,0
8/14/2007,20:00:09,23.336,N,90.145,W,0
8/14/2007,20:02:09,23.341,N,90.149,W,0
8/14/2007,20:04:08,23.345,N,90.154,W,0
8/14/2007,20:06:09,23.35,N,90.158,W,0
8/14/2007,20:08:09,23.355,N,90.163,W,0
8/14/2007,20:10:08,23.361,N,90.167,W,0
8/14/2007,20:12:08,23.367,N,90.172,W,0
8/14/2007,20:14:09,23.373,N,90.177,W,0
8/14/2007,20:16:09,23.38,N,90.181,W,0
8/14/2007,20:18:08,23.387,N,90.186,W,0
