Track,for,Fabian,2003,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/1/2003,0:00:00,18.3,N,54.3,W
9/1/2003,0:02:00,18.301,N,54.306,W
9/1/2003,0:04:00,18.302,N,54.312,W
9/1/2003,0:06:00,18.303,N,54.318,W
9/1/2003,0:08:00,18.304,N,54.325,W
9/1/2003,0:10:00,18.305,N,54.331,W
9/1/2003,0:12:00,18.306,N,54.337,W
9/1/2003,0:14:00,18.307,N,54.343,W
9/1/2003,0:16:00,18.309,N,54.349,W
9/1/2003,0:18:00,18.31,N,54.355,W
9/1/2003,0:20:00,18.311,N,54.362,W
9/1/2003,0:22:00,18.312,N,54.368,W
9/1/2003,0:24:00,18.313,N,54.374,W
9/1/2003,0:26:00,18.314,N,54.38,W
9/1/2003,0:28:00,18.315,N,54.386,W
9/1/2003,0:30:00,18.316,N,54.392,W
9/1/2003,0:32:00,18.317,N,54.398,W
9/1/2003,0:34:00,18.318,N,54.405,W
9/1/2003,0:36:00,18.319,N,54.411,W
9/1/2003,0:38:00,18.32,N,54.417,W
9/1/2003,0:40:00,18.321,N,54.423,W
9/1/2003,0:42:00,18.322,N,54.429,W
9/1/2003,0:44:00,18.323,N,54.435,W
9/1/2003,0:46:00,18.325,N,54.441,W
9/1/2003,0:48:00,18.326,N,54.448,W
9/1/2003,0:50:00,18.327,N,54.454,W
9/1/2003,0:52:00,18.328,N,54.46,W
9/1/2003,0:54:00,18.329,N,54.466,W
9/1/2003,0:56:00,18.33,N,54.472,W
9/1/2003,0:58:00,18.331,N,54.478,W
9/1/2003,1:00:00,18.332,N,54.484,W
9/1/2003,1:01:59,18.333,N,54.491,W
9/1/2003,1:04:00,18.334,N,54.497,W
9/1/2003,1:06:00,18.335,N,54.503,W
9/1/2003,1:07:59,18.336,N,54.509,W
9/1/2003,1:09:59,18.337,N,54.515,W
9/1/2003,1:12:00,18.338,N,54.521,W
9/1/2003,1:14:00,18.339,N,54.527,W
9/1/2003,1:15:59,18.34,N,54.533,W
9/1/2003,1:17:59,18.342,N,54.539,W
9/1/2003,1:20:00,18.343,N,54.546,W
9/1/2003,1:22:00,18.344,N,54.552,W
9/1/2003,1:23:59,18.345,N,54.558,W
9/1/2003,1:25:59,18.346,N,54.564,W
9/1/2003,1:28:00,18.347,N,54.57,W
9/1/2003,1:30:00,18.348,N,54.576,W
9/1/2003,1:31:59,18.349,N,54.582,W
9/1/2003,1:34:00,18.35,N,54.588,W
9/1/2003,1:36:00,18.351,N,54.594,W
9/1/2003,1:38:00,18.352,N,54.6,W
9/1/2003,1:39:59,18.353,N,54.606,W
9/1/2003,1:42:00,18.354,N,54.612,W
9/1/2003,1:44:00,18.355,N,54.618,W
9/1/2003,1:46:00,18.356,N,54.625,W
9/1/2003,1:47:59,18.357,N,54.631,W
9/1/2003,1:50:00,18.358,N,54.637,W
9/1/2003,1:52:00,18.359,N,54.643,W
9/1/2003,1:54:00,18.36,N,54.649,W
9/1/2003,1:55:59,18.361,N,54.655,W
9/1/2003,1:58:00,18.362,N,54.661,W
9/1/2003,2:00:00,18.363,N,54.667,W
9/1/2003,2:01:59,18.364,N,54.673,W
9/1/2003,2:03:59,18.366,N,54.679,W
9/1/2003,2:05:59,18.367,N,54.685,W
9/1/2003,2:08:00,18.368,N,54.691,W
9/1/2003,2:10:00,18.369,N,54.697,W
9/1/2003,2:12:00,18.37,N,54.703,W
9/1/2003,2:14:00,18.371,N,54.709,W
9/1/2003,2:15:59,18.372,N,54.715,W
9/1/2003,2:17:59,18.373,N,54.721,W
9/1/2003,2:19:59,18.374,N,54.727,W
9/1/2003,2:21:59,18.375,N,54.733,W
9/1/2003,2:24:00,18.376,N,54.739,W
9/1/2003,2:26:00,18.377,N,54.745,W
9/1/2003,2:28:00,18.378,N,54.751,W
9/1/2003,2:30:00,18.379,N,54.757,W
9/1/2003,2:31:59,18.38,N,54.763,W
9/1/2003,2:33:59,18.381,N,54.769,W
9/1/2003,2:35:59,18.382,N,54.775,W
9/1/2003,2:38:00,18.383,N,54.781,W
9/1/2003,2:40:00,18.384,N,54.786,W
9/1/2003,2:42:00,18.385,N,54.792,W
9/1/2003,2:44:00,18.386,N,54.798,W
9/1/2003,2:46:00,18.387,N,54.804,W
9/1/2003,2:47:59,18.388,N,54.81,W
9/1/2003,2:49:59,18.389,N,54.816,W
9/1/2003,2:51:59,18.39,N,54.822,W
9/1/2003,2:54:00,18.391,N,54.828,W
9/1/2003,2:56:00,18.392,N,54.834,W
9/1/2003,2:58:00,18.393,N,54.84,W
9/1/2003,3:00:00,18.394,N,54.845,W
9/1/2003,3:01:59,18.395,N,54.851,W
9/1/2003,3:03:59,18.396,N,54.857,W
9/1/2003,3:05:59,18.397,N,54.863,W
9/1/2003,3:08:00,18.398,N,54.869,W
9/1/2003,3:10:00,18.399,N,54.875,W
9/1/2003,3:12:00,18.4,N,54.881,W
9/1/2003,3:14:00,18.401,N,54.886,W
