Track,for,Felix,2007,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/31/2007,11:53:59,11.509,N,56.572,W
8/31/2007,11:56:00,11.506,N,56.582,W
8/31/2007,11:57:59,11.503,N,56.591,W
8/31/2007,12:00:00,11.5,N,56.6,W
8/31/2007,12:02:00,11.497,N,56.609,W
8/31/2007,12:03:59,11.494,N,56.618,W
8/31/2007,12:06:00,11.491,N,56.628,W
8/31/2007,12:07:59,11.489,N,56.637,W
8/31/2007,12:10:00,11.486,N,56.646,W
8/31/2007,12:11:59,11.483,N,56.655,W
8/31/2007,12:14:00,11.48,N,56.665,W
8/31/2007,12:15:59,11.477,N,56.674,W
8/31/2007,12:18:00,11.474,N,56.683,W
8/31/2007,12:19:59,11.472,N,56.692,W
8/31/2007,12:22:00,11.469,N,56.702,W
8/31/2007,12:23:59,11.466,N,56.711,W
8/31/2007,12:26:00,11.463,N,56.72,W
8/31/2007,12:27:59,11.46,N,56.729,W
8/31/2007,12:30:00,11.457,N,56.738,W
8/31/2007,12:32:00,11.455,N,56.748,W
8/31/2007,12:33:59,11.452,N,56.757,W
8/31/2007,12:36:00,11.449,N,56.766,W
8/31/2007,12:37:59,11.446,N,56.775,W
8/31/2007,12:40:00,11.443,N,56.784,W
8/31/2007,12:41:59,11.441,N,56.794,W
8/31/2007,12:44:00,11.438,N,56.803,W
8/31/2007,12:45:59,11.435,N,56.812,W
8/31/2007,12:48:00,11.432,N,56.821,W
8/31/2007,12:49:59,11.43,N,56.83,W
8/31/2007,12:52:00,11.427,N,56.839,W
8/31/2007,12:53:59,11.424,N,56.849,W
8/31/2007,12:56:00,11.422,N,56.858,W
8/31/2007,12:57:59,11.419,N,56.867,W
8/31/2007,13:00:00,11.416,N,56.876,W
8/31/2007,13:02:00,11.414,N,56.885,W
8/31/2007,13:03:59,11.411,N,56.894,W
8/31/2007,13:06:00,11.408,N,56.903,W
8/31/2007,13:07:59,11.406,N,56.912,W
8/31/2007,13:10:00,11.403,N,56.922,W
8/31/2007,13:11:59,11.4,N,56.931,W
8/31/2007,13:14:00,11.398,N,56.94,W
8/31/2007,13:15:59,11.395,N,56.949,W
8/31/2007,13:18:00,11.393,N,56.958,W
8/31/2007,13:19:59,11.39,N,56.967,W
8/31/2007,13:22:00,11.388,N,56.976,W
8/31/2007,13:23:59,11.385,N,56.985,W
8/31/2007,13:26:00,11.383,N,56.994,W
8/31/2007,13:27:59,11.38,N,57.003,W
8/31/2007,13:30:00,11.378,N,57.012,W
8/31/2007,13:32:00,11.375,N,57.021,W
8/31/2007,13:33:59,11.373,N,57.03,W
8/31/2007,13:36:00,11.37,N,57.039,W
8/31/2007,13:37:59,11.368,N,57.048,W
8/31/2007,13:40:00,11.366,N,57.057,W
8/31/2007,13:41:59,11.363,N,57.066,W
8/31/2007,13:44:00,11.361,N,57.075,W
8/31/2007,13:45:59,11.359,N,57.084,W
8/31/2007,13:48:00,11.357,N,57.092,W
8/31/2007,13:49:59,11.354,N,57.101,W
8/31/2007,13:52:00,11.352,N,57.11,W
8/31/2007,13:53:59,11.35,N,57.119,W
8/31/2007,13:56:00,11.348,N,57.128,W
8/31/2007,13:57:59,11.346,N,57.137,W
8/31/2007,14:00:00,11.343,N,57.145,W
8/31/2007,14:02:00,11.341,N,57.154,W
8/31/2007,14:03:59,11.339,N,57.163,W
8/31/2007,14:06:00,11.337,N,57.172,W
8/31/2007,14:07:59,11.335,N,57.18,W
8/31/2007,14:10:00,11.333,N,57.189,W
8/31/2007,14:11:59,11.331,N,57.198,W
8/31/2007,14:14:00,11.329,N,57.207,W
8/31/2007,14:15:59,11.327,N,57.215,W
8/31/2007,14:18:00,11.325,N,57.224,W
8/31/2007,14:19:59,11.324,N,57.233,W
8/31/2007,14:22:00,11.322,N,57.241,W
8/31/2007,14:23:59,11.32,N,57.25,W
8/31/2007,14:26:00,11.318,N,57.258,W
8/31/2007,14:27:59,11.316,N,57.267,W
8/31/2007,14:30:00,11.315,N,57.276,W
8/31/2007,14:32:00,11.313,N,57.284,W
8/31/2007,14:33:59,11.311,N,57.293,W
8/31/2007,14:36:00,11.31,N,57.301,W
8/31/2007,14:37:59,11.308,N,57.31,W
8/31/2007,14:40:00,11.307,N,57.318,W
8/31/2007,14:41:59,11.305,N,57.326,W
8/31/2007,14:44:00,11.304,N,57.335,W
8/31/2007,14:45:59,11.302,N,57.343,W
8/31/2007,14:48:00,11.301,N,57.352,W
8/31/2007,14:49:59,11.299,N,57.36,W
8/31/2007,14:52:00,11.298,N,57.368,W
8/31/2007,14:53:59,11.297,N,57.377,W
8/31/2007,14:56:00,11.295,N,57.385,W
8/31/2007,14:57:59,11.294,N,57.393,W
8/31/2007,15:00:00,11.293,N,57.402,W
8/31/2007,15:02:00,11.292,N,57.41,W
8/31/2007,15:03:59,11.291,N,57.418,W
8/31/2007,15:06:00,11.289,N,57.426,W
8/31/2007,15:07:59,11.288,N,57.434,W
