Track,for,Fernand,2013,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/25/2013,17:53:59,18.893,N,95.086,W,0
8/25/2013,17:55:59,18.896,N,95.09,W,0
8/25/2013,17:58:00,18.898,N,95.095,W,0
8/25/2013,18:00:00,18.9,N,95.1,W,0
8/25/2013,18:01:59,18.902,N,95.105,W,0
8/25/2013,18:04:00,18.904,N,95.109,W,0
8/25/2013,18:06:00,18.907,N,95.114,W,0
8/25/2013,18:07:59,18.909,N,95.119,W,0
8/25/2013,18:09:59,18.911,N,95.124,W,0
8/25/2013,18:12:00,18.913,N,95.128,W,0
8/25/2013,18:14:00,18.915,N,95.133,W,0
8/25/2013,18:15:59,18.917,N,95.138,W,0
8/25/2013,18:17:59,18.92,N,95.143,W,0
8/25/2013,18:20:00,18.922,N,95.147,W,0
8/25/2013,18:22:00,18.924,N,95.152,W,0
8/25/2013,18:23:59,18.926,N,95.157,W,0
8/25/2013,18:25:59,18.928,N,95.162,W,0
8/25/2013,18:28:00,18.93,N,95.166,W,0
8/25/2013,18:30:00,18.932,N,95.171,W,0
8/25/2013,18:31:59,18.935,N,95.176,W,0
8/25/2013,18:34:00,18.937,N,95.181,W,0
8/25/2013,18:36:00,18.939,N,95.185,W,0
8/25/2013,18:37:59,18.941,N,95.19,W,0
8/25/2013,18:39:59,18.943,N,95.195,W,0
8/25/2013,18:42:00,18.945,N,95.2,W,0
8/25/2013,18:44:00,18.947,N,95.204,W,0
8/25/2013,18:45:59,18.949,N,95.209,W,0
8/25/2013,18:47:59,18.952,N,95.214,W,0
8/25/2013,18:50:00,18.954,N,95.218,W,0
8/25/2013,18:52:00,18.956,N,95.223,W,0
8/25/2013,18:53:59,18.958,N,95.228,W,0
8/25/2013,18:55:59,18.96,N,95.232,W,0
8/25/2013,18:58:00,18.962,N,95.237,W,0
8/25/2013,19:00:00,18.964,N,95.242,W,0
8/25/2013,19:01:59,18.966,N,95.246,W,0
8/25/2013,19:04:00,18.968,N,95.251,W,0
8/25/2013,19:06:00,18.97,N,95.256,W,0
8/25/2013,19:07:59,18.972,N,95.26,W,0
8/25/2013,19:09:59,18.974,N,95.265,W,0
8/25/2013,19:12:00,18.976,N,95.27,W,0
8/25/2013,19:14:00,18.978,N,95.274,W,0
8/25/2013,19:15:59,18.98,N,95.279,W,0
8/25/2013,19:17:59,18.982,N,95.284,W,0
8/25/2013,19:20:00,18.984,N,95.288,W,0
8/25/2013,19:22:00,18.986,N,95.293,W,0
8/25/2013,19:23:59,18.988,N,95.297,W,0
8/25/2013,19:25:59,18.99,N,95.302,W,0
8/25/2013,19:28:00,18.992,N,95.307,W,0
8/25/2013,19:30:00,18.994,N,95.311,W,0
8/25/2013,19:31:59,18.996,N,95.316,W,0
8/25/2013,19:34:00,18.998,N,95.32,W,0
8/25/2013,19:36:00,19,N,95.325,W,0
8/25/2013,19:37:59,19.001,N,95.33,W,0
8/25/2013,19:39:59,19.003,N,95.334,W,0
8/25/2013,19:42:00,19.005,N,95.339,W,0
8/25/2013,19:44:00,19.007,N,95.343,W,0
