Track,for,Fiona,2010,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
8/31/2010,5:54:00,15.896,N,52.461,W,0
8/31/2010,5:56:00,15.898,N,52.474,W,0
8/31/2010,5:58:00,15.899,N,52.487,W,0
8/31/2010,6:00:00,15.9,N,52.5,W,0
8/31/2010,6:01:59,15.901,N,52.513,W,0
8/31/2010,6:03:59,15.902,N,52.526,W,0
8/31/2010,6:05:59,15.904,N,52.539,W,0
8/31/2010,6:07:59,15.905,N,52.552,W,0
8/31/2010,6:09:59,15.906,N,52.565,W,0
8/31/2010,6:11:59,15.907,N,52.578,W,0
8/31/2010,6:13:59,15.908,N,52.591,W,0
8/31/2010,6:16:00,15.909,N,52.604,W,0
8/31/2010,6:18:00,15.911,N,52.617,W,0
8/31/2010,6:20:00,15.912,N,52.63,W,0
8/31/2010,6:22:00,15.913,N,52.643,W,0
8/31/2010,6:24:00,15.914,N,52.656,W,0
8/31/2010,6:26:00,15.915,N,52.669,W,0
8/31/2010,6:28:00,15.916,N,52.682,W,0
8/31/2010,6:30:00,15.918,N,52.695,W,0
8/31/2010,6:31:59,15.919,N,52.708,W,0
8/31/2010,6:33:59,15.92,N,52.721,W,0
8/31/2010,6:35:59,15.921,N,52.734,W,0
8/31/2010,6:37:59,15.922,N,52.747,W,0
8/31/2010,6:39:59,15.923,N,52.76,W,0
8/31/2010,6:41:59,15.925,N,52.773,W,0
8/31/2010,6:43:59,15.926,N,52.786,W,0
8/31/2010,6:46:00,15.927,N,52.799,W,0
8/31/2010,6:48:00,15.928,N,52.812,W,0
8/31/2010,6:50:00,15.929,N,52.825,W,0
8/31/2010,6:52:00,15.93,N,52.838,W,0
8/31/2010,6:54:00,15.932,N,52.851,W,0
8/31/2010,6:56:00,15.933,N,52.864,W,0
8/31/2010,6:58:00,15.934,N,52.876,W,0
8/31/2010,7:00:00,15.935,N,52.889,W,0
8/31/2010,7:01:59,15.936,N,52.902,W,0
8/31/2010,7:03:59,15.937,N,52.915,W,0
8/31/2010,7:05:59,15.939,N,52.928,W,0
8/31/2010,7:07:59,15.94,N,52.941,W,0
8/31/2010,7:09:59,15.941,N,52.954,W,0
8/31/2010,7:11:59,15.942,N,52.967,W,0
8/31/2010,7:13:59,15.943,N,52.98,W,0
8/31/2010,7:16:00,15.944,N,52.993,W,0
8/31/2010,7:18:00,15.946,N,53.006,W,0
8/31/2010,7:20:00,15.947,N,53.019,W,0
8/31/2010,7:22:00,15.948,N,53.032,W,0
8/31/2010,7:24:00,15.949,N,53.045,W,0
8/31/2010,7:26:00,15.95,N,53.058,W,0
8/31/2010,7:28:00,15.951,N,53.071,W,0
8/31/2010,7:30:00,15.952,N,53.084,W,0
8/31/2010,7:31:59,15.954,N,53.097,W,0
8/31/2010,7:33:59,15.955,N,53.11,W,0
8/31/2010,7:35:59,15.956,N,53.123,W,0
8/31/2010,7:37:59,15.957,N,53.136,W,0
8/31/2010,7:39:59,15.958,N,53.149,W,0
8/31/2010,7:41:59,15.959,N,53.162,W,0
8/31/2010,7:43:59,15.961,N,53.174,W,0
