Track,for,Florence,2006,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/8/2006,23:53:59,22.678,N,60.98,W,1
9/8/2006,23:55:59,22.685,N,60.986,W,1
9/8/2006,23:58:00,22.693,N,60.993,W,1
9/9/2006,0:00:00,22.7,N,61,W,1
9/9/2006,0:02:00,22.707,N,61.007,W,1
9/9/2006,0:04:00,22.715,N,61.014,W,1
9/9/2006,0:06:00,22.722,N,61.02,W,1
9/9/2006,0:08:00,22.73,N,61.027,W,1
9/9/2006,0:10:00,22.737,N,61.034,W,1
9/9/2006,0:12:00,22.744,N,61.041,W,1
9/9/2006,0:14:00,22.752,N,61.048,W,1
9/9/2006,0:16:00,22.759,N,61.055,W,1
9/9/2006,0:18:00,22.766,N,61.061,W,1
9/9/2006,0:20:00,22.774,N,61.068,W,1
9/9/2006,0:22:00,22.781,N,61.075,W,1
9/9/2006,0:24:00,22.789,N,61.082,W,1
9/9/2006,0:26:00,22.796,N,61.089,W,1
9/9/2006,0:28:00,22.803,N,61.096,W,1
9/9/2006,0:30:00,22.811,N,61.102,W,1
9/9/2006,0:32:00,22.818,N,61.109,W,1
9/9/2006,0:34:00,22.825,N,61.116,W,1
9/9/2006,0:36:00,22.833,N,61.123,W,1
9/9/2006,0:38:00,22.84,N,61.13,W,1
9/9/2006,0:40:00,22.847,N,61.137,W,1
9/9/2006,0:42:00,22.855,N,61.143,W,1
9/9/2006,0:44:00,22.862,N,61.15,W,1
9/9/2006,0:46:00,22.87,N,61.157,W,1
9/9/2006,0:48:00,22.877,N,61.164,W,1
9/9/2006,0:50:00,22.884,N,61.171,W,1
9/9/2006,0:52:00,22.892,N,61.178,W,1
9/9/2006,0:54:00,22.899,N,61.185,W,1
9/9/2006,0:56:00,22.906,N,61.191,W,1
9/9/2006,0:58:00,22.913,N,61.198,W,1
9/9/2006,1:00:00,22.921,N,61.205,W,1
9/9/2006,1:01:59,22.928,N,61.212,W,1
9/9/2006,1:04:00,22.935,N,61.219,W,1
9/9/2006,1:06:00,22.943,N,61.226,W,1
9/9/2006,1:07:59,22.95,N,61.233,W,1
9/9/2006,1:09:59,22.957,N,61.239,W,1
9/9/2006,1:12:00,22.964,N,61.246,W,1
9/9/2006,1:14:00,22.972,N,61.253,W,1
9/9/2006,1:15:59,22.979,N,61.26,W,1
9/9/2006,1:17:59,22.986,N,61.267,W,1
9/9/2006,1:20:00,22.993,N,61.274,W,1
9/9/2006,1:22:00,23.001,N,61.281,W,1
9/9/2006,1:23:59,23.008,N,61.288,W,1
9/9/2006,1:25:59,23.015,N,61.294,W,1
9/9/2006,1:28:00,23.022,N,61.301,W,1
9/9/2006,1:30:00,23.03,N,61.308,W,1
9/9/2006,1:31:59,23.037,N,61.315,W,1
9/9/2006,1:34:00,23.044,N,61.322,W,1
9/9/2006,1:36:00,23.051,N,61.329,W,1
9/9/2006,1:38:00,23.058,N,61.336,W,1
9/9/2006,1:39:59,23.065,N,61.343,W,1
9/9/2006,1:42:00,23.073,N,61.35,W,1
9/9/2006,1:44:00,23.08,N,61.357,W,1
