Track,for,Franklin,2017,,,,
Date,Time,(UTC),Latitude,Longitude,,,
MM/DD/Year,HH:MM:SS,(deg),(deg),,,,
8/7/2017,17:14:09,17.964,N,85.184,W,-4.64,5.91
8/7/2017,17:16:09,17.97,N,85.189,W,-4.64,5.91
8/7/2017,17:18:10,17.977,N,85.195,W,-4.64,5.91
8/7/2017,17:20:09,17.983,N,85.2,W,-4.64,5.91
8/7/2017,17:22:09,17.989,N,85.205,W,-4.64,5.91
8/7/2017,17:24:10,17.996,N,85.211,W,-4.64,5.91
8/7/2017,17:26:10,18.002,N,85.216,W,-4.64,5.91
8/7/2017,17:28:09,18.009,N,85.221,W,-4.64,5.91
8/7/2017,17:30:09,18.015,N,85.226,W,-4.64,5.91
8/7/2017,17:32:10,18.021,N,85.232,W,-4.65,5.9
8/7/2017,17:34:10,18.028,N,85.237,W,-4.65,5.9
8/7/2017,17:36:09,18.034,N,85.242,W,-4.66,5.9
8/7/2017,17:38:09,18.04,N,85.247,W,-4.66,5.9
8/7/2017,17:40:10,18.047,N,85.253,W,-4.67,5.9
8/7/2017,17:42:10,18.053,N,85.258,W,-4.67,5.89
8/7/2017,17:44:09,18.059,N,85.263,W,-4.68,5.89
8/7/2017,17:46:09,18.066,N,85.269,W,-4.69,5.89
8/7/2017,17:48:10,18.072,N,85.274,W,-4.7,5.88
8/7/2017,17:50:09,18.078,N,85.279,W,-4.71,5.88
8/7/2017,17:52:09,18.085,N,85.285,W,-4.72,5.87
8/7/2017,17:54:10,18.091,N,85.29,W,-4.73,5.87
8/7/2017,17:56:10,18.097,N,85.295,W,-4.74,5.86
8/7/2017,17:58:09,18.104,N,85.301,W,-4.75,5.86
8/7/2017,18:00:09,18.11,N,85.306,W,-4.76,5.85
8/7/2017,18:02:10,18.116,N,85.312,W,-4.78,5.85
8/7/2017,18:04:10,18.123,N,85.317,W,-4.79,5.84
8/7/2017,18:06:09,18.129,N,85.322,W,-4.8,5.83
8/7/2017,18:08:09,18.135,N,85.328,W,-4.82,5.83
8/7/2017,18:10:10,18.142,N,85.333,W,-4.84,5.82
8/7/2017,18:12:10,18.148,N,85.339,W,-4.85,5.81
8/7/2017,18:14:09,18.154,N,85.344,W,-4.87,5.81
8/7/2017,18:16:09,18.16,N,85.35,W,-4.89,5.8
8/7/2017,18:18:10,18.167,N,85.356,W,-4.9,5.79
8/7/2017,18:20:09,18.173,N,85.361,W,-4.92,5.78
8/7/2017,18:22:09,18.179,N,85.367,W,-4.94,5.77
8/7/2017,18:24:10,18.185,N,85.372,W,-4.96,5.76
8/7/2017,18:26:10,18.192,N,85.378,W,-4.98,5.76
8/7/2017,18:28:09,18.198,N,85.384,W,-5.01,5.75
8/7/2017,18:30:09,18.204,N,85.389,W,-5.03,5.74
8/7/2017,18:32:10,18.21,N,85.395,W,-5.05,5.73
8/7/2017,18:34:10,18.216,N,85.401,W,-5.07,5.72
8/7/2017,18:36:09,18.223,N,85.407,W,-5.1,5.71
8/7/2017,18:38:09,18.229,N,85.412,W,-5.12,5.69
8/7/2017,18:40:10,18.235,N,85.418,W,-5.15,5.68
8/7/2017,18:42:10,18.241,N,85.424,W,-5.17,5.67
8/7/2017,18:44:09,18.247,N,85.43,W,-5.2,5.66
8/7/2017,18:46:09,18.253,N,85.436,W,-5.23,5.65
8/7/2017,18:48:10,18.259,N,85.442,W,-5.26,5.64
8/7/2017,18:50:09,18.265,N,85.448,W,-5.28,5.62
8/7/2017,18:52:09,18.271,N,85.454,W,-5.31,5.61
8/7/2017,18:54:10,18.277,N,85.46,W,-5.34,5.6
8/7/2017,18:56:10,18.283,N,85.466,W,-5.37,5.58
8/7/2017,18:58:09,18.29,N,85.472,W,-5.41,5.57
8/7/2017,19:00:09,18.296,N,85.478,W,-5.44,5.56
8/7/2017,19:02:10,18.301,N,85.485,W,-5.47,5.54
8/7/2017,19:04:10,18.307,N,85.491,W,-5.5,5.53
8/7/2017,19:06:09,18.313,N,85.497,W,-5.54,5.51
8/7/2017,19:08:09,18.319,N,85.503,W,-5.57,5.5
8/7/2017,19:10:10,18.325,N,85.51,W,-5.61,5.48
8/7/2017,19:12:10,18.331,N,85.516,W,-5.64,5.47
8/7/2017,19:14:09,18.337,N,85.523,W,-5.68,5.45
8/7/2017,19:16:09,18.343,N,85.529,W,-5.72,5.43
8/7/2017,19:18:10,18.349,N,85.536,W,-5.75,5.42
8/7/2017,19:20:09,18.355,N,85.542,W,-5.79,5.4
8/7/2017,19:22:09,18.36,N,85.549,W,-5.83,5.38
8/7/2017,19:24:10,18.366,N,85.555,W,-5.87,5.37
8/7/2017,19:26:10,18.372,N,85.562,W,-5.91,5.35
8/7/2017,19:28:09,18.378,N,85.569,W,-5.95,5.33
8/7/2017,19:30:09,18.384,N,85.576,W,-5.99,5.31
8/7/2017,19:32:10,18.389,N,85.582,W,-6.03,5.29
8/7/2017,19:34:10,18.395,N,85.589,W,-6.08,5.28
8/7/2017,19:36:09,18.401,N,85.596,W,-6.12,5.26
