Track,for,Gabrielle,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/12/2001,21:38:01,25.094,N,85.248,W,1
9/12/2001,21:40:01,25.099,N,85.252,W,1
9/12/2001,21:42:00,25.103,N,85.256,W,1
9/12/2001,21:44:01,25.108,N,85.26,W,1
9/12/2001,21:46:01,25.113,N,85.264,W,1
9/12/2001,21:48:00,25.117,N,85.268,W,1
9/12/2001,21:50:00,25.122,N,85.272,W,1
9/12/2001,21:52:01,25.127,N,85.276,W,1
9/12/2001,21:54:01,25.131,N,85.279,W,1
9/12/2001,21:56:00,25.136,N,85.283,W,1
9/12/2001,21:58:00,25.14,N,85.287,W,1
9/12/2001,22:00:01,25.145,N,85.291,W,1
9/12/2001,22:02:01,25.149,N,85.295,W,1
9/12/2001,22:04:00,25.154,N,85.299,W,1
9/12/2001,22:06:00,25.158,N,85.303,W,1
9/12/2001,22:08:01,25.163,N,85.307,W,1
9/12/2001,22:10:01,25.167,N,85.311,W,1
9/12/2001,22:12:00,25.171,N,85.315,W,1
9/12/2001,22:14:01,25.175,N,85.319,W,1
9/12/2001,22:16:01,25.18,N,85.323,W,1
9/12/2001,22:18:00,25.184,N,85.328,W,1
9/12/2001,22:20:00,25.188,N,85.332,W,1
9/12/2001,22:22:01,25.191,N,85.336,W,1
9/12/2001,22:24:01,25.195,N,85.34,W,1
9/12/2001,22:26:00,25.199,N,85.345,W,1
9/12/2001,22:28:00,25.203,N,85.349,W,1
9/12/2001,22:30:01,25.206,N,85.353,W,1
9/12/2001,22:32:01,25.21,N,85.358,W,1
9/12/2001,22:34:00,25.213,N,85.362,W,1
9/12/2001,22:36:00,25.216,N,85.367,W,1
9/12/2001,22:38:01,25.219,N,85.372,W,1
9/12/2001,22:40:01,25.222,N,85.376,W,1
9/12/2001,22:42:00,25.225,N,85.381,W,1
9/12/2001,22:44:01,25.228,N,85.386,W,1
9/12/2001,22:46:01,25.23,N,85.391,W,1
9/12/2001,22:48:00,25.233,N,85.396,W,1
9/12/2001,22:50:00,25.235,N,85.401,W,1
9/12/2001,22:52:01,25.237,N,85.406,W,1
9/12/2001,22:54:01,25.239,N,85.411,W,1
9/12/2001,22:56:00,25.241,N,85.416,W,1
9/12/2001,22:58:00,25.242,N,85.422,W,1
9/12/2001,23:00:01,25.244,N,85.427,W,1
9/12/2001,23:02:01,25.245,N,85.433,W,1
9/12/2001,23:04:00,25.246,N,85.438,W,1
9/12/2001,23:06:00,25.247,N,85.444,W,1
9/12/2001,23:08:01,25.248,N,85.45,W,1
9/12/2001,23:10:01,25.249,N,85.456,W,1
9/12/2001,23:12:00,25.249,N,85.462,W,1
9/12/2001,23:14:01,25.249,N,85.468,W,1
9/12/2001,23:16:01,25.249,N,85.474,W,1
9/12/2001,23:18:00,25.249,N,85.48,W,1
9/12/2001,23:20:00,25.249,N,85.486,W,1
9/12/2001,23:22:01,25.248,N,85.493,W,1
9/12/2001,23:24:01,25.247,N,85.499,W,1
9/12/2001,23:26:00,25.246,N,85.506,W,1
9/12/2001,23:28:00,25.245,N,85.513,W,1
