Track,for,Gert,2011,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/14/2011,14:53:59,28.178,N,63.196,W
8/14/2011,14:56:00,28.185,N,63.197,W
8/14/2011,14:57:59,28.193,N,63.199,W
8/14/2011,15:00:00,28.2,N,63.2,W
8/14/2011,15:02:00,28.207,N,63.201,W
8/14/2011,15:03:59,28.215,N,63.203,W
8/14/2011,15:06:00,28.222,N,63.204,W
8/14/2011,15:07:59,28.229,N,63.205,W
8/14/2011,15:10:00,28.237,N,63.206,W
8/14/2011,15:11:59,28.244,N,63.208,W
8/14/2011,15:14:00,28.252,N,63.209,W
8/14/2011,15:15:59,28.259,N,63.21,W
8/14/2011,15:18:00,28.266,N,63.211,W
8/14/2011,15:19:59,28.274,N,63.213,W
8/14/2011,15:22:00,28.281,N,63.214,W
8/14/2011,15:23:59,28.288,N,63.215,W
8/14/2011,15:26:00,28.296,N,63.216,W
8/14/2011,15:27:59,28.303,N,63.218,W
8/14/2011,15:30:00,28.31,N,63.219,W
8/14/2011,15:32:00,28.318,N,63.22,W
8/14/2011,15:33:59,28.325,N,63.221,W
8/14/2011,15:36:00,28.332,N,63.222,W
8/14/2011,15:37:59,28.34,N,63.224,W
8/14/2011,15:40:00,28.347,N,63.225,W
8/14/2011,15:41:59,28.354,N,63.226,W
8/14/2011,15:44:00,28.362,N,63.227,W
8/14/2011,15:45:59,28.369,N,63.228,W
8/14/2011,15:48:00,28.377,N,63.229,W
8/14/2011,15:49:59,28.384,N,63.23,W
8/14/2011,15:52:00,28.391,N,63.231,W
8/14/2011,15:53:59,28.399,N,63.232,W
8/14/2011,15:56:00,28.406,N,63.233,W
8/14/2011,15:57:59,28.413,N,63.234,W
8/14/2011,16:00:00,28.421,N,63.235,W
8/14/2011,16:01:59,28.428,N,63.236,W
8/14/2011,16:04:00,28.435,N,63.237,W
8/14/2011,16:06:00,28.443,N,63.238,W
8/14/2011,16:07:59,28.45,N,63.239,W
8/14/2011,16:09:59,28.457,N,63.239,W
8/14/2011,16:12:00,28.465,N,63.24,W
8/14/2011,16:14:00,28.472,N,63.241,W
8/14/2011,16:15:59,28.479,N,63.242,W
8/14/2011,16:17:59,28.486,N,63.243,W
8/14/2011,16:20:00,28.494,N,63.243,W
8/14/2011,16:22:00,28.501,N,63.244,W
8/14/2011,16:23:59,28.508,N,63.244,W
8/14/2011,16:25:59,28.516,N,63.245,W
8/14/2011,16:28:00,28.523,N,63.246,W
8/14/2011,16:30:00,28.53,N,63.246,W
8/14/2011,16:31:59,28.538,N,63.247,W
8/14/2011,16:34:00,28.545,N,63.247,W
8/14/2011,16:36:00,28.552,N,63.248,W
8/14/2011,16:37:59,28.56,N,63.248,W
8/14/2011,16:39:59,28.567,N,63.248,W
8/14/2011,16:42:00,28.574,N,63.249,W
8/14/2011,16:44:00,28.581,N,63.249,W
8/14/2011,16:45:59,28.589,N,63.249,W
8/14/2011,16:47:59,28.596,N,63.249,W
8/14/2011,16:50:00,28.603,N,63.249,W
8/14/2011,16:52:00,28.61,N,63.25,W
8/14/2011,16:53:59,28.618,N,63.25,W
8/14/2011,16:55:59,28.625,N,63.25,W
8/14/2011,16:58:00,28.632,N,63.25,W
8/14/2011,17:00:00,28.64,N,63.25,W
8/14/2011,17:01:59,28.647,N,63.249,W
8/14/2011,17:04:00,28.654,N,63.249,W
8/14/2011,17:06:00,28.661,N,63.249,W
8/14/2011,17:07:59,28.669,N,63.249,W
8/14/2011,17:09:59,28.676,N,63.248,W
8/14/2011,17:12:00,28.683,N,63.248,W
8/14/2011,17:14:00,28.69,N,63.248,W
8/14/2011,17:15:59,28.697,N,63.247,W
8/14/2011,17:17:59,28.705,N,63.247,W
8/14/2011,17:20:00,28.712,N,63.246,W
8/14/2011,17:22:00,28.719,N,63.246,W
8/14/2011,17:23:59,28.726,N,63.245,W
8/14/2011,17:25:59,28.734,N,63.244,W
8/14/2011,17:28:00,28.741,N,63.243,W
8/14/2011,17:30:00,28.748,N,63.243,W
8/14/2011,17:31:59,28.755,N,63.242,W
8/14/2011,17:34:00,28.762,N,63.241,W
8/14/2011,17:36:00,28.77,N,63.24,W
8/14/2011,17:37:59,28.777,N,63.239,W
8/14/2011,17:39:59,28.784,N,63.237,W
8/14/2011,17:42:00,28.791,N,63.236,W
8/14/2011,17:44:00,28.798,N,63.235,W
8/14/2011,17:45:59,28.805,N,63.234,W
8/14/2011,17:47:59,28.813,N,63.232,W
8/14/2011,17:50:00,28.82,N,63.231,W
8/14/2011,17:52:00,28.827,N,63.23,W
8/14/2011,17:53:59,28.834,N,63.228,W
8/14/2011,17:55:59,28.841,N,63.226,W
8/14/2011,17:58:00,28.848,N,63.225,W
8/14/2011,18:00:00,28.855,N,63.223,W
8/14/2011,18:01:59,28.863,N,63.221,W
8/14/2011,18:04:00,28.87,N,63.22,W
8/14/2011,18:06:00,28.877,N,63.218,W
8/14/2011,18:07:59,28.884,N,63.216,W
