Track,for,Gonzalo,2014,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/12/2014,11:53:59,16.402,N,57.883,W
10/12/2014,11:56:00,16.401,N,57.889,W
10/12/2014,11:57:59,16.401,N,57.894,W
10/12/2014,12:00:00,16.4,N,57.9,W
10/12/2014,12:02:00,16.399,N,57.906,W
10/12/2014,12:03:59,16.399,N,57.911,W
10/12/2014,12:06:00,16.398,N,57.917,W
10/12/2014,12:07:59,16.397,N,57.923,W
10/12/2014,12:10:00,16.397,N,57.928,W
10/12/2014,12:11:59,16.396,N,57.934,W
10/12/2014,12:14:00,16.395,N,57.94,W
10/12/2014,12:15:59,16.394,N,57.945,W
10/12/2014,12:18:00,16.394,N,57.951,W
10/12/2014,12:19:59,16.393,N,57.957,W
10/12/2014,12:22:00,16.392,N,57.962,W
10/12/2014,12:23:59,16.392,N,57.968,W
10/12/2014,12:26:00,16.391,N,57.974,W
10/12/2014,12:27:59,16.39,N,57.98,W
10/12/2014,12:30:00,16.39,N,57.985,W
10/12/2014,12:32:00,16.389,N,57.991,W
10/12/2014,12:33:59,16.388,N,57.997,W
10/12/2014,12:36:00,16.388,N,58.002,W
10/12/2014,12:37:59,16.387,N,58.008,W
10/12/2014,12:40:00,16.386,N,58.014,W
10/12/2014,12:41:59,16.386,N,58.019,W
10/12/2014,12:44:00,16.385,N,58.025,W
10/12/2014,12:45:59,16.384,N,58.031,W
10/12/2014,12:48:00,16.384,N,58.036,W
10/12/2014,12:49:59,16.383,N,58.042,W
10/12/2014,12:52:00,16.382,N,58.048,W
10/12/2014,12:53:59,16.382,N,58.053,W
10/12/2014,12:56:00,16.381,N,58.059,W
10/12/2014,12:57:59,16.38,N,58.065,W
10/12/2014,13:00:00,16.38,N,58.07,W
10/12/2014,13:02:00,16.379,N,58.076,W
10/12/2014,13:03:59,16.378,N,58.082,W
10/12/2014,13:06:00,16.378,N,58.087,W
10/12/2014,13:07:59,16.377,N,58.093,W
10/12/2014,13:10:00,16.376,N,58.099,W
10/12/2014,13:11:59,16.376,N,58.104,W
10/12/2014,13:14:00,16.375,N,58.11,W
10/12/2014,13:15:59,16.375,N,58.116,W
10/12/2014,13:18:00,16.374,N,58.121,W
10/12/2014,13:19:59,16.373,N,58.127,W
10/12/2014,13:22:00,16.373,N,58.132,W
10/12/2014,13:23:59,16.372,N,58.138,W
10/12/2014,13:26:00,16.371,N,58.144,W
10/12/2014,13:27:59,16.371,N,58.149,W
10/12/2014,13:30:00,16.37,N,58.155,W
10/12/2014,13:32:00,16.37,N,58.161,W
10/12/2014,13:33:59,16.369,N,58.166,W
10/12/2014,13:36:00,16.369,N,58.172,W
10/12/2014,13:37:59,16.368,N,58.178,W
10/12/2014,13:40:00,16.367,N,58.183,W
10/12/2014,13:41:59,16.367,N,58.189,W
10/12/2014,13:44:00,16.366,N,58.194,W
10/12/2014,13:45:59,16.366,N,58.2,W
10/12/2014,13:48:00,16.365,N,58.206,W
10/12/2014,13:49:59,16.365,N,58.211,W
10/12/2014,13:52:00,16.364,N,58.217,W
10/12/2014,13:53:59,16.364,N,58.223,W
10/12/2014,13:56:00,16.363,N,58.228,W
10/12/2014,13:57:59,16.363,N,58.234,W
10/12/2014,14:00:00,16.362,N,58.239,W
10/12/2014,14:02:00,16.361,N,58.245,W
10/12/2014,14:03:59,16.361,N,58.251,W
10/12/2014,14:06:00,16.361,N,58.256,W
10/12/2014,14:07:59,16.36,N,58.262,W
10/12/2014,14:10:00,16.36,N,58.268,W
10/12/2014,14:11:59,16.359,N,58.273,W
10/12/2014,14:14:00,16.359,N,58.279,W
10/12/2014,14:15:59,16.358,N,58.284,W
10/12/2014,14:18:00,16.358,N,58.29,W
10/12/2014,14:19:59,16.357,N,58.295,W
10/12/2014,14:22:00,16.357,N,58.301,W
10/12/2014,14:23:59,16.356,N,58.307,W
10/12/2014,14:26:00,16.356,N,58.312,W
10/12/2014,14:27:59,16.356,N,58.318,W
10/12/2014,14:30:00,16.355,N,58.323,W
10/12/2014,14:32:00,16.355,N,58.329,W
10/12/2014,14:33:59,16.354,N,58.335,W
10/12/2014,14:36:00,16.354,N,58.34,W
10/12/2014,14:37:59,16.354,N,58.346,W
10/12/2014,14:40:00,16.353,N,58.351,W
10/12/2014,14:41:59,16.353,N,58.357,W
10/12/2014,14:44:00,16.353,N,58.362,W
10/12/2014,14:45:59,16.352,N,58.368,W
10/12/2014,14:48:00,16.352,N,58.373,W
10/12/2014,14:49:59,16.352,N,58.379,W
10/12/2014,14:52:00,16.351,N,58.385,W
10/12/2014,14:53:59,16.351,N,58.39,W
10/12/2014,14:56:00,16.351,N,58.396,W
10/12/2014,14:57:59,16.35,N,58.401,W
10/12/2014,15:00:00,16.35,N,58.407,W
10/12/2014,15:02:00,16.35,N,58.412,W
10/12/2014,15:03:59,16.35,N,58.418,W
10/12/2014,15:06:00,16.349,N,58.423,W
10/12/2014,15:07:59,16.349,N,58.429,W
