Track,for,Hanna,2002,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/11/2002,23:01:26,26.221,N,86.646,W,0
9/11/2002,23:03:26,26.223,N,86.642,W,0
9/11/2002,23:05:25,26.226,N,86.638,W,0
9/11/2002,23:07:25,26.228,N,86.634,W,0
9/11/2002,23:09:26,26.23,N,86.63,W,0
9/11/2002,23:11:26,26.233,N,86.626,W,0
9/11/2002,23:13:25,26.235,N,86.622,W,0
9/11/2002,23:15:26,26.238,N,86.617,W,0
9/11/2002,23:17:26,26.24,N,86.613,W,0
9/11/2002,23:19:25,26.243,N,86.609,W,0
9/11/2002,23:21:25,26.245,N,86.605,W,0
9/11/2002,23:23:26,26.247,N,86.601,W,0
9/11/2002,23:25:26,26.25,N,86.597,W,0
9/11/2002,23:27:25,26.252,N,86.593,W,0
9/11/2002,23:29:25,26.255,N,86.589,W,0
9/11/2002,23:31:26,26.257,N,86.585,W,0
9/11/2002,23:33:26,26.26,N,86.581,W,0
9/11/2002,23:35:25,26.262,N,86.577,W,0
9/11/2002,23:37:25,26.264,N,86.573,W,0
9/11/2002,23:39:26,26.267,N,86.569,W,0
9/11/2002,23:41:26,26.269,N,86.565,W,0
9/11/2002,23:43:25,26.272,N,86.561,W,0
9/11/2002,23:45:26,26.274,N,86.557,W,0
9/11/2002,23:47:26,26.276,N,86.554,W,0
9/11/2002,23:49:25,26.279,N,86.55,W,0
9/11/2002,23:51:25,26.281,N,86.546,W,0
9/11/2002,23:53:26,26.284,N,86.543,W,0
9/11/2002,23:55:26,26.286,N,86.539,W,0
9/11/2002,23:57:25,26.288,N,86.535,W,0
9/11/2002,23:59:25,26.291,N,86.532,W,0
9/12/2002,0:01:26,26.293,N,86.528,W,0
9/12/2002,0:03:26,26.296,N,86.525,W,0
9/12/2002,0:05:25,26.298,N,86.521,W,0
9/12/2002,0:07:25,26.3,N,86.518,W,0
9/12/2002,0:09:26,26.303,N,86.515,W,0
9/12/2002,0:11:26,26.305,N,86.511,W,0
9/12/2002,0:13:25,26.308,N,86.508,W,0
9/12/2002,0:15:26,26.31,N,86.505,W,0
9/12/2002,0:17:26,26.312,N,86.502,W,0
9/12/2002,0:19:25,26.315,N,86.499,W,0
9/12/2002,0:21:25,26.317,N,86.496,W,0
9/12/2002,0:23:26,26.319,N,86.493,W,0
9/12/2002,0:25:26,26.322,N,86.49,W,0
9/12/2002,0:27:25,26.324,N,86.488,W,0
9/12/2002,0:29:25,26.326,N,86.485,W,0
9/12/2002,0:31:26,26.329,N,86.482,W,0
9/12/2002,0:33:26,26.331,N,86.48,W,0
9/12/2002,0:35:25,26.333,N,86.478,W,0
9/12/2002,0:37:25,26.336,N,86.475,W,0
9/12/2002,0:39:26,26.338,N,86.473,W,0
9/12/2002,0:41:26,26.34,N,86.471,W,0
9/12/2002,0:43:25,26.343,N,86.469,W,0
9/12/2002,0:45:26,26.345,N,86.467,W,0
9/12/2002,0:47:26,26.347,N,86.465,W,0
9/12/2002,0:49:25,26.35,N,86.463,W,0
9/12/2002,0:51:25,26.352,N,86.461,W,0
