Track,for,Hanna,2014,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
10/21/2014,11:53:59,19.504,N,94.206,W,0
10/21/2014,11:56:00,19.503,N,94.204,W,0
10/21/2014,11:57:59,19.501,N,94.202,W,0
10/21/2014,12:00:00,19.5,N,94.2,W,0
10/21/2014,12:02:00,19.499,N,94.198,W,0
10/21/2014,12:03:59,19.497,N,94.196,W,0
10/21/2014,12:06:00,19.496,N,94.194,W,0
10/21/2014,12:07:59,19.494,N,94.192,W,0
10/21/2014,12:10:00,19.493,N,94.19,W,0
10/21/2014,12:11:59,19.491,N,94.188,W,0
10/21/2014,12:14:00,19.49,N,94.186,W,0
10/21/2014,12:15:59,19.488,N,94.184,W,0
10/21/2014,12:18:00,19.487,N,94.182,W,0
10/21/2014,12:19:59,19.486,N,94.18,W,0
10/21/2014,12:22:00,19.484,N,94.178,W,0
10/21/2014,12:23:59,19.483,N,94.176,W,0
10/21/2014,12:26:00,19.481,N,94.174,W,0
10/21/2014,12:27:59,19.48,N,94.172,W,0
10/21/2014,12:30:00,19.478,N,94.17,W,0
10/21/2014,12:32:00,19.477,N,94.168,W,0
10/21/2014,12:33:59,19.476,N,94.166,W,0
10/21/2014,12:36:00,19.474,N,94.164,W,0
10/21/2014,12:37:59,19.473,N,94.162,W,0
10/21/2014,12:40:00,19.471,N,94.16,W,0
10/21/2014,12:41:59,19.47,N,94.158,W,0
10/21/2014,12:44:00,19.468,N,94.156,W,0
10/21/2014,12:45:59,19.467,N,94.154,W,0
10/21/2014,12:48:00,19.466,N,94.152,W,0
10/21/2014,12:49:59,19.464,N,94.15,W,0
10/21/2014,12:52:00,19.463,N,94.148,W,0
10/21/2014,12:53:59,19.461,N,94.146,W,0
10/21/2014,12:56:00,19.46,N,94.144,W,0
10/21/2014,12:57:59,19.458,N,94.142,W,0
10/21/2014,13:00:00,19.457,N,94.14,W,0
10/21/2014,13:02:00,19.456,N,94.138,W,0
10/21/2014,13:03:59,19.454,N,94.136,W,0
10/21/2014,13:06:00,19.453,N,94.134,W,0
10/21/2014,13:07:59,19.451,N,94.132,W,0
10/21/2014,13:10:00,19.45,N,94.129,W,0
10/21/2014,13:11:59,19.449,N,94.127,W,0
10/21/2014,13:14:00,19.447,N,94.125,W,0
10/21/2014,13:15:59,19.446,N,94.123,W,0
10/21/2014,13:18:00,19.444,N,94.121,W,0
10/21/2014,13:19:59,19.443,N,94.119,W,0
10/21/2014,13:22:00,19.442,N,94.117,W,0
10/21/2014,13:23:59,19.44,N,94.115,W,0
10/21/2014,13:26:00,19.439,N,94.113,W,0
10/21/2014,13:27:59,19.437,N,94.111,W,0
10/21/2014,13:30:00,19.436,N,94.109,W,0
10/21/2014,13:32:00,19.435,N,94.107,W,0
10/21/2014,13:33:59,19.433,N,94.105,W,0
10/21/2014,13:36:00,19.432,N,94.103,W,0
10/21/2014,13:37:59,19.43,N,94.101,W,0
10/21/2014,13:40:00,19.429,N,94.099,W,0
10/21/2014,13:41:59,19.428,N,94.097,W,0
10/21/2014,13:44:00,19.426,N,94.095,W,0
