Track,for,Harvey,2005,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
7/29/2005,20:50:44,16.311,N,65.117,W,0
7/29/2005,20:52:44,16.317,N,65.123,W,0
7/29/2005,20:54:43,16.322,N,65.128,W,0
7/29/2005,20:56:43,16.328,N,65.134,W,0
7/29/2005,20:58:44,16.334,N,65.14,W,0
7/29/2005,21:00:44,16.339,N,65.145,W,0
7/29/2005,21:02:43,16.345,N,65.151,W,0
7/29/2005,21:04:43,16.35,N,65.157,W,0
7/29/2005,21:06:44,16.356,N,65.163,W,0
7/29/2005,21:08:43,16.361,N,65.168,W,0
7/29/2005,21:10:43,16.367,N,65.174,W,0
7/29/2005,21:12:44,16.372,N,65.18,W,0
7/29/2005,21:14:44,16.378,N,65.186,W,0
7/29/2005,21:16:43,16.384,N,65.191,W,0
7/29/2005,21:18:43,16.389,N,65.197,W,0
7/29/2005,21:20:44,16.395,N,65.203,W,0
7/29/2005,21:22:44,16.4,N,65.208,W,0
7/29/2005,21:24:43,16.406,N,65.214,W,0
7/29/2005,21:26:43,16.411,N,65.22,W,0
7/29/2005,21:28:44,16.417,N,65.226,W,0
7/29/2005,21:30:44,16.422,N,65.231,W,0
7/29/2005,21:32:43,16.428,N,65.237,W,0
7/29/2005,21:34:43,16.434,N,65.243,W,0
7/29/2005,21:36:44,16.439,N,65.249,W,0
7/29/2005,21:38:43,16.445,N,65.254,W,0
7/29/2005,21:40:43,16.45,N,65.26,W,0
7/29/2005,21:42:44,16.456,N,65.266,W,0
7/29/2005,21:44:44,16.461,N,65.271,W,0
7/29/2005,21:46:43,16.467,N,65.277,W,0
7/29/2005,21:48:43,16.472,N,65.283,W,0
7/29/2005,21:50:44,16.478,N,65.289,W,0
7/29/2005,21:52:44,16.483,N,65.294,W,0
7/29/2005,21:54:43,16.489,N,65.3,W,0
7/29/2005,21:56:43,16.495,N,65.306,W,0
7/29/2005,21:58:44,16.5,N,65.312,W,0
7/29/2005,22:00:44,16.506,N,65.317,W,0
7/29/2005,22:02:43,16.511,N,65.323,W,0
7/29/2005,22:04:43,16.517,N,65.329,W,0
7/29/2005,22:06:44,16.522,N,65.334,W,0
7/29/2005,22:08:43,16.528,N,65.34,W,0
7/29/2005,22:10:43,16.533,N,65.346,W,0
7/29/2005,22:12:44,16.539,N,65.352,W,0
7/29/2005,22:14:44,16.545,N,65.357,W,0
7/29/2005,22:16:43,16.55,N,65.363,W,0
7/29/2005,22:18:43,16.556,N,65.369,W,0
7/29/2005,22:20:44,16.561,N,65.374,W,0
7/29/2005,22:22:44,16.567,N,65.38,W,0
7/29/2005,22:24:43,16.572,N,65.386,W,0
7/29/2005,22:26:43,16.578,N,65.392,W,0
7/29/2005,22:28:44,16.583,N,65.397,W,0
7/29/2005,22:30:44,16.589,N,65.403,W,0
7/29/2005,22:32:43,16.595,N,65.409,W,0
7/29/2005,22:34:43,16.6,N,65.415,W,0
7/29/2005,22:36:44,16.606,N,65.42,W,0
7/29/2005,22:38:43,16.611,N,65.426,W,0
7/29/2005,22:40:43,16.617,N,65.432,W,0
