Track,for,helene,2006,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/17/2006,5:54:00,19.895,N,47.892,W,3
9/17/2006,5:56:00,19.897,N,47.894,W,3
9/17/2006,5:58:00,19.898,N,47.897,W,3
9/17/2006,6:00:00,19.9,N,47.9,W,3
9/17/2006,6:01:59,19.902,N,47.903,W,3
9/17/2006,6:03:59,19.903,N,47.906,W,3
9/17/2006,6:05:59,19.905,N,47.908,W,3
9/17/2006,6:07:59,19.907,N,47.911,W,3
9/17/2006,6:09:59,19.909,N,47.914,W,3
9/17/2006,6:11:59,19.91,N,47.917,W,3
9/17/2006,6:13:59,19.912,N,47.919,W,3
9/17/2006,6:16:00,19.914,N,47.922,W,3
9/17/2006,6:18:00,19.915,N,47.925,W,3
9/17/2006,6:20:00,19.917,N,47.928,W,3
9/17/2006,6:22:00,19.919,N,47.93,W,3
9/17/2006,6:24:00,19.921,N,47.933,W,3
9/17/2006,6:26:00,19.922,N,47.936,W,3
9/17/2006,6:28:00,19.924,N,47.939,W,3
9/17/2006,6:30:00,19.926,N,47.941,W,3
9/17/2006,6:31:59,19.927,N,47.944,W,3
9/17/2006,6:33:59,19.929,N,47.947,W,3
9/17/2006,6:35:59,19.931,N,47.95,W,3
9/17/2006,6:37:59,19.933,N,47.952,W,3
9/17/2006,6:39:59,19.934,N,47.955,W,3
9/17/2006,6:41:59,19.936,N,47.958,W,3
9/17/2006,6:43:59,19.938,N,47.961,W,3
9/17/2006,6:46:00,19.939,N,47.963,W,3
9/17/2006,6:48:00,19.941,N,47.966,W,3
9/17/2006,6:50:00,19.943,N,47.969,W,3
9/17/2006,6:52:00,19.945,N,47.972,W,3
9/17/2006,6:54:00,19.946,N,47.974,W,3
9/17/2006,6:56:00,19.948,N,47.977,W,3
9/17/2006,6:58:00,19.95,N,47.98,W,3
9/17/2006,7:00:00,19.952,N,47.983,W,3
9/17/2006,7:01:59,19.953,N,47.985,W,3
9/17/2006,7:03:59,19.955,N,47.988,W,3
9/17/2006,7:05:59,19.957,N,47.991,W,3
9/17/2006,7:07:59,19.959,N,47.994,W,3
9/17/2006,7:09:59,19.96,N,47.996,W,3
9/17/2006,7:11:59,19.962,N,47.999,W,3
9/17/2006,7:13:59,19.964,N,48.002,W,3
9/17/2006,7:16:00,19.966,N,48.005,W,3
9/17/2006,7:18:00,19.968,N,48.008,W,3
9/17/2006,7:20:00,19.969,N,48.01,W,3
9/17/2006,7:22:00,19.971,N,48.013,W,3
9/17/2006,7:24:00,19.973,N,48.016,W,3
9/17/2006,7:26:00,19.975,N,48.019,W,3
9/17/2006,7:28:00,19.976,N,48.021,W,3
9/17/2006,7:30:00,19.978,N,48.024,W,3
9/17/2006,7:31:59,19.98,N,48.027,W,3
9/17/2006,7:33:59,19.982,N,48.03,W,3
9/17/2006,7:35:59,19.984,N,48.032,W,3
9/17/2006,7:37:59,19.986,N,48.035,W,3
9/17/2006,7:39:59,19.987,N,48.038,W,3
9/17/2006,7:41:59,19.989,N,48.041,W,3
9/17/2006,7:43:59,19.991,N,48.043,W,3
