Track,for,Henri,2003,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/3/2003,17:45:06,27.477,N,87.704,W,0
9/3/2003,17:47:05,27.473,N,87.702,W,0
9/3/2003,17:49:05,27.468,N,87.7,W,0
9/3/2003,17:51:06,27.464,N,87.698,W,0
9/3/2003,17:53:06,27.46,N,87.696,W,0
9/3/2003,17:55:05,27.455,N,87.694,W,0
9/3/2003,17:57:05,27.451,N,87.692,W,0
9/3/2003,17:59:06,27.446,N,87.69,W,0
9/3/2003,18:01:06,27.442,N,87.688,W,0
9/3/2003,18:03:05,27.438,N,87.686,W,0
9/3/2003,18:05:05,27.433,N,87.685,W,0
9/3/2003,18:07:06,27.429,N,87.683,W,0
9/3/2003,18:09:05,27.425,N,87.681,W,0
9/3/2003,18:11:05,27.421,N,87.679,W,0
9/3/2003,18:13:06,27.416,N,87.677,W,0
9/3/2003,18:15:06,27.412,N,87.675,W,0
9/3/2003,18:17:05,27.408,N,87.674,W,0
9/3/2003,18:19:05,27.404,N,87.672,W,0
9/3/2003,18:21:06,27.4,N,87.67,W,0
9/3/2003,18:23:06,27.396,N,87.669,W,0
9/3/2003,18:25:05,27.392,N,87.667,W,0
9/3/2003,18:27:05,27.388,N,87.666,W,0
9/3/2003,18:29:06,27.384,N,87.664,W,0
9/3/2003,18:31:06,27.38,N,87.663,W,0
9/3/2003,18:33:05,27.377,N,87.661,W,0
9/3/2003,18:35:05,27.373,N,87.66,W,0
9/3/2003,18:37:06,27.369,N,87.659,W,0
9/3/2003,18:39:05,27.366,N,87.658,W,0
9/3/2003,18:41:05,27.362,N,87.657,W,0
9/3/2003,18:43:06,27.359,N,87.656,W,0
9/3/2003,18:45:06,27.356,N,87.655,W,0
9/3/2003,18:47:05,27.352,N,87.654,W,0
9/3/2003,18:49:05,27.349,N,87.653,W,0
9/3/2003,18:51:06,27.346,N,87.652,W,0
9/3/2003,18:53:06,27.343,N,87.652,W,0
9/3/2003,18:55:05,27.34,N,87.651,W,0
9/3/2003,18:57:05,27.338,N,87.651,W,0
9/3/2003,18:59:06,27.335,N,87.65,W,0
9/3/2003,19:01:06,27.332,N,87.65,W,0
9/3/2003,19:03:05,27.33,N,87.65,W,0
9/3/2003,19:05:05,27.328,N,87.65,W,0
9/3/2003,19:07:06,27.325,N,87.65,W,0
9/3/2003,19:09:05,27.323,N,87.65,W,0
9/3/2003,19:11:05,27.321,N,87.65,W,0
9/3/2003,19:13:06,27.319,N,87.65,W,0
9/3/2003,19:15:06,27.318,N,87.651,W,0
9/3/2003,19:17:05,27.316,N,87.651,W,0
9/3/2003,19:19:05,27.315,N,87.652,W,0
9/3/2003,19:21:06,27.313,N,87.653,W,0
9/3/2003,19:23:06,27.312,N,87.654,W,0
9/3/2003,19:25:05,27.311,N,87.655,W,0
9/3/2003,19:27:05,27.31,N,87.656,W,0
9/3/2003,19:29:06,27.309,N,87.657,W,0
9/3/2003,19:31:06,27.309,N,87.659,W,0
9/3/2003,19:33:05,27.308,N,87.661,W,0
9/3/2003,19:35:05,27.308,N,87.662,W,0
