Track,for,Hermine,2010,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/6/2010,11:53:59,22.987,N,95.582,W,0
9/6/2010,11:56:00,22.991,N,95.588,W,0
9/6/2010,11:57:59,22.996,N,95.594,W,0
9/6/2010,12:00:00,23,N,95.6,W,0
9/6/2010,12:02:00,23.004,N,95.606,W,0
9/6/2010,12:03:59,23.009,N,95.612,W,0
9/6/2010,12:06:00,23.013,N,95.618,W,0
9/6/2010,12:07:59,23.018,N,95.624,W,0
9/6/2010,12:10:00,23.022,N,95.63,W,0
9/6/2010,12:11:59,23.026,N,95.635,W,0
9/6/2010,12:14:00,23.031,N,95.641,W,0
9/6/2010,12:15:59,23.035,N,95.647,W,0
9/6/2010,12:18:00,23.04,N,95.653,W,0
9/6/2010,12:19:59,23.044,N,95.659,W,0
9/6/2010,12:22:00,23.049,N,95.665,W,0
9/6/2010,12:23:59,23.053,N,95.671,W,0
9/6/2010,12:26:00,23.057,N,95.677,W,0
9/6/2010,12:27:59,23.062,N,95.683,W,0
9/6/2010,12:30:00,23.066,N,95.689,W,0
9/6/2010,12:32:00,23.071,N,95.694,W,0
9/6/2010,12:33:59,23.075,N,95.7,W,0
9/6/2010,12:36:00,23.079,N,95.706,W,0
9/6/2010,12:37:59,23.084,N,95.712,W,0
9/6/2010,12:40:00,23.088,N,95.718,W,0
9/6/2010,12:41:59,23.093,N,95.724,W,0
9/6/2010,12:44:00,23.097,N,95.73,W,0
9/6/2010,12:45:59,23.102,N,95.736,W,0
9/6/2010,12:48:00,23.106,N,95.742,W,0
9/6/2010,12:49:59,23.111,N,95.747,W,0
9/6/2010,12:52:00,23.115,N,95.753,W,0
9/6/2010,12:53:59,23.119,N,95.759,W,0
9/6/2010,12:56:00,23.124,N,95.765,W,0
9/6/2010,12:57:59,23.128,N,95.771,W,0
9/6/2010,13:00:00,23.133,N,95.777,W,0
9/6/2010,13:02:00,23.137,N,95.783,W,0
9/6/2010,13:03:59,23.142,N,95.789,W,0
9/6/2010,13:06:00,23.146,N,95.794,W,0
9/6/2010,13:07:59,23.151,N,95.8,W,0
9/6/2010,13:10:00,23.155,N,95.806,W,0
9/6/2010,13:11:59,23.16,N,95.812,W,0
9/6/2010,13:14:00,23.164,N,95.818,W,0
9/6/2010,13:15:59,23.169,N,95.824,W,0
9/6/2010,13:18:00,23.173,N,95.829,W,0
9/6/2010,13:19:59,23.178,N,95.835,W,0
9/6/2010,13:22:00,23.182,N,95.841,W,0
9/6/2010,13:23:59,23.187,N,95.847,W,0
9/6/2010,13:26:00,23.191,N,95.853,W,0
9/6/2010,13:27:59,23.196,N,95.859,W,0
9/6/2010,13:30:00,23.201,N,95.864,W,0
9/6/2010,13:32:00,23.205,N,95.87,W,0
9/6/2010,13:33:59,23.21,N,95.876,W,0
9/6/2010,13:36:00,23.214,N,95.882,W,0
9/6/2010,13:37:59,23.219,N,95.888,W,0
9/6/2010,13:40:00,23.223,N,95.893,W,0
9/6/2010,13:41:59,23.228,N,95.899,W,0
9/6/2010,13:44:00,23.233,N,95.905,W,0
