Track,for,Humberto,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/21/2001,11:53:59,25.091,N,64.188,W,2
9/21/2001,11:56:00,25.094,N,64.192,W,2
9/21/2001,11:57:59,25.097,N,64.196,W,2
9/21/2001,12:00:00,25.1,N,64.2,W,2
9/21/2001,12:02:00,25.103,N,64.204,W,2
9/21/2001,12:03:59,25.106,N,64.208,W,2
9/21/2001,12:06:00,25.109,N,64.212,W,2
9/21/2001,12:07:59,25.112,N,64.216,W,2
9/21/2001,12:10:00,25.115,N,64.22,W,2
9/21/2001,12:11:59,25.118,N,64.224,W,2
9/21/2001,12:14:00,25.121,N,64.228,W,2
9/21/2001,12:15:59,25.123,N,64.232,W,2
9/21/2001,12:18:00,25.126,N,64.236,W,2
9/21/2001,12:19:59,25.129,N,64.241,W,2
9/21/2001,12:22:00,25.132,N,64.245,W,2
9/21/2001,12:23:59,25.135,N,64.249,W,2
9/21/2001,12:26:00,25.138,N,64.253,W,2
9/21/2001,12:27:59,25.141,N,64.257,W,2
9/21/2001,12:30:00,25.144,N,64.261,W,2
9/21/2001,12:32:00,25.147,N,64.265,W,2
9/21/2001,12:33:59,25.15,N,64.269,W,2
9/21/2001,12:36:00,25.153,N,64.273,W,2
9/21/2001,12:37:59,25.156,N,64.277,W,2
9/21/2001,12:40:00,25.159,N,64.281,W,2
9/21/2001,12:41:59,25.162,N,64.285,W,2
9/21/2001,12:44:00,25.165,N,64.289,W,2
9/21/2001,12:45:59,25.168,N,64.293,W,2
9/21/2001,12:48:00,25.17,N,64.297,W,2
9/21/2001,12:49:59,25.173,N,64.301,W,2
9/21/2001,12:52:00,25.176,N,64.305,W,2
9/21/2001,12:53:59,25.179,N,64.309,W,2
9/21/2001,12:56:00,25.182,N,64.313,W,2
9/21/2001,12:57:59,25.185,N,64.317,W,2
9/21/2001,13:00:00,25.188,N,64.322,W,2
9/21/2001,13:02:00,25.191,N,64.326,W,2
9/21/2001,13:03:59,25.194,N,64.33,W,2
9/21/2001,13:06:00,25.197,N,64.334,W,2
9/21/2001,13:07:59,25.2,N,64.338,W,2
9/21/2001,13:10:00,25.203,N,64.342,W,2
9/21/2001,13:11:59,25.206,N,64.346,W,2
9/21/2001,13:14:00,25.209,N,64.35,W,2
9/21/2001,13:15:59,25.212,N,64.354,W,2
9/21/2001,13:18:00,25.215,N,64.358,W,2
9/21/2001,13:19:59,25.218,N,64.362,W,2
9/21/2001,13:22:00,25.221,N,64.366,W,2
9/21/2001,13:23:59,25.224,N,64.37,W,2
9/21/2001,13:26:00,25.226,N,64.374,W,2
9/21/2001,13:27:59,25.229,N,64.378,W,2
9/21/2001,13:30:00,25.232,N,64.382,W,2
9/21/2001,13:32:00,25.235,N,64.386,W,2
9/21/2001,13:33:59,25.238,N,64.39,W,2
9/21/2001,13:36:00,25.241,N,64.394,W,2
9/21/2001,13:37:59,25.244,N,64.398,W,2
9/21/2001,13:40:00,25.247,N,64.402,W,2
9/21/2001,13:41:59,25.25,N,64.406,W,2
9/21/2001,13:44:00,25.253,N,64.41,W,2
