Track,for,Humberto,2007,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/12/2007,5:54:00,27.292,N,94.998,W
9/12/2007,5:56:00,27.294,N,94.999,W
9/12/2007,5:58:00,27.297,N,94.999,W
9/12/2007,6:00:00,27.3,N,95,W
9/12/2007,6:01:59,27.303,N,95.001,W
9/12/2007,6:03:59,27.306,N,95.001,W
9/12/2007,6:05:59,27.308,N,95.002,W
9/12/2007,6:07:59,27.311,N,95.003,W
9/12/2007,6:09:59,27.314,N,95.004,W
9/12/2007,6:11:59,27.317,N,95.004,W
9/12/2007,6:13:59,27.32,N,95.005,W
9/12/2007,6:16:00,27.323,N,95.006,W
9/12/2007,6:18:00,27.325,N,95.007,W
9/12/2007,6:20:00,27.328,N,95.007,W
9/12/2007,6:22:00,27.331,N,95.008,W
9/12/2007,6:24:00,27.334,N,95.009,W
9/12/2007,6:26:00,27.337,N,95.009,W
9/12/2007,6:28:00,27.339,N,95.01,W
9/12/2007,6:30:00,27.342,N,95.011,W
9/12/2007,6:31:59,27.345,N,95.012,W
9/12/2007,6:33:59,27.348,N,95.012,W
9/12/2007,6:35:59,27.351,N,95.013,W
9/12/2007,6:37:59,27.354,N,95.014,W
9/12/2007,6:39:59,27.356,N,95.014,W
9/12/2007,6:41:59,27.359,N,95.015,W
9/12/2007,6:43:59,27.362,N,95.016,W
9/12/2007,6:46:00,27.365,N,95.017,W
9/12/2007,6:48:00,27.368,N,95.017,W
9/12/2007,6:50:00,27.371,N,95.018,W
9/12/2007,6:52:00,27.373,N,95.019,W
9/12/2007,6:54:00,27.376,N,95.019,W
9/12/2007,6:56:00,27.379,N,95.02,W
9/12/2007,6:58:00,27.382,N,95.021,W
9/12/2007,7:00:00,27.385,N,95.022,W
9/12/2007,7:01:59,27.387,N,95.022,W
9/12/2007,7:03:59,27.39,N,95.023,W
9/12/2007,7:05:59,27.393,N,95.024,W
9/12/2007,7:07:59,27.396,N,95.024,W
9/12/2007,7:09:59,27.399,N,95.025,W
9/12/2007,7:11:59,27.401,N,95.026,W
9/12/2007,7:13:59,27.404,N,95.027,W
9/12/2007,7:16:00,27.407,N,95.027,W
9/12/2007,7:18:00,27.41,N,95.028,W
9/12/2007,7:20:00,27.413,N,95.029,W
9/12/2007,7:22:00,27.416,N,95.029,W
9/12/2007,7:24:00,27.418,N,95.03,W
9/12/2007,7:26:00,27.421,N,95.031,W
9/12/2007,7:28:00,27.424,N,95.031,W
9/12/2007,7:30:00,27.427,N,95.032,W
9/12/2007,7:31:59,27.43,N,95.033,W
9/12/2007,7:33:59,27.432,N,95.033,W
9/12/2007,7:35:59,27.435,N,95.034,W
9/12/2007,7:37:59,27.438,N,95.035,W
9/12/2007,7:39:59,27.441,N,95.036,W
9/12/2007,7:41:59,27.444,N,95.036,W
9/12/2007,7:43:59,27.446,N,95.037,W
9/12/2007,7:46:00,27.449,N,95.038,W
9/12/2007,7:48:00,27.452,N,95.038,W
9/12/2007,7:50:00,27.455,N,95.039,W
9/12/2007,7:52:00,27.458,N,95.04,W
9/12/2007,7:54:00,27.461,N,95.04,W
9/12/2007,7:56:00,27.463,N,95.041,W
9/12/2007,7:58:00,27.466,N,95.042,W
9/12/2007,8:00:00,27.469,N,95.042,W
9/12/2007,8:02:00,27.472,N,95.043,W
9/12/2007,8:03:59,27.475,N,95.044,W
9/12/2007,8:06:00,27.477,N,95.044,W
9/12/2007,8:07:59,27.48,N,95.045,W
9/12/2007,8:10:00,27.483,N,95.046,W
9/12/2007,8:11:59,27.486,N,95.046,W
9/12/2007,8:14:00,27.489,N,95.047,W
9/12/2007,8:15:59,27.491,N,95.048,W
9/12/2007,8:18:00,27.494,N,95.048,W
9/12/2007,8:19:59,27.497,N,95.049,W
9/12/2007,8:22:00,27.5,N,95.05,W
9/12/2007,8:23:59,27.503,N,95.05,W
9/12/2007,8:26:00,27.505,N,95.051,W
9/12/2007,8:27:59,27.508,N,95.051,W
9/12/2007,8:30:00,27.511,N,95.052,W
9/12/2007,8:32:00,27.514,N,95.053,W
9/12/2007,8:33:59,27.517,N,95.053,W
9/12/2007,8:36:00,27.519,N,95.054,W
9/12/2007,8:37:59,27.522,N,95.055,W
9/12/2007,8:40:00,27.525,N,95.055,W
9/12/2007,8:41:59,27.528,N,95.056,W
9/12/2007,8:44:00,27.531,N,95.056,W
9/12/2007,8:45:59,27.533,N,95.057,W
9/12/2007,8:48:00,27.536,N,95.058,W
9/12/2007,8:49:59,27.539,N,95.058,W
9/12/2007,8:52:00,27.542,N,95.059,W
9/12/2007,8:53:59,27.545,N,95.06,W
9/12/2007,8:56:00,27.547,N,95.06,W
9/12/2007,8:57:59,27.55,N,95.061,W
9/12/2007,9:00:00,27.553,N,95.061,W
9/12/2007,9:02:00,27.556,N,95.062,W
9/12/2007,9:03:59,27.558,N,95.063,W
9/12/2007,9:06:00,27.561,N,95.063,W
9/12/2007,9:07:59,27.564,N,95.064,W
