Track,for,Ida,2009,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
11/4/2009,19:44:47,11.945,N,82.612,W
11/4/2009,19:46:48,11.947,N,82.613,W
11/4/2009,19:48:48,11.949,N,82.615,W
11/4/2009,19:50:47,11.951,N,82.616,W
11/4/2009,19:52:47,11.953,N,82.617,W
11/4/2009,19:54:48,11.955,N,82.619,W
11/4/2009,19:56:48,11.957,N,82.62,W
11/4/2009,19:58:47,11.959,N,82.621,W
11/4/2009,20:00:48,11.961,N,82.622,W
11/4/2009,20:02:48,11.963,N,82.624,W
11/4/2009,20:04:47,11.965,N,82.625,W
11/4/2009,20:06:47,11.967,N,82.626,W
11/4/2009,20:08:48,11.969,N,82.628,W
11/4/2009,20:10:48,11.97,N,82.629,W
11/4/2009,20:12:47,11.972,N,82.63,W
11/4/2009,20:14:47,11.974,N,82.631,W
11/4/2009,20:16:48,11.976,N,82.633,W
11/4/2009,20:18:48,11.978,N,82.634,W
11/4/2009,20:20:47,11.98,N,82.635,W
11/4/2009,20:22:47,11.982,N,82.637,W
11/4/2009,20:24:48,11.984,N,82.638,W
11/4/2009,20:26:48,11.986,N,82.639,W
11/4/2009,20:28:47,11.988,N,82.64,W
11/4/2009,20:30:48,11.99,N,82.642,W
11/4/2009,20:32:48,11.992,N,82.643,W
11/4/2009,20:34:47,11.994,N,82.644,W
11/4/2009,20:36:47,11.996,N,82.645,W
11/4/2009,20:38:48,11.999,N,82.647,W
11/4/2009,20:40:48,12.001,N,82.648,W
11/4/2009,20:42:47,12.003,N,82.649,W
11/4/2009,20:44:47,12.005,N,82.65,W
11/4/2009,20:46:48,12.007,N,82.651,W
11/4/2009,20:48:48,12.009,N,82.653,W
11/4/2009,20:50:47,12.011,N,82.654,W
11/4/2009,20:52:47,12.013,N,82.655,W
11/4/2009,20:54:48,12.015,N,82.656,W
11/4/2009,20:56:48,12.018,N,82.657,W
11/4/2009,20:58:47,12.02,N,82.658,W
11/4/2009,21:00:48,12.022,N,82.66,W
11/4/2009,21:02:48,12.024,N,82.661,W
11/4/2009,21:04:47,12.026,N,82.662,W
11/4/2009,21:06:47,12.029,N,82.663,W
11/4/2009,21:08:48,12.031,N,82.664,W
11/4/2009,21:10:48,12.033,N,82.665,W
11/4/2009,21:12:47,12.035,N,82.666,W
11/4/2009,21:14:47,12.038,N,82.667,W
11/4/2009,21:16:48,12.04,N,82.668,W
11/4/2009,21:18:48,12.042,N,82.669,W
11/4/2009,21:20:47,12.045,N,82.67,W
11/4/2009,21:22:47,12.047,N,82.671,W
11/4/2009,21:24:48,12.05,N,82.672,W
11/4/2009,21:26:48,12.052,N,82.673,W
11/4/2009,21:28:47,12.054,N,82.674,W
11/4/2009,21:30:48,12.057,N,82.675,W
11/4/2009,21:32:48,12.059,N,82.676,W
11/4/2009,21:34:47,12.062,N,82.677,W
11/4/2009,21:36:47,12.064,N,82.678,W
11/4/2009,21:38:48,12.067,N,82.679,W
11/4/2009,21:40:48,12.07,N,82.68,W
11/4/2009,21:42:47,12.072,N,82.681,W
11/4/2009,21:44:47,12.075,N,82.682,W
11/4/2009,21:45:00,12.075,N,82.682,W
11/4/2009,21:46:59,12.077,N,82.683,W
11/4/2009,21:49:00,12.08,N,82.684,W
11/4/2009,21:51:00,12.082,N,82.685,W
11/4/2009,21:52:59,12.084,N,82.686,W
11/4/2009,21:54:59,12.087,N,82.687,W
11/4/2009,21:57:00,12.089,N,82.688,W
11/4/2009,21:59:00,12.091,N,82.69,W
11/4/2009,22:00:59,12.094,N,82.691,W
11/4/2009,22:02:59,12.096,N,82.692,W
11/4/2009,22:05:00,12.098,N,82.693,W
11/4/2009,22:07:00,12.101,N,82.694,W
11/4/2009,22:08:59,12.103,N,82.695,W
11/4/2009,22:10:59,12.105,N,82.696,W
11/4/2009,22:13:00,12.108,N,82.697,W
11/4/2009,22:15:00,12.11,N,82.698,W
11/4/2009,22:16:59,12.112,N,82.699,W
11/4/2009,22:19:00,12.115,N,82.7,W
11/4/2009,22:21:00,12.117,N,82.701,W
11/4/2009,22:22:59,12.119,N,82.702,W
11/4/2009,22:24:59,12.122,N,82.704,W
11/4/2009,22:27:00,12.124,N,82.705,W
11/4/2009,22:29:00,12.126,N,82.706,W
11/4/2009,22:30:59,12.129,N,82.707,W
11/4/2009,22:32:59,12.131,N,82.708,W
11/4/2009,22:35:00,12.133,N,82.709,W
11/4/2009,22:37:00,12.136,N,82.71,W
11/4/2009,22:38:59,12.138,N,82.711,W
11/4/2009,22:40:59,12.14,N,82.712,W
11/4/2009,22:43:00,12.143,N,82.713,W
11/4/2009,22:45:00,12.145,N,82.714,W
11/4/2009,22:46:59,12.147,N,82.716,W
11/4/2009,22:49:00,12.15,N,82.717,W
11/4/2009,22:51:00,12.152,N,82.718,W
11/4/2009,22:52:59,12.154,N,82.719,W
11/4/2009,22:54:59,12.157,N,82.72,W
11/4/2009,22:57:00,12.159,N,82.721,W
