Track,for,Ike,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/5/2008,5:54:00,23.6,N,60.375,W
9/5/2008,5:56:00,23.6,N,60.383,W
9/5/2008,5:58:00,23.6,N,60.392,W
9/5/2008,6:00:00,23.6,N,60.4,W
9/5/2008,6:01:59,23.6,N,60.408,W
9/5/2008,6:03:59,23.6,N,60.417,W
9/5/2008,6:05:59,23.6,N,60.425,W
9/5/2008,6:07:59,23.6,N,60.433,W
9/5/2008,6:09:59,23.6,N,60.442,W
9/5/2008,6:11:59,23.6,N,60.45,W
9/5/2008,6:13:59,23.6,N,60.458,W
9/5/2008,6:16:00,23.599,N,60.466,W
9/5/2008,6:18:00,23.599,N,60.475,W
9/5/2008,6:20:00,23.599,N,60.483,W
9/5/2008,6:22:00,23.599,N,60.491,W
9/5/2008,6:24:00,23.599,N,60.5,W
9/5/2008,6:26:00,23.599,N,60.508,W
9/5/2008,6:28:00,23.599,N,60.516,W
9/5/2008,6:30:00,23.599,N,60.525,W
9/5/2008,6:31:59,23.599,N,60.533,W
9/5/2008,6:33:59,23.599,N,60.541,W
9/5/2008,6:35:59,23.599,N,60.55,W
9/5/2008,6:37:59,23.599,N,60.558,W
9/5/2008,6:39:59,23.599,N,60.566,W
9/5/2008,6:41:59,23.598,N,60.575,W
9/5/2008,6:43:59,23.598,N,60.583,W
9/5/2008,6:46:00,23.598,N,60.591,W
9/5/2008,6:48:00,23.598,N,60.599,W
9/5/2008,6:50:00,23.598,N,60.608,W
9/5/2008,6:52:00,23.598,N,60.616,W
9/5/2008,6:54:00,23.598,N,60.624,W
9/5/2008,6:56:00,23.598,N,60.633,W
9/5/2008,6:58:00,23.598,N,60.641,W
9/5/2008,7:00:00,23.598,N,60.649,W
9/5/2008,7:01:59,23.598,N,60.658,W
9/5/2008,7:03:59,23.597,N,60.666,W
9/5/2008,7:05:59,23.597,N,60.674,W
9/5/2008,7:07:59,23.597,N,60.683,W
9/5/2008,7:09:59,23.597,N,60.691,W
9/5/2008,7:11:59,23.597,N,60.699,W
9/5/2008,7:13:59,23.597,N,60.708,W
9/5/2008,7:16:00,23.597,N,60.716,W
9/5/2008,7:18:00,23.597,N,60.724,W
9/5/2008,7:20:00,23.596,N,60.732,W
9/5/2008,7:22:00,23.596,N,60.741,W
9/5/2008,7:24:00,23.596,N,60.749,W
9/5/2008,7:26:00,23.596,N,60.757,W
9/5/2008,7:28:00,23.596,N,60.766,W
9/5/2008,7:30:00,23.596,N,60.774,W
9/5/2008,7:31:59,23.596,N,60.782,W
9/5/2008,7:33:59,23.595,N,60.791,W
9/5/2008,7:35:59,23.595,N,60.799,W
9/5/2008,7:37:59,23.595,N,60.807,W
9/5/2008,7:39:59,23.595,N,60.816,W
9/5/2008,7:41:59,23.595,N,60.824,W
9/5/2008,7:43:59,23.594,N,60.832,W
9/5/2008,7:46:00,23.594,N,60.841,W
9/5/2008,7:48:00,23.594,N,60.849,W
9/5/2008,7:50:00,23.594,N,60.857,W
9/5/2008,7:52:00,23.594,N,60.866,W
9/5/2008,7:54:00,23.593,N,60.874,W
9/5/2008,7:56:00,23.593,N,60.882,W
9/5/2008,7:58:00,23.593,N,60.89,W
9/5/2008,8:00:00,23.593,N,60.899,W
9/5/2008,8:02:00,23.593,N,60.907,W
9/5/2008,8:03:59,23.592,N,60.915,W
9/5/2008,8:06:00,23.592,N,60.924,W
9/5/2008,8:07:59,23.592,N,60.932,W
9/5/2008,8:10:00,23.592,N,60.94,W
9/5/2008,8:11:59,23.591,N,60.949,W
9/5/2008,8:14:00,23.591,N,60.957,W
9/5/2008,8:15:59,23.591,N,60.965,W
9/5/2008,8:18:00,23.591,N,60.974,W
9/5/2008,8:19:59,23.59,N,60.982,W
9/5/2008,8:22:00,23.59,N,60.99,W
9/5/2008,8:23:59,23.59,N,60.999,W
9/5/2008,8:26:00,23.589,N,61.007,W
9/5/2008,8:27:59,23.589,N,61.015,W
9/5/2008,8:30:00,23.589,N,61.024,W
9/5/2008,8:32:00,23.588,N,61.032,W
9/5/2008,8:33:59,23.588,N,61.04,W
9/5/2008,8:36:00,23.588,N,61.049,W
9/5/2008,8:37:59,23.587,N,61.057,W
9/5/2008,8:40:00,23.587,N,61.065,W
9/5/2008,8:41:59,23.587,N,61.074,W
9/5/2008,8:44:00,23.586,N,61.082,W
9/5/2008,8:45:59,23.586,N,61.09,W
9/5/2008,8:48:00,23.586,N,61.099,W
9/5/2008,8:49:59,23.585,N,61.107,W
9/5/2008,8:52:00,23.585,N,61.115,W
9/5/2008,8:53:59,23.584,N,61.124,W
9/5/2008,8:56:00,23.584,N,61.132,W
9/5/2008,8:57:59,23.584,N,61.14,W
9/5/2008,9:00:00,23.583,N,61.148,W
9/5/2008,9:02:00,23.583,N,61.157,W
9/5/2008,9:03:59,23.582,N,61.165,W
9/5/2008,9:06:00,23.582,N,61.173,W
9/5/2008,9:07:59,23.581,N,61.182,W
