Track,for,Ingrid,2013,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/13/2013,5:54:00,19.604,N,94.593,W
9/13/2013,5:56:00,19.603,N,94.595,W
9/13/2013,5:58:00,19.601,N,94.598,W
9/13/2013,6:00:00,19.6,N,94.6,W
9/13/2013,6:01:59,19.599,N,94.602,W
9/13/2013,6:03:59,19.597,N,94.605,W
9/13/2013,6:05:59,19.596,N,94.607,W
9/13/2013,6:07:59,19.594,N,94.609,W
9/13/2013,6:09:59,19.593,N,94.611,W
9/13/2013,6:11:59,19.591,N,94.614,W
9/13/2013,6:13:59,19.59,N,94.616,W
9/13/2013,6:16:00,19.588,N,94.618,W
9/13/2013,6:18:00,19.587,N,94.62,W
9/13/2013,6:20:00,19.585,N,94.623,W
9/13/2013,6:22:00,19.584,N,94.625,W
9/13/2013,6:24:00,19.583,N,94.627,W
9/13/2013,6:26:00,19.581,N,94.629,W
9/13/2013,6:28:00,19.58,N,94.632,W
9/13/2013,6:30:00,19.578,N,94.634,W
9/13/2013,6:31:59,19.577,N,94.636,W
9/13/2013,6:33:59,19.575,N,94.638,W
9/13/2013,6:35:59,19.574,N,94.641,W
9/13/2013,6:37:59,19.572,N,94.643,W
9/13/2013,6:39:59,19.571,N,94.645,W
9/13/2013,6:41:59,19.569,N,94.648,W
9/13/2013,6:43:59,19.568,N,94.65,W
9/13/2013,6:46:00,19.567,N,94.652,W
9/13/2013,6:48:00,19.565,N,94.655,W
9/13/2013,6:50:00,19.564,N,94.657,W
9/13/2013,6:52:00,19.562,N,94.659,W
9/13/2013,6:54:00,19.561,N,94.662,W
9/13/2013,6:56:00,19.559,N,94.664,W
9/13/2013,6:58:00,19.558,N,94.666,W
9/13/2013,7:00:00,19.556,N,94.669,W
9/13/2013,7:01:59,19.555,N,94.671,W
9/13/2013,7:03:59,19.554,N,94.673,W
9/13/2013,7:05:59,19.552,N,94.676,W
9/13/2013,7:07:59,19.551,N,94.678,W
9/13/2013,7:09:59,19.549,N,94.68,W
9/13/2013,7:11:59,19.548,N,94.683,W
9/13/2013,7:13:59,19.546,N,94.685,W
9/13/2013,7:16:00,19.545,N,94.688,W
9/13/2013,7:18:00,19.543,N,94.69,W
9/13/2013,7:20:00,19.542,N,94.693,W
9/13/2013,7:22:00,19.541,N,94.695,W
9/13/2013,7:24:00,19.539,N,94.697,W
9/13/2013,7:26:00,19.538,N,94.7,W
9/13/2013,7:28:00,19.536,N,94.702,W
9/13/2013,7:30:00,19.535,N,94.705,W
9/13/2013,7:31:59,19.533,N,94.707,W
9/13/2013,7:33:59,19.532,N,94.71,W
9/13/2013,7:35:59,19.531,N,94.712,W
9/13/2013,7:37:59,19.529,N,94.715,W
9/13/2013,7:39:59,19.528,N,94.717,W
9/13/2013,7:41:59,19.526,N,94.72,W
9/13/2013,7:43:59,19.525,N,94.723,W
9/13/2013,7:46:00,19.523,N,94.725,W
9/13/2013,7:48:00,19.522,N,94.728,W
9/13/2013,7:50:00,19.521,N,94.73,W
9/13/2013,7:52:00,19.519,N,94.733,W
9/13/2013,7:54:00,19.518,N,94.736,W
9/13/2013,7:56:00,19.516,N,94.738,W
9/13/2013,7:58:00,19.515,N,94.741,W
9/13/2013,8:00:00,19.514,N,94.744,W
9/13/2013,8:02:00,19.512,N,94.746,W
9/13/2013,8:03:59,19.511,N,94.749,W
9/13/2013,8:06:00,19.509,N,94.752,W
9/13/2013,8:07:59,19.508,N,94.754,W
9/13/2013,8:10:00,19.506,N,94.757,W
9/13/2013,8:11:59,19.505,N,94.76,W
9/13/2013,8:14:00,19.504,N,94.763,W
9/13/2013,8:15:59,19.502,N,94.765,W
9/13/2013,8:18:00,19.501,N,94.768,W
9/13/2013,8:19:59,19.499,N,94.771,W
9/13/2013,8:22:00,19.498,N,94.774,W
9/13/2013,8:23:59,19.497,N,94.777,W
9/13/2013,8:26:00,19.495,N,94.78,W
9/13/2013,8:27:59,19.494,N,94.782,W
9/13/2013,8:30:00,19.492,N,94.785,W
9/13/2013,8:32:00,19.491,N,94.788,W
9/13/2013,8:33:59,19.49,N,94.791,W
9/13/2013,8:36:00,19.488,N,94.794,W
9/13/2013,8:37:59,19.487,N,94.797,W
9/13/2013,8:40:00,19.486,N,94.8,W
9/13/2013,8:41:59,19.484,N,94.803,W
9/13/2013,8:44:00,19.483,N,94.806,W
9/13/2013,8:45:59,19.481,N,94.809,W
9/13/2013,8:48:00,19.48,N,94.812,W
9/13/2013,8:49:59,19.479,N,94.815,W
9/13/2013,8:52:00,19.477,N,94.818,W
9/13/2013,8:53:59,19.476,N,94.822,W
9/13/2013,8:56:00,19.475,N,94.825,W
9/13/2013,8:57:59,19.473,N,94.828,W
9/13/2013,9:00:00,19.472,N,94.831,W
9/13/2013,9:02:00,19.47,N,94.834,W
9/13/2013,9:03:59,19.469,N,94.838,W
9/13/2013,9:06:00,19.468,N,94.841,W
9/13/2013,9:07:59,19.466,N,94.844,W
