Track,for,Iris,2001,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
10/4/2001,18:17:23,12.425,N,59.696,W,4
10/4/2001,18:19:22,12.436,N,59.712,W,4
10/4/2001,18:21:22,12.447,N,59.727,W,4
10/4/2001,18:23:23,12.458,N,59.743,W,4
10/4/2001,18:25:23,12.469,N,59.759,W,4
10/4/2001,18:27:22,12.48,N,59.774,W,4
10/4/2001,18:29:22,12.491,N,59.79,W,4
10/4/2001,18:31:23,12.502,N,59.805,W,4
10/4/2001,18:33:22,12.513,N,59.821,W,4
10/4/2001,18:35:22,12.524,N,59.836,W,4
10/4/2001,18:37:23,12.535,N,59.852,W,4
10/4/2001,18:39:23,12.545,N,59.867,W,4
10/4/2001,18:41:22,12.556,N,59.883,W,4
10/4/2001,18:43:22,12.567,N,59.898,W,4
10/4/2001,18:45:23,12.578,N,59.914,W,4
10/4/2001,18:47:23,12.589,N,59.93,W,4
10/4/2001,18:49:22,12.6,N,59.945,W,4
10/4/2001,18:51:22,12.611,N,59.961,W,4
10/4/2001,18:53:23,12.622,N,59.976,W,4
10/4/2001,18:55:23,12.632,N,59.992,W,4
10/4/2001,18:57:22,12.643,N,60.007,W,4
10/4/2001,18:59:22,12.654,N,60.023,W,4
10/4/2001,19:01:23,12.665,N,60.039,W,4
10/4/2001,19:03:22,12.675,N,60.054,W,4
10/4/2001,19:05:22,12.686,N,60.07,W,4
10/4/2001,19:07:23,12.697,N,60.085,W,4
10/4/2001,19:09:23,12.707,N,60.101,W,4
10/4/2001,19:11:22,12.718,N,60.117,W,4
10/4/2001,19:13:22,12.729,N,60.132,W,4
10/4/2001,19:15:23,12.739,N,60.148,W,4
10/4/2001,19:17:23,12.75,N,60.164,W,4
10/4/2001,19:19:22,12.76,N,60.179,W,4
10/4/2001,19:21:22,12.771,N,60.195,W,4
10/4/2001,19:23:23,12.781,N,60.211,W,4
10/4/2001,19:25:23,12.791,N,60.226,W,4
10/4/2001,19:27:22,12.802,N,60.242,W,4
10/4/2001,19:29:22,12.812,N,60.258,W,4
10/4/2001,19:31:23,12.822,N,60.274,W,4
10/4/2001,19:33:22,12.833,N,60.289,W,4
10/4/2001,19:35:22,12.843,N,60.305,W,4
10/4/2001,19:37:23,12.853,N,60.321,W,4
10/4/2001,19:39:23,12.863,N,60.337,W,4
10/4/2001,19:41:22,12.873,N,60.352,W,4
10/4/2001,19:43:22,12.883,N,60.368,W,4
10/4/2001,19:45:23,12.893,N,60.384,W,4
10/4/2001,19:47:23,12.903,N,60.4,W,4
10/4/2001,19:49:22,12.913,N,60.416,W,4
10/4/2001,19:51:22,12.923,N,60.432,W,4
10/4/2001,19:53:23,12.933,N,60.447,W,4
10/4/2001,19:55:23,12.942,N,60.463,W,4
10/4/2001,19:57:22,12.952,N,60.479,W,4
10/4/2001,19:59:22,12.962,N,60.495,W,4
10/4/2001,20:01:23,12.971,N,60.511,W,4
10/4/2001,20:03:22,12.981,N,60.527,W,4
10/4/2001,20:05:22,12.99,N,60.543,W,4
10/4/2001,20:07:23,12.999,N,60.559,W,4
