Track,for,Isaac,2018,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/12/2018,14:09:24,14.984,N,54.598,W,1
9/12/2018,14:11:23,14.988,N,54.61,W,1
9/12/2018,14:13:24,14.992,N,54.622,W,1
9/12/2018,14:15:24,14.996,N,54.634,W,1
9/12/2018,14:17:23,15,N,54.646,W,1
9/12/2018,14:19:24,15.004,N,54.658,W,1
9/12/2018,14:21:23,15.008,N,54.67,W,1
9/12/2018,14:23:24,15.012,N,54.682,W,1
9/12/2018,14:25:23,15.017,N,54.694,W,1
9/12/2018,14:27:24,15.021,N,54.706,W,1
9/12/2018,14:29:23,15.025,N,54.718,W,1
9/12/2018,14:31:24,15.029,N,54.729,W,1
9/12/2018,14:33:23,15.033,N,54.741,W,1
9/12/2018,14:35:24,15.037,N,54.753,W,1
9/12/2018,14:37:23,15.041,N,54.765,W,1
9/12/2018,14:39:24,15.045,N,54.777,W,1
9/12/2018,14:41:23,15.049,N,54.789,W,1
9/12/2018,14:43:24,15.053,N,54.801,W,1
9/12/2018,14:45:24,15.058,N,54.813,W,1
9/12/2018,14:47:23,15.062,N,54.825,W,1
9/12/2018,14:49:24,15.066,N,54.837,W,1
9/12/2018,14:51:23,15.07,N,54.849,W,1
9/12/2018,14:53:24,15.074,N,54.861,W,1
9/12/2018,14:55:23,15.078,N,54.872,W,1
9/12/2018,14:57:24,15.082,N,54.884,W,1
9/12/2018,14:59:23,15.086,N,54.896,W,1
9/12/2018,15:01:24,15.09,N,54.908,W,1
9/12/2018,15:03:23,15.094,N,54.92,W,1
9/12/2018,15:05:24,15.098,N,54.932,W,1
9/12/2018,15:07:23,15.102,N,54.944,W,1
9/12/2018,15:09:24,15.106,N,54.955,W,1
9/12/2018,15:11:23,15.11,N,54.967,W,1
9/12/2018,15:13:24,15.114,N,54.979,W,1
9/12/2018,15:15:24,15.118,N,54.991,W,1
9/12/2018,15:17:23,15.122,N,55.003,W,1
9/12/2018,15:19:24,15.126,N,55.015,W,1
9/12/2018,15:21:23,15.13,N,55.026,W,1
9/12/2018,15:23:24,15.134,N,55.038,W,1
9/12/2018,15:25:23,15.138,N,55.05,W,1
9/12/2018,15:27:24,15.142,N,55.062,W,1
9/12/2018,15:29:23,15.146,N,55.073,W,1
9/12/2018,15:31:24,15.15,N,55.085,W,1
9/12/2018,15:33:23,15.154,N,55.097,W,1
9/12/2018,15:35:24,15.158,N,55.109,W,1
9/12/2018,15:37:23,15.162,N,55.12,W,1
9/12/2018,15:39:24,15.166,N,55.132,W,1
9/12/2018,15:41:23,15.169,N,55.144,W,1
9/12/2018,15:43:24,15.173,N,55.155,W,1
9/12/2018,15:45:24,15.177,N,55.167,W,1
9/12/2018,15:47:23,15.181,N,55.179,W,1
9/12/2018,15:49:24,15.185,N,55.19,W,1
9/12/2018,15:51:23,15.189,N,55.202,W,1
9/12/2018,15:53:24,15.193,N,55.214,W,1
9/12/2018,15:55:23,15.196,N,55.225,W,1
9/12/2018,15:57:24,15.2,N,55.237,W,1
9/12/2018,15:59:23,15.204,N,55.248,W,1
9/12/2018,16:01:23,15.208,N,55.26,W,1
9/12/2018,16:03:24,15.211,N,55.271,W,1
9/12/2018,16:05:24,15.215,N,55.283,W,1
