Track,for,Isaac,2012,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
8/21/2012,18:24:23,15.298,N,53.225,W
8/21/2012,18:26:24,15.298,N,53.233,W
8/21/2012,18:28:24,15.299,N,53.241,W
8/21/2012,18:30:23,15.299,N,53.249,W
8/21/2012,18:32:24,15.299,N,53.257,W
8/21/2012,18:34:24,15.3,N,53.265,W
8/21/2012,18:36:23,15.3,N,53.273,W
8/21/2012,18:38:23,15.301,N,53.281,W
8/21/2012,18:40:24,15.301,N,53.29,W
8/21/2012,18:42:24,15.301,N,53.298,W
8/21/2012,18:44:23,15.302,N,53.306,W
8/21/2012,18:46:23,15.302,N,53.314,W
8/21/2012,18:48:24,15.303,N,53.322,W
8/21/2012,18:50:24,15.303,N,53.33,W
8/21/2012,18:52:23,15.304,N,53.338,W
8/21/2012,18:54:23,15.304,N,53.347,W
8/21/2012,18:56:24,15.305,N,53.355,W
8/21/2012,18:58:24,15.306,N,53.363,W
8/21/2012,19:00:23,15.306,N,53.371,W
8/21/2012,19:02:24,15.307,N,53.379,W
8/21/2012,19:04:24,15.308,N,53.388,W
8/21/2012,19:06:23,15.309,N,53.396,W
8/21/2012,19:08:23,15.31,N,53.404,W
8/21/2012,19:10:24,15.311,N,53.412,W
8/21/2012,19:12:24,15.312,N,53.421,W
8/21/2012,19:14:23,15.313,N,53.429,W
8/21/2012,19:16:23,15.314,N,53.437,W
8/21/2012,19:18:24,15.315,N,53.446,W
8/21/2012,19:20:24,15.316,N,53.454,W
8/21/2012,19:22:23,15.318,N,53.463,W
8/21/2012,19:24:23,15.319,N,53.471,W
8/21/2012,19:26:24,15.321,N,53.479,W
8/21/2012,19:28:24,15.322,N,53.488,W
8/21/2012,19:30:23,15.324,N,53.496,W
8/21/2012,19:32:24,15.326,N,53.505,W
8/21/2012,19:34:24,15.328,N,53.514,W
8/21/2012,19:36:23,15.33,N,53.522,W
8/21/2012,19:38:23,15.332,N,53.531,W
8/21/2012,19:40:24,15.334,N,53.539,W
8/21/2012,19:42:24,15.336,N,53.548,W
8/21/2012,19:44:23,15.339,N,53.557,W
8/21/2012,19:46:23,15.341,N,53.566,W
8/21/2012,19:48:24,15.344,N,53.574,W
8/21/2012,19:50:24,15.347,N,53.583,W
8/21/2012,19:52:23,15.35,N,53.592,W
8/21/2012,19:54:23,15.353,N,53.601,W
8/21/2012,19:56:24,15.356,N,53.61,W
8/21/2012,19:58:24,15.359,N,53.619,W
8/21/2012,20:00:23,15.363,N,53.628,W
8/21/2012,20:02:24,15.366,N,53.637,W
8/21/2012,20:04:24,15.37,N,53.646,W
8/21/2012,20:06:23,15.374,N,53.655,W
8/21/2012,20:08:23,15.378,N,53.664,W
8/21/2012,20:10:24,15.382,N,53.673,W
8/21/2012,20:12:24,15.386,N,53.683,W
8/21/2012,20:14:23,15.39,N,53.692,W
8/21/2012,20:16:23,15.395,N,53.701,W
8/21/2012,20:18:24,15.4,N,53.711,W
8/21/2012,20:20:24,15.405,N,53.72,W
8/21/2012,20:22:23,15.41,N,53.73,W
8/21/2012,20:24:23,15.415,N,53.739,W
8/21/2012,20:26:24,15.42,N,53.749,W
8/21/2012,20:28:24,15.426,N,53.759,W
8/21/2012,20:30:23,15.432,N,53.768,W
8/21/2012,20:32:24,15.438,N,53.778,W
8/21/2012,20:34:24,15.444,N,53.788,W
8/21/2012,20:36:23,15.45,N,53.798,W
8/21/2012,20:38:23,15.457,N,53.808,W
8/21/2012,20:39:40,15.461,N,53.814,W
8/21/2012,20:41:40,15.464,N,53.823,W
8/21/2012,20:43:39,15.467,N,53.833,W
8/21/2012,20:45:39,15.47,N,53.842,W
8/21/2012,20:47:40,15.473,N,53.852,W
8/21/2012,20:49:40,15.475,N,53.861,W
8/21/2012,20:51:39,15.478,N,53.871,W
8/21/2012,20:53:39,15.481,N,53.881,W
8/21/2012,20:55:40,15.484,N,53.89,W
8/21/2012,20:57:39,15.487,N,53.9,W
8/21/2012,20:59:39,15.489,N,53.91,W
8/21/2012,21:01:40,15.492,N,53.919,W
8/21/2012,21:03:40,15.495,N,53.929,W
8/21/2012,21:05:39,15.498,N,53.939,W
8/21/2012,21:07:39,15.501,N,53.949,W
8/21/2012,21:09:40,15.503,N,53.959,W
8/21/2012,21:11:40,15.506,N,53.969,W
8/21/2012,21:13:39,15.509,N,53.978,W
8/21/2012,21:15:39,15.511,N,53.988,W
8/21/2012,21:17:40,15.514,N,53.999,W
8/21/2012,21:19:40,15.517,N,54.009,W
8/21/2012,21:21:39,15.519,N,54.019,W
8/21/2012,21:23:39,15.522,N,54.029,W
8/21/2012,21:25:40,15.525,N,54.039,W
8/21/2012,21:27:39,15.527,N,54.049,W
8/21/2012,21:29:39,15.53,N,54.06,W
8/21/2012,21:31:40,15.532,N,54.07,W
8/21/2012,21:33:40,15.535,N,54.08,W
8/21/2012,21:35:39,15.537,N,54.091,W
8/21/2012,21:37:39,15.54,N,54.101,W
