Track,for,Joaquin,2015,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/28/2015,11:53:59,27.699,N,69.691,W,4
9/28/2015,11:56:00,27.699,N,69.694,W,4
9/28/2015,11:57:59,27.7,N,69.697,W,4
9/28/2015,12:00:00,27.7,N,69.7,W,4
9/28/2015,12:02:00,27.7,N,69.703,W,4
9/28/2015,12:03:59,27.701,N,69.706,W,4
9/28/2015,12:06:00,27.701,N,69.709,W,4
9/28/2015,12:07:59,27.702,N,69.712,W,4
9/28/2015,12:10:00,27.702,N,69.716,W,4
9/28/2015,12:11:59,27.703,N,69.719,W,4
9/28/2015,12:14:00,27.703,N,69.722,W,4
9/28/2015,12:15:59,27.704,N,69.725,W,4
9/28/2015,12:18:00,27.704,N,69.728,W,4
9/28/2015,12:19:59,27.704,N,69.731,W,4
9/28/2015,12:22:00,27.705,N,69.734,W,4
9/28/2015,12:23:59,27.705,N,69.737,W,4
9/28/2015,12:26:00,27.706,N,69.74,W,4
9/28/2015,12:27:59,27.706,N,69.743,W,4
9/28/2015,12:30:00,27.706,N,69.747,W,4
9/28/2015,12:32:00,27.707,N,69.75,W,4
9/28/2015,12:33:59,27.707,N,69.753,W,4
9/28/2015,12:36:00,27.708,N,69.756,W,4
9/28/2015,12:37:59,27.708,N,69.759,W,4
9/28/2015,12:40:00,27.708,N,69.762,W,4
9/28/2015,12:41:59,27.709,N,69.765,W,4
9/28/2015,12:44:00,27.709,N,69.768,W,4
9/28/2015,12:45:59,27.71,N,69.771,W,4
9/28/2015,12:48:00,27.71,N,69.774,W,4
9/28/2015,12:49:59,27.71,N,69.777,W,4
9/28/2015,12:52:00,27.711,N,69.78,W,4
9/28/2015,12:53:59,27.711,N,69.783,W,4
9/28/2015,12:56:00,27.711,N,69.786,W,4
9/28/2015,12:57:59,27.712,N,69.789,W,4
9/28/2015,13:00:00,27.712,N,69.792,W,4
9/28/2015,13:02:00,27.712,N,69.795,W,4
9/28/2015,13:03:59,27.712,N,69.798,W,4
9/28/2015,13:06:00,27.713,N,69.801,W,4
9/28/2015,13:07:59,27.713,N,69.804,W,4
9/28/2015,13:10:00,27.713,N,69.807,W,4
9/28/2015,13:11:59,27.713,N,69.81,W,4
9/28/2015,13:14:00,27.714,N,69.813,W,4
9/28/2015,13:15:59,27.714,N,69.816,W,4
9/28/2015,13:18:00,27.714,N,69.819,W,4
9/28/2015,13:19:59,27.714,N,69.822,W,4
9/28/2015,13:22:00,27.714,N,69.825,W,4
9/28/2015,13:23:59,27.715,N,69.827,W,4
9/28/2015,13:26:00,27.715,N,69.83,W,4
9/28/2015,13:27:59,27.715,N,69.833,W,4
9/28/2015,13:30:00,27.715,N,69.836,W,4
9/28/2015,13:32:00,27.715,N,69.839,W,4
9/28/2015,13:33:59,27.715,N,69.842,W,4
9/28/2015,13:36:00,27.715,N,69.844,W,4
9/28/2015,13:37:59,27.715,N,69.847,W,4
9/28/2015,13:40:00,27.715,N,69.85,W,4
9/28/2015,13:41:59,27.715,N,69.853,W,4
9/28/2015,13:44:00,27.715,N,69.856,W,4
