Track,for,Karen,2013,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
10/2/2013,22:40:59,20.173,N,86.49,W,0
10/2/2013,22:43:00,20.18,N,86.49,W,0
10/2/2013,22:45:00,20.187,N,86.491,W,0
10/2/2013,22:46:59,20.194,N,86.492,W,0
10/2/2013,22:49:00,20.201,N,86.493,W,0
10/2/2013,22:51:00,20.208,N,86.494,W,0
10/2/2013,22:52:59,20.215,N,86.494,W,0
10/2/2013,22:54:59,20.222,N,86.495,W,0
10/2/2013,22:57:00,20.229,N,86.496,W,0
10/2/2013,22:59:00,20.236,N,86.497,W,0
10/2/2013,23:00:59,20.243,N,86.497,W,0
10/2/2013,23:02:59,20.249,N,86.498,W,0
10/2/2013,23:05:00,20.256,N,86.499,W,0
10/2/2013,23:07:00,20.263,N,86.5,W,0
10/2/2013,23:08:59,20.27,N,86.5,W,0
10/2/2013,23:10:59,20.277,N,86.501,W,0
10/2/2013,23:13:00,20.284,N,86.502,W,0
10/2/2013,23:15:00,20.291,N,86.503,W,0
10/2/2013,23:16:59,20.298,N,86.504,W,0
10/2/2013,23:19:00,20.305,N,86.504,W,0
10/2/2013,23:21:00,20.312,N,86.505,W,0
10/2/2013,23:22:59,20.319,N,86.506,W,0
10/2/2013,23:24:59,20.326,N,86.507,W,0
10/2/2013,23:27:00,20.332,N,86.507,W,0
10/2/2013,23:29:00,20.339,N,86.508,W,0
10/2/2013,23:30:59,20.346,N,86.509,W,0
10/2/2013,23:32:59,20.353,N,86.51,W,0
10/2/2013,23:35:00,20.36,N,86.511,W,0
10/2/2013,23:37:00,20.367,N,86.511,W,0
10/2/2013,23:38:59,20.374,N,86.512,W,0
10/2/2013,23:40:59,20.381,N,86.513,W,0
10/2/2013,23:43:00,20.388,N,86.514,W,0
10/2/2013,23:45:00,20.395,N,86.515,W,0
10/2/2013,23:46:59,20.401,N,86.515,W,0
10/2/2013,23:49:00,20.408,N,86.516,W,0
10/2/2013,23:51:00,20.415,N,86.517,W,0
10/2/2013,23:52:59,20.422,N,86.518,W,0
10/2/2013,23:54:59,20.429,N,86.519,W,0
10/2/2013,23:57:00,20.436,N,86.519,W,0
10/2/2013,23:59:00,20.443,N,86.52,W,0
10/3/2013,0:00:59,20.449,N,86.521,W,0
10/3/2013,0:02:59,20.456,N,86.522,W,0
10/3/2013,0:05:00,20.463,N,86.523,W,0
10/3/2013,0:07:00,20.47,N,86.524,W,0
10/3/2013,0:08:59,20.477,N,86.524,W,0
10/3/2013,0:10:59,20.484,N,86.525,W,0
10/3/2013,0:13:00,20.491,N,86.526,W,0
10/3/2013,0:15:00,20.497,N,86.527,W,0
10/3/2013,0:16:59,20.504,N,86.528,W,0
10/3/2013,0:19:00,20.511,N,86.529,W,0
10/3/2013,0:21:00,20.518,N,86.529,W,0
10/3/2013,0:22:59,20.525,N,86.53,W,0
10/3/2013,0:24:59,20.531,N,86.531,W,0
10/3/2013,0:27:00,20.538,N,86.532,W,0
10/3/2013,0:29:00,20.545,N,86.533,W,0
10/3/2013,0:30:59,20.552,N,86.534,W,0
