Track,for,Katia,2011,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/6/2011,5:54:00,26.192,N,64.786,W,4
9/6/2011,5:56:00,26.195,N,64.791,W,4
9/6/2011,5:58:00,26.197,N,64.795,W,4
9/6/2011,6:00:00,26.2,N,64.8,W,4
9/6/2011,6:01:59,26.203,N,64.805,W,4
9/6/2011,6:03:59,26.205,N,64.809,W,4
9/6/2011,6:05:59,26.208,N,64.814,W,4
9/6/2011,6:07:59,26.211,N,64.818,W,4
9/6/2011,6:09:59,26.213,N,64.823,W,4
9/6/2011,6:11:59,26.216,N,64.827,W,4
9/6/2011,6:13:59,26.219,N,64.832,W,4
9/6/2011,6:16:00,26.221,N,64.836,W,4
9/6/2011,6:18:00,26.224,N,64.841,W,4
9/6/2011,6:20:00,26.227,N,64.845,W,4
9/6/2011,6:22:00,26.229,N,64.85,W,4
9/6/2011,6:24:00,26.232,N,64.854,W,4
9/6/2011,6:26:00,26.235,N,64.859,W,4
9/6/2011,6:28:00,26.237,N,64.863,W,4
9/6/2011,6:30:00,26.24,N,64.868,W,4
9/6/2011,6:31:59,26.243,N,64.872,W,4
9/6/2011,6:33:59,26.245,N,64.877,W,4
9/6/2011,6:35:59,26.248,N,64.881,W,4
9/6/2011,6:37:59,26.251,N,64.886,W,4
9/6/2011,6:39:59,26.253,N,64.89,W,4
9/6/2011,6:41:59,26.256,N,64.895,W,4
9/6/2011,6:43:59,26.259,N,64.899,W,4
9/6/2011,6:46:00,26.261,N,64.904,W,4
9/6/2011,6:48:00,26.264,N,64.909,W,4
9/6/2011,6:50:00,26.267,N,64.913,W,4
9/6/2011,6:52:00,26.269,N,64.918,W,4
9/6/2011,6:54:00,26.272,N,64.922,W,4
9/6/2011,6:56:00,26.275,N,64.927,W,4
9/6/2011,6:58:00,26.277,N,64.931,W,4
9/6/2011,7:00:00,26.28,N,64.936,W,4
9/6/2011,7:01:59,26.283,N,64.94,W,4
9/6/2011,7:03:59,26.285,N,64.945,W,4
9/6/2011,7:05:59,26.288,N,64.949,W,4
9/6/2011,7:07:59,26.291,N,64.954,W,4
9/6/2011,7:09:59,26.293,N,64.958,W,4
9/6/2011,7:11:59,26.296,N,64.963,W,4
9/6/2011,7:13:59,26.299,N,64.967,W,4
9/6/2011,7:16:00,26.301,N,64.972,W,4
9/6/2011,7:18:00,26.304,N,64.976,W,4
9/6/2011,7:20:00,26.307,N,64.981,W,4
9/6/2011,7:22:00,26.309,N,64.985,W,4
9/6/2011,7:24:00,26.312,N,64.99,W,4
9/6/2011,7:26:00,26.315,N,64.994,W,4
9/6/2011,7:28:00,26.317,N,64.999,W,4
9/6/2011,7:30:00,26.32,N,65.003,W,4
9/6/2011,7:31:59,26.323,N,65.008,W,4
9/6/2011,7:33:59,26.326,N,65.012,W,4
9/6/2011,7:35:59,26.328,N,65.017,W,4
9/6/2011,7:37:59,26.331,N,65.021,W,4
9/6/2011,7:39:59,26.334,N,65.026,W,4
9/6/2011,7:41:59,26.336,N,65.03,W,4
9/6/2011,7:43:59,26.339,N,65.035,W,4
