Track,for,Leslie,2012,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/6/2012,23:53:59,26.498,N,62.2,W
9/6/2012,23:55:59,26.499,N,62.2,W
9/6/2012,23:58:00,26.499,N,62.2,W
9/7/2012,0:00:00,26.5,N,62.2,W
9/7/2012,0:02:00,26.501,N,62.2,W
9/7/2012,0:04:00,26.501,N,62.2,W
9/7/2012,0:06:00,26.502,N,62.2,W
9/7/2012,0:08:00,26.502,N,62.2,W
9/7/2012,0:10:00,26.503,N,62.2,W
9/7/2012,0:12:00,26.503,N,62.2,W
9/7/2012,0:14:00,26.504,N,62.2,W
9/7/2012,0:16:00,26.504,N,62.2,W
9/7/2012,0:18:00,26.505,N,62.2,W
9/7/2012,0:20:00,26.506,N,62.2,W
9/7/2012,0:22:00,26.506,N,62.2,W
9/7/2012,0:24:00,26.507,N,62.2,W
9/7/2012,0:26:00,26.507,N,62.2,W
9/7/2012,0:28:00,26.508,N,62.2,W
9/7/2012,0:30:00,26.508,N,62.2,W
9/7/2012,0:32:00,26.509,N,62.2,W
9/7/2012,0:34:00,26.51,N,62.201,W
9/7/2012,0:36:00,26.51,N,62.201,W
9/7/2012,0:38:00,26.511,N,62.201,W
9/7/2012,0:40:00,26.511,N,62.201,W
9/7/2012,0:42:00,26.512,N,62.201,W
9/7/2012,0:44:00,26.512,N,62.201,W
9/7/2012,0:46:00,26.513,N,62.201,W
9/7/2012,0:48:00,26.513,N,62.201,W
9/7/2012,0:50:00,26.514,N,62.201,W
9/7/2012,0:52:00,26.515,N,62.201,W
9/7/2012,0:54:00,26.515,N,62.201,W
9/7/2012,0:56:00,26.516,N,62.201,W
9/7/2012,0:58:00,26.516,N,62.201,W
9/7/2012,1:00:00,26.517,N,62.201,W
9/7/2012,1:01:59,26.517,N,62.201,W
9/7/2012,1:04:00,26.518,N,62.201,W
9/7/2012,1:06:00,26.519,N,62.201,W
9/7/2012,1:07:59,26.519,N,62.201,W
9/7/2012,1:09:59,26.52,N,62.201,W
9/7/2012,1:12:00,26.52,N,62.201,W
9/7/2012,1:14:00,26.521,N,62.201,W
9/7/2012,1:15:59,26.521,N,62.201,W
9/7/2012,1:17:59,26.522,N,62.201,W
9/7/2012,1:20:00,26.522,N,62.201,W
9/7/2012,1:22:00,26.523,N,62.201,W
9/7/2012,1:23:59,26.524,N,62.201,W
9/7/2012,1:25:59,26.524,N,62.201,W
9/7/2012,1:28:00,26.525,N,62.201,W
9/7/2012,1:30:00,26.525,N,62.201,W
9/7/2012,1:31:59,26.526,N,62.201,W
9/7/2012,1:34:00,26.526,N,62.201,W
9/7/2012,1:36:00,26.527,N,62.201,W
9/7/2012,1:38:00,26.527,N,62.201,W
9/7/2012,1:39:59,26.528,N,62.201,W
9/7/2012,1:42:00,26.529,N,62.201,W
9/7/2012,1:44:00,26.529,N,62.201,W
9/7/2012,1:46:00,26.53,N,62.201,W
9/7/2012,1:47:59,26.53,N,62.201,W
9/7/2012,1:50:00,26.531,N,62.201,W
9/7/2012,1:52:00,26.531,N,62.201,W
9/7/2012,1:54:00,26.532,N,62.201,W
9/7/2012,1:55:59,26.533,N,62.202,W
9/7/2012,1:58:00,26.533,N,62.202,W
9/7/2012,2:00:00,26.534,N,62.202,W
9/7/2012,2:01:59,26.534,N,62.202,W
9/7/2012,2:03:59,26.535,N,62.202,W
9/7/2012,2:05:59,26.535,N,62.202,W
9/7/2012,2:08:00,26.536,N,62.202,W
9/7/2012,2:10:00,26.536,N,62.202,W
9/7/2012,2:12:00,26.537,N,62.202,W
9/7/2012,2:14:00,26.538,N,62.202,W
9/7/2012,2:15:59,26.538,N,62.202,W
9/7/2012,2:17:59,26.539,N,62.202,W
9/7/2012,2:19:59,26.539,N,62.202,W
9/7/2012,2:21:59,26.54,N,62.202,W
9/7/2012,2:24:00,26.54,N,62.202,W
9/7/2012,2:26:00,26.541,N,62.202,W
9/7/2012,2:28:00,26.541,N,62.202,W
9/7/2012,2:30:00,26.542,N,62.202,W
9/7/2012,2:31:59,26.543,N,62.202,W
9/7/2012,2:33:59,26.543,N,62.202,W
9/7/2012,2:35:59,26.544,N,62.202,W
9/7/2012,2:38:00,26.544,N,62.202,W
9/7/2012,2:40:00,26.545,N,62.202,W
9/7/2012,2:42:00,26.545,N,62.202,W
9/7/2012,2:44:00,26.546,N,62.202,W
9/7/2012,2:46:00,26.546,N,62.202,W
9/7/2012,2:47:59,26.547,N,62.202,W
9/7/2012,2:49:59,26.548,N,62.202,W
9/7/2012,2:51:59,26.548,N,62.202,W
9/7/2012,2:54:00,26.549,N,62.202,W
9/7/2012,2:56:00,26.549,N,62.202,W
9/7/2012,2:58:00,26.55,N,62.202,W
9/7/2012,3:00:00,26.55,N,62.202,W
9/7/2012,3:01:59,26.551,N,62.202,W
9/7/2012,3:03:59,26.551,N,62.202,W
9/7/2012,3:05:59,26.552,N,62.202,W
9/7/2012,3:08:00,26.553,N,62.202,W
