Track,for,Lili,2002,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
9/22/2002,23:53:59,12.098,N,54.562,W,4
9/22/2002,23:55:59,12.099,N,54.575,W,4
9/22/2002,23:58:00,12.099,N,54.587,W,4
9/23/2002,0:00:00,12.1,N,54.6,W,4
9/23/2002,0:02:00,12.101,N,54.613,W,4
9/23/2002,0:04:00,12.101,N,54.625,W,4
9/23/2002,0:06:00,12.102,N,54.638,W,4
9/23/2002,0:08:00,12.102,N,54.65,W,4
9/23/2002,0:10:00,12.103,N,54.663,W,4
9/23/2002,0:12:00,12.103,N,54.675,W,4
9/23/2002,0:14:00,12.104,N,54.688,W,4
9/23/2002,0:16:00,12.104,N,54.7,W,4
9/23/2002,0:18:00,12.105,N,54.713,W,4
9/23/2002,0:20:00,12.105,N,54.726,W,4
9/23/2002,0:22:00,12.106,N,54.738,W,4
9/23/2002,0:24:00,12.106,N,54.751,W,4
9/23/2002,0:26:00,12.107,N,54.763,W,4
9/23/2002,0:28:00,12.108,N,54.776,W,4
9/23/2002,0:30:00,12.108,N,54.788,W,4
9/23/2002,0:32:00,12.109,N,54.801,W,4
9/23/2002,0:34:00,12.109,N,54.814,W,4
9/23/2002,0:36:00,12.11,N,54.826,W,4
9/23/2002,0:38:00,12.11,N,54.839,W,4
9/23/2002,0:40:00,12.111,N,54.851,W,4
9/23/2002,0:42:00,12.111,N,54.864,W,4
9/23/2002,0:44:00,12.112,N,54.876,W,4
9/23/2002,0:46:00,12.112,N,54.889,W,4
9/23/2002,0:48:00,12.113,N,54.901,W,4
9/23/2002,0:50:00,12.114,N,54.914,W,4
9/23/2002,0:52:00,12.114,N,54.926,W,4
9/23/2002,0:54:00,12.115,N,54.939,W,4
9/23/2002,0:56:00,12.115,N,54.952,W,4
9/23/2002,0:58:00,12.116,N,54.964,W,4
9/23/2002,1:00:00,12.116,N,54.977,W,4
9/23/2002,1:01:59,12.117,N,54.989,W,4
9/23/2002,1:04:00,12.117,N,55.002,W,4
9/23/2002,1:06:00,12.118,N,55.014,W,4
9/23/2002,1:07:59,12.118,N,55.027,W,4
9/23/2002,1:09:59,12.119,N,55.039,W,4
9/23/2002,1:12:00,12.119,N,55.052,W,4
9/23/2002,1:14:00,12.12,N,55.064,W,4
9/23/2002,1:15:59,12.121,N,55.077,W,4
9/23/2002,1:17:59,12.121,N,55.089,W,4
9/23/2002,1:20:00,12.122,N,55.102,W,4
9/23/2002,1:22:00,12.122,N,55.114,W,4
9/23/2002,1:23:59,12.123,N,55.127,W,4
9/23/2002,1:25:59,12.123,N,55.139,W,4
9/23/2002,1:28:00,12.124,N,55.152,W,4
9/23/2002,1:30:00,12.124,N,55.164,W,4
9/23/2002,1:31:59,12.125,N,55.177,W,4
9/23/2002,1:34:00,12.125,N,55.189,W,4
9/23/2002,1:36:00,12.126,N,55.202,W,4
9/23/2002,1:38:00,12.127,N,55.214,W,4
9/23/2002,1:39:59,12.127,N,55.227,W,4
9/23/2002,1:42:00,12.128,N,55.239,W,4
9/23/2002,1:44:00,12.128,N,55.252,W,4
