Track,for,Lorenzo,2007,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/25/2007,18:03:08,21.734,N,94.734,W
9/25/2007,18:05:08,21.738,N,94.736,W
9/25/2007,18:07:09,21.741,N,94.739,W
9/25/2007,18:09:09,21.745,N,94.741,W
9/25/2007,18:11:08,21.749,N,94.744,W
9/25/2007,18:13:08,21.752,N,94.746,W
9/25/2007,18:15:09,21.756,N,94.748,W
9/25/2007,18:17:09,21.759,N,94.751,W
9/25/2007,18:19:08,21.763,N,94.753,W
9/25/2007,18:21:09,21.766,N,94.756,W
9/25/2007,18:23:09,21.77,N,94.758,W
9/25/2007,18:25:08,21.773,N,94.76,W
9/25/2007,18:27:08,21.777,N,94.763,W
9/25/2007,18:29:09,21.78,N,94.765,W
9/25/2007,18:31:09,21.783,N,94.767,W
9/25/2007,18:33:08,21.786,N,94.769,W
9/25/2007,18:35:08,21.789,N,94.771,W
9/25/2007,18:37:09,21.792,N,94.773,W
9/25/2007,18:39:09,21.795,N,94.775,W
9/25/2007,18:41:08,21.798,N,94.776,W
9/25/2007,18:43:08,21.801,N,94.778,W
9/25/2007,18:45:09,21.804,N,94.779,W
9/25/2007,18:47:09,21.806,N,94.781,W
9/25/2007,18:49:08,21.809,N,94.782,W
9/25/2007,18:51:09,21.811,N,94.783,W
9/25/2007,18:53:09,21.813,N,94.784,W
9/25/2007,18:55:08,21.815,N,94.785,W
9/25/2007,18:57:08,21.817,N,94.785,W
9/25/2007,18:59:09,21.819,N,94.786,W
9/25/2007,19:01:09,21.82,N,94.786,W
9/25/2007,19:03:08,21.822,N,94.786,W
9/25/2007,19:05:08,21.823,N,94.786,W
9/25/2007,19:07:09,21.824,N,94.786,W
9/25/2007,19:09:09,21.825,N,94.786,W
9/25/2007,19:11:08,21.826,N,94.785,W
9/25/2007,19:13:08,21.826,N,94.784,W
9/25/2007,19:15:09,21.826,N,94.783,W
9/25/2007,19:17:09,21.826,N,94.782,W
9/25/2007,19:19:08,21.826,N,94.781,W
9/25/2007,19:21:09,21.826,N,94.779,W
9/25/2007,19:23:09,21.826,N,94.777,W
9/25/2007,19:25:08,21.825,N,94.775,W
9/25/2007,19:27:08,21.824,N,94.773,W
9/25/2007,19:29:09,21.823,N,94.77,W
9/25/2007,19:31:09,21.821,N,94.767,W
9/25/2007,19:33:08,21.819,N,94.764,W
9/25/2007,19:35:08,21.817,N,94.76,W
9/25/2007,19:37:09,21.815,N,94.757,W
9/25/2007,19:39:09,21.813,N,94.752,W
9/25/2007,19:41:08,21.81,N,94.748,W
9/25/2007,19:43:08,21.807,N,94.743,W
9/25/2007,19:45:09,21.803,N,94.738,W
9/25/2007,19:47:09,21.8,N,94.733,W
9/25/2007,19:49:08,21.796,N,94.728,W
9/25/2007,19:51:09,21.792,N,94.722,W
9/25/2007,19:53:09,21.787,N,94.716,W
9/25/2007,19:55:08,21.783,N,94.709,W
9/25/2007,19:57:08,21.778,N,94.703,W
9/25/2007,19:59:09,21.773,N,94.696,W
9/25/2007,20:01:09,21.767,N,94.689,W
9/25/2007,20:03:08,21.762,N,94.682,W
9/25/2007,20:05:08,21.756,N,94.674,W
9/25/2007,20:07:09,21.75,N,94.666,W
9/25/2007,20:09:09,21.744,N,94.658,W
9/25/2007,20:11:08,21.737,N,94.65,W
9/25/2007,20:13:08,21.731,N,94.642,W
9/25/2007,20:15:09,21.724,N,94.633,W
9/25/2007,20:15:26,21.723,N,94.632,W
9/25/2007,20:17:26,21.724,N,94.646,W
9/25/2007,20:19:27,21.724,N,94.661,W
9/25/2007,20:21:27,21.725,N,94.675,W
9/25/2007,20:23:26,21.726,N,94.689,W
9/25/2007,20:25:26,21.726,N,94.703,W
9/25/2007,20:27:27,21.727,N,94.718,W
9/25/2007,20:29:26,21.727,N,94.732,W
9/25/2007,20:31:26,21.728,N,94.746,W
9/25/2007,20:33:27,21.729,N,94.76,W
9/25/2007,20:35:27,21.729,N,94.775,W
9/25/2007,20:37:26,21.73,N,94.789,W
9/25/2007,20:39:26,21.731,N,94.803,W
9/25/2007,20:41:27,21.731,N,94.817,W
9/25/2007,20:43:27,21.732,N,94.832,W
9/25/2007,20:45:26,21.733,N,94.846,W
9/25/2007,20:47:26,21.733,N,94.86,W
9/25/2007,20:49:27,21.734,N,94.874,W
9/25/2007,20:51:27,21.734,N,94.889,W
9/25/2007,20:53:26,21.735,N,94.903,W
9/25/2007,20:55:26,21.736,N,94.917,W
9/25/2007,20:57:27,21.736,N,94.931,W
9/25/2007,20:59:26,21.737,N,94.946,W
9/25/2007,21:01:26,21.738,N,94.96,W
9/25/2007,21:03:27,21.738,N,94.974,W
9/25/2007,21:05:27,21.739,N,94.988,W
9/25/2007,21:07:26,21.74,N,95.003,W
9/25/2007,21:09:26,21.74,N,95.017,W
9/25/2007,21:11:27,21.741,N,95.031,W
9/25/2007,21:11:49,21.741,N,95.034,W
9/25/2007,21:13:50,21.742,N,95.048,W
