Track,for,Maria,2011,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/10/2011,17:53:59,17.798,N,61.991,W
9/10/2011,17:55:59,17.799,N,61.994,W
9/10/2011,17:58:00,17.799,N,61.997,W
9/10/2011,18:00:00,17.8,N,62,W
9/10/2011,18:01:59,17.801,N,62.003,W
9/10/2011,18:04:00,17.801,N,62.006,W
9/10/2011,18:06:00,17.802,N,62.009,W
9/10/2011,18:07:59,17.802,N,62.011,W
9/10/2011,18:09:59,17.803,N,62.014,W
9/10/2011,18:12:00,17.804,N,62.017,W
9/10/2011,18:14:00,17.804,N,62.02,W
9/10/2011,18:15:59,17.805,N,62.023,W
9/10/2011,18:17:59,17.805,N,62.026,W
9/10/2011,18:20:00,17.806,N,62.028,W
9/10/2011,18:22:00,17.807,N,62.031,W
9/10/2011,18:23:59,17.807,N,62.034,W
9/10/2011,18:25:59,17.808,N,62.037,W
9/10/2011,18:28:00,17.809,N,62.04,W
9/10/2011,18:30:00,17.809,N,62.043,W
9/10/2011,18:31:59,17.81,N,62.046,W
9/10/2011,18:34:00,17.81,N,62.048,W
9/10/2011,18:36:00,17.811,N,62.051,W
9/10/2011,18:37:59,17.812,N,62.054,W
9/10/2011,18:39:59,17.812,N,62.057,W
9/10/2011,18:42:00,17.813,N,62.06,W
9/10/2011,18:44:00,17.814,N,62.063,W
9/10/2011,18:45:59,17.814,N,62.066,W
9/10/2011,18:47:59,17.815,N,62.068,W
9/10/2011,18:50:00,17.816,N,62.071,W
9/10/2011,18:52:00,17.816,N,62.074,W
9/10/2011,18:53:59,17.817,N,62.077,W
9/10/2011,18:55:59,17.818,N,62.08,W
9/10/2011,18:58:00,17.818,N,62.083,W
9/10/2011,19:00:00,17.819,N,62.085,W
9/10/2011,19:01:59,17.82,N,62.088,W
9/10/2011,19:04:00,17.82,N,62.091,W
9/10/2011,19:06:00,17.821,N,62.094,W
9/10/2011,19:07:59,17.822,N,62.097,W
9/10/2011,19:09:59,17.823,N,62.1,W
9/10/2011,19:12:00,17.823,N,62.103,W
9/10/2011,19:14:00,17.824,N,62.105,W
9/10/2011,19:15:59,17.825,N,62.108,W
9/10/2011,19:17:59,17.826,N,62.111,W
9/10/2011,19:20:00,17.826,N,62.114,W
9/10/2011,19:22:00,17.827,N,62.117,W
9/10/2011,19:23:59,17.828,N,62.12,W
9/10/2011,19:25:59,17.829,N,62.123,W
9/10/2011,19:28:00,17.83,N,62.126,W
9/10/2011,19:30:00,17.83,N,62.128,W
9/10/2011,19:31:59,17.831,N,62.131,W
9/10/2011,19:34:00,17.832,N,62.134,W
9/10/2011,19:36:00,17.833,N,62.137,W
9/10/2011,19:37:59,17.834,N,62.14,W
9/10/2011,19:39:59,17.834,N,62.143,W
9/10/2011,19:42:00,17.835,N,62.146,W
9/10/2011,19:44:00,17.836,N,62.149,W
9/10/2011,19:45:59,17.837,N,62.151,W
9/10/2011,19:47:59,17.838,N,62.154,W
9/10/2011,19:50:00,17.839,N,62.157,W
9/10/2011,19:52:00,17.84,N,62.16,W
9/10/2011,19:53:59,17.841,N,62.163,W
9/10/2011,19:55:59,17.842,N,62.166,W
9/10/2011,19:58:00,17.843,N,62.169,W
9/10/2011,20:00:00,17.844,N,62.172,W
9/10/2011,20:01:59,17.845,N,62.174,W
9/10/2011,20:04:00,17.846,N,62.177,W
9/10/2011,20:06:00,17.847,N,62.18,W
9/10/2011,20:07:59,17.848,N,62.183,W
9/10/2011,20:09:59,17.849,N,62.186,W
9/10/2011,20:12:00,17.85,N,62.189,W
9/10/2011,20:14:00,17.851,N,62.192,W
9/10/2011,20:15:59,17.852,N,62.195,W
9/10/2011,20:17:59,17.853,N,62.198,W
9/10/2011,20:20:00,17.854,N,62.201,W
9/10/2011,20:22:00,17.855,N,62.203,W
9/10/2011,20:23:59,17.856,N,62.206,W
9/10/2011,20:25:59,17.857,N,62.209,W
9/10/2011,20:28:00,17.859,N,62.212,W
9/10/2011,20:30:00,17.86,N,62.215,W
9/10/2011,20:31:59,17.861,N,62.218,W
9/10/2011,20:34:00,17.862,N,62.221,W
9/10/2011,20:36:00,17.863,N,62.224,W
9/10/2011,20:37:59,17.865,N,62.227,W
9/10/2011,20:39:59,17.866,N,62.23,W
9/10/2011,20:42:00,17.867,N,62.233,W
9/10/2011,20:44:00,17.868,N,62.235,W
9/10/2011,20:45:59,17.87,N,62.238,W
9/10/2011,20:47:59,17.871,N,62.241,W
9/10/2011,20:50:00,17.872,N,62.244,W
9/10/2011,20:52:00,17.874,N,62.247,W
9/10/2011,20:53:59,17.875,N,62.25,W
9/10/2011,20:55:59,17.876,N,62.253,W
9/10/2011,20:58:00,17.878,N,62.256,W
9/10/2011,21:00:00,17.879,N,62.259,W
9/10/2011,21:01:59,17.881,N,62.262,W
9/10/2011,21:04:00,17.882,N,62.265,W
9/10/2011,21:06:00,17.884,N,62.268,W
9/10/2011,21:07:59,17.885,N,62.271,W
