Track,for,Michael,2018,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
10/7/2018,18:08:20,18.871,N,86.294,W,5
10/7/2018,18:10:19,18.877,N,86.276,W,5
10/7/2018,18:12:19,18.884,N,86.258,W,5
10/7/2018,18:14:20,18.89,N,86.24,W,5
10/7/2018,18:16:20,18.896,N,86.222,W,5
10/7/2018,18:18:19,18.903,N,86.204,W,5
10/7/2018,18:20:19,18.909,N,86.186,W,5
10/7/2018,18:22:20,18.915,N,86.168,W,5
10/7/2018,18:24:20,18.921,N,86.15,W,5
10/7/2018,18:26:19,18.928,N,86.132,W,5
10/7/2018,18:28:19,18.934,N,86.114,W,5
10/7/2018,18:30:20,18.94,N,86.096,W,5
10/7/2018,18:32:20,18.946,N,86.078,W,5
10/7/2018,18:34:19,18.953,N,86.06,W,5
10/7/2018,18:36:20,18.959,N,86.042,W,5
10/7/2018,18:38:20,18.965,N,86.025,W,5
10/7/2018,18:40:19,18.971,N,86.007,W,5
10/7/2018,18:42:19,18.978,N,85.989,W,5
10/7/2018,18:44:20,18.984,N,85.972,W,5
10/7/2018,18:46:20,18.99,N,85.954,W,5
10/7/2018,18:48:19,18.997,N,85.937,W,5
10/7/2018,18:50:19,19.003,N,85.92,W,5
10/7/2018,18:52:20,19.009,N,85.903,W,5
10/7/2018,18:54:20,19.015,N,85.885,W,5
10/7/2018,18:56:19,19.022,N,85.869,W,5
10/7/2018,18:58:19,19.028,N,85.852,W,5
10/7/2018,19:00:20,19.034,N,85.835,W,5
10/7/2018,19:02:20,19.041,N,85.818,W,5
10/7/2018,19:04:19,19.047,N,85.802,W,5
10/7/2018,19:06:20,19.053,N,85.785,W,5
10/7/2018,19:08:20,19.06,N,85.769,W,5
10/7/2018,19:10:19,19.066,N,85.753,W,5
10/7/2018,19:12:19,19.072,N,85.737,W,5
10/7/2018,19:14:20,19.079,N,85.721,W,5
10/7/2018,19:16:20,19.085,N,85.706,W,5
10/7/2018,19:18:19,19.092,N,85.69,W,5
10/7/2018,19:20:19,19.098,N,85.675,W,5
10/7/2018,19:22:20,19.104,N,85.66,W,5
10/7/2018,19:24:20,19.111,N,85.645,W,5
10/7/2018,19:26:19,19.117,N,85.63,W,5
10/7/2018,19:28:19,19.124,N,85.616,W,5
10/7/2018,19:30:20,19.13,N,85.601,W,5
10/7/2018,19:32:20,19.137,N,85.587,W,5
10/7/2018,19:34:19,19.143,N,85.573,W,5
10/7/2018,19:36:20,19.15,N,85.56,W,5
10/7/2018,19:38:20,19.156,N,85.546,W,5
10/7/2018,19:40:19,19.163,N,85.533,W,5
10/7/2018,19:42:19,19.169,N,85.52,W,5
10/7/2018,19:44:20,19.176,N,85.507,W,5
10/7/2018,19:46:20,19.182,N,85.494,W,5
10/7/2018,19:48:19,19.189,N,85.482,W,5
10/7/2018,19:50:19,19.195,N,85.47,W,5
10/7/2018,19:52:20,19.202,N,85.458,W,5
10/7/2018,19:54:20,19.209,N,85.446,W,5
10/7/2018,19:56:19,19.215,N,85.435,W,5
10/7/2018,19:58:19,19.222,N,85.424,W,5
