Track,for,Michelle,2001,,,
Date,Time,(UTC),Latitude,Longitude,,
MM/DD/Year,HH:MM:SS,(deg),(deg),,,4
10/31/2001,20:30:50,15.316,N,83.055,W,4
10/31/2001,20:32:51,15.321,N,83.054,W,4
10/31/2001,20:34:51,15.326,N,83.054,W,4
10/31/2001,20:36:50,15.331,N,83.053,W,
10/31/2001,20:38:50,15.336,N,83.052,W,
10/31/2001,20:40:51,15.341,N,83.052,W,
10/31/2001,20:42:50,15.346,N,83.051,W,
10/31/2001,20:44:50,15.35,N,83.05,W,
10/31/2001,20:46:51,15.355,N,83.049,W,
10/31/2001,20:48:51,15.36,N,83.049,W,
10/31/2001,20:50:50,15.365,N,83.048,W,
10/31/2001,20:52:50,15.37,N,83.047,W,
10/31/2001,20:54:51,15.375,N,83.047,W,
10/31/2001,20:56:51,15.38,N,83.046,W,
10/31/2001,20:58:50,15.385,N,83.045,W,
10/31/2001,21:00:50,15.389,N,83.045,W,
10/31/2001,21:02:51,15.394,N,83.044,W,
10/31/2001,21:04:51,15.399,N,83.043,W,
10/31/2001,21:06:50,15.404,N,83.043,W,
10/31/2001,21:08:50,15.409,N,83.042,W,
10/31/2001,21:10:51,15.414,N,83.041,W,
10/31/2001,21:12:50,15.419,N,83.041,W,
10/31/2001,21:14:50,15.424,N,83.04,W,
10/31/2001,21:16:51,15.428,N,83.039,W,
10/31/2001,21:18:51,15.433,N,83.039,W,
10/31/2001,21:20:50,15.438,N,83.038,W,
10/31/2001,21:22:50,15.443,N,83.037,W,
10/31/2001,21:24:51,15.448,N,83.037,W,
10/31/2001,21:26:51,15.453,N,83.036,W,
10/31/2001,21:28:50,15.458,N,83.035,W,
10/31/2001,21:30:50,15.462,N,83.035,W,
10/31/2001,21:32:51,15.467,N,83.034,W,
10/31/2001,21:34:51,15.472,N,83.034,W,
10/31/2001,21:36:50,15.477,N,83.033,W,
10/31/2001,21:38:50,15.482,N,83.032,W,
10/31/2001,21:40:51,15.487,N,83.032,W,
10/31/2001,21:42:50,15.492,N,83.031,W,
10/31/2001,21:44:50,15.496,N,83.031,W,
10/31/2001,21:46:51,15.501,N,83.03,W,
10/31/2001,21:48:51,15.506,N,83.029,W,
10/31/2001,21:50:50,15.511,N,83.029,W,
10/31/2001,21:52:50,15.516,N,83.028,W,
10/31/2001,21:54:51,15.521,N,83.028,W,
10/31/2001,21:56:51,15.526,N,83.027,W,
10/31/2001,21:58:50,15.53,N,83.027,W,
10/31/2001,22:00:50,15.535,N,83.026,W,
10/31/2001,22:02:51,15.54,N,83.026,W,
