Track,for,Mindy,2003,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
10/10/2003,17:53:59,19.082,N,68.816,W,0
10/10/2003,17:55:59,19.088,N,68.81,W,0
10/10/2003,17:58:00,19.094,N,68.805,W,0
10/10/2003,18:00:00,19.1,N,68.8,W,0
10/10/2003,18:01:59,19.106,N,68.795,W,0
10/10/2003,18:04:00,19.112,N,68.79,W,0
10/10/2003,18:06:00,19.118,N,68.784,W,0
10/10/2003,18:07:59,19.124,N,68.779,W,0
10/10/2003,18:09:59,19.13,N,68.775,W,0
10/10/2003,18:12:00,19.136,N,68.77,W,0
10/10/2003,18:14:00,19.142,N,68.766,W,0
10/10/2003,18:15:59,19.148,N,68.761,W,0
10/10/2003,18:17:59,19.154,N,68.758,W,0
10/10/2003,18:20:00,19.16,N,68.754,W,0
10/10/2003,18:22:00,19.166,N,68.751,W,0
10/10/2003,18:23:59,19.172,N,68.748,W,0
10/10/2003,18:25:59,19.178,N,68.746,W,0
10/10/2003,18:28:00,19.184,N,68.745,W,0
10/10/2003,18:30:00,19.189,N,68.743,W,0
10/10/2003,18:31:59,19.195,N,68.743,W,0
10/10/2003,18:34:00,19.201,N,68.743,W,0
10/10/2003,18:36:00,19.206,N,68.744,W,0
10/10/2003,18:37:59,19.212,N,68.745,W,0
10/10/2003,18:39:59,19.217,N,68.747,W,0
10/10/2003,18:42:00,19.222,N,68.75,W,0
10/10/2003,18:44:00,19.228,N,68.754,W,0
10/10/2003,18:45:59,19.233,N,68.759,W,0
10/10/2003,18:47:59,19.238,N,68.764,W,0
10/10/2003,18:50:00,19.243,N,68.77,W,0
10/10/2003,18:52:00,19.248,N,68.778,W,0
10/10/2003,18:53:59,19.253,N,68.786,W,0
10/10/2003,18:55:59,19.258,N,68.796,W,0
10/10/2003,18:58:00,19.262,N,68.806,W,0
10/10/2003,19:00:00,19.267,N,68.818,W,0
10/10/2003,19:01:59,19.271,N,68.831,W,0
10/10/2003,19:04:00,19.276,N,68.845,W,0
10/10/2003,19:06:00,19.28,N,68.86,W,0
10/10/2003,19:07:59,19.284,N,68.877,W,0
10/10/2003,19:09:59,19.288,N,68.895,W,0
10/10/2003,19:12:00,19.292,N,68.914,W,0
10/10/2003,19:14:00,19.295,N,68.935,W,0
10/10/2003,19:15:59,19.299,N,68.957,W,0
10/10/2003,19:17:59,19.302,N,68.98,W,0
10/10/2003,19:20:00,19.306,N,69.005,W,0
10/10/2003,19:22:00,19.309,N,69.032,W,0
10/10/2003,19:23:59,19.312,N,69.06,W,0
10/10/2003,19:23:59,19.312,N,69.06,W,0
10/10/2003,19:25:59,19.318,N,69.077,W,0
10/10/2003,19:28:00,19.325,N,69.093,W,0
10/10/2003,19:30:00,19.333,N,69.108,W,0
10/10/2003,19:31:59,19.342,N,69.121,W,0
10/10/2003,19:34:00,19.352,N,69.133,W,0
10/10/2003,19:36:00,19.363,N,69.143,W,0
10/10/2003,19:37:59,19.375,N,69.152,W,0
10/10/2003,19:39:59,19.388,N,69.158,W,0
10/10/2003,19:42:00,19.402,N,69.163,W,0
