Track,for,Omar,2008,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/13/2008,5:54:00,15.403,N,68.988,W
10/13/2008,5:56:00,15.402,N,68.992,W
10/13/2008,5:58:00,15.401,N,68.996,W
10/13/2008,6:00:00,15.4,N,69,W
10/13/2008,6:01:59,15.399,N,69.004,W
10/13/2008,6:03:59,15.398,N,69.008,W
10/13/2008,6:05:59,15.397,N,69.012,W
10/13/2008,6:07:59,15.396,N,69.016,W
10/13/2008,6:09:59,15.395,N,69.019,W
10/13/2008,6:11:59,15.394,N,69.023,W
10/13/2008,6:13:59,15.393,N,69.027,W
10/13/2008,6:16:00,15.393,N,69.031,W
10/13/2008,6:18:00,15.392,N,69.035,W
10/13/2008,6:20:00,15.391,N,69.039,W
10/13/2008,6:22:00,15.39,N,69.043,W
10/13/2008,6:24:00,15.389,N,69.047,W
10/13/2008,6:26:00,15.388,N,69.051,W
10/13/2008,6:28:00,15.387,N,69.054,W
10/13/2008,6:30:00,15.386,N,69.058,W
10/13/2008,6:31:59,15.385,N,69.062,W
10/13/2008,6:33:59,15.384,N,69.066,W
10/13/2008,6:35:59,15.383,N,69.07,W
10/13/2008,6:37:59,15.382,N,69.074,W
10/13/2008,6:39:59,15.381,N,69.078,W
10/13/2008,6:41:59,15.38,N,69.082,W
10/13/2008,6:43:59,15.379,N,69.085,W
10/13/2008,6:46:00,15.379,N,69.089,W
10/13/2008,6:48:00,15.378,N,69.093,W
10/13/2008,6:50:00,15.377,N,69.097,W
10/13/2008,6:52:00,15.376,N,69.101,W
10/13/2008,6:54:00,15.375,N,69.105,W
10/13/2008,6:56:00,15.374,N,69.109,W
10/13/2008,6:58:00,15.373,N,69.112,W
10/13/2008,7:00:00,15.372,N,69.116,W
10/13/2008,7:01:59,15.371,N,69.12,W
10/13/2008,7:03:59,15.37,N,69.124,W
10/13/2008,7:05:59,15.369,N,69.128,W
10/13/2008,7:07:59,15.368,N,69.132,W
10/13/2008,7:09:59,15.367,N,69.135,W
10/13/2008,7:11:59,15.366,N,69.139,W
10/13/2008,7:13:59,15.365,N,69.143,W
10/13/2008,7:16:00,15.364,N,69.147,W
10/13/2008,7:18:00,15.363,N,69.151,W
10/13/2008,7:20:00,15.362,N,69.154,W
10/13/2008,7:22:00,15.361,N,69.158,W
10/13/2008,7:24:00,15.361,N,69.162,W
10/13/2008,7:26:00,15.36,N,69.166,W
10/13/2008,7:28:00,15.359,N,69.17,W
10/13/2008,7:30:00,15.358,N,69.173,W
10/13/2008,7:31:59,15.357,N,69.177,W
10/13/2008,7:33:59,15.356,N,69.181,W
10/13/2008,7:35:59,15.355,N,69.185,W
10/13/2008,7:37:59,15.354,N,69.189,W
10/13/2008,7:39:59,15.353,N,69.192,W
10/13/2008,7:41:59,15.352,N,69.196,W
10/13/2008,7:43:59,15.351,N,69.2,W
10/13/2008,7:46:00,15.35,N,69.204,W
10/13/2008,7:48:00,15.349,N,69.207,W
10/13/2008,7:50:00,15.348,N,69.211,W
10/13/2008,7:52:00,15.347,N,69.215,W
10/13/2008,7:54:00,15.346,N,69.219,W
10/13/2008,7:56:00,15.345,N,69.222,W
10/13/2008,7:58:00,15.344,N,69.226,W
10/13/2008,8:00:00,15.343,N,69.23,W
10/13/2008,8:02:00,15.342,N,69.233,W
10/13/2008,8:03:59,15.341,N,69.237,W
10/13/2008,8:06:00,15.34,N,69.241,W
10/13/2008,8:07:59,15.339,N,69.244,W
10/13/2008,8:10:00,15.338,N,69.248,W
10/13/2008,8:11:59,15.337,N,69.252,W
10/13/2008,8:14:00,15.336,N,69.255,W
10/13/2008,8:15:59,15.335,N,69.259,W
10/13/2008,8:18:00,15.334,N,69.263,W
10/13/2008,8:19:59,15.333,N,69.266,W
10/13/2008,8:22:00,15.332,N,69.27,W
10/13/2008,8:23:59,15.331,N,69.274,W
10/13/2008,8:26:00,15.33,N,69.277,W
10/13/2008,8:27:59,15.329,N,69.281,W
10/13/2008,8:30:00,15.328,N,69.285,W
10/13/2008,8:32:00,15.327,N,69.288,W
10/13/2008,8:33:59,15.326,N,69.292,W
10/13/2008,8:36:00,15.325,N,69.295,W
10/13/2008,8:37:59,15.324,N,69.299,W
10/13/2008,8:40:00,15.323,N,69.302,W
10/13/2008,8:41:59,15.322,N,69.306,W
10/13/2008,8:44:00,15.321,N,69.31,W
10/13/2008,8:45:59,15.32,N,69.313,W
10/13/2008,8:48:00,15.319,N,69.317,W
10/13/2008,8:49:59,15.318,N,69.32,W
10/13/2008,8:52:00,15.316,N,69.324,W
10/13/2008,8:53:59,15.315,N,69.327,W
10/13/2008,8:56:00,15.314,N,69.331,W
10/13/2008,8:57:59,15.313,N,69.334,W
10/13/2008,9:00:00,15.312,N,69.338,W
10/13/2008,9:02:00,15.311,N,69.341,W
10/13/2008,9:03:59,15.31,N,69.345,W
10/13/2008,9:06:00,15.309,N,69.348,W
10/13/2008,9:07:59,15.308,N,69.351,W
