Track,for,Philippe,2017,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/27/2017,18:56:40,16.543,N,84.588,W
10/27/2017,18:58:39,16.552,N,84.585,W
10/27/2017,19:00:39,16.562,N,84.581,W
10/27/2017,19:02:40,16.571,N,84.578,W
10/27/2017,19:04:40,16.58,N,84.575,W
10/27/2017,19:06:39,16.59,N,84.571,W
10/27/2017,19:08:39,16.599,N,84.568,W
10/27/2017,19:10:40,16.608,N,84.565,W
10/27/2017,19:12:39,16.617,N,84.561,W
10/27/2017,19:14:39,16.627,N,84.558,W
10/27/2017,19:16:40,16.636,N,84.554,W
10/27/2017,19:18:40,16.644,N,84.551,W
10/27/2017,19:20:39,16.653,N,84.547,W
10/27/2017,19:22:39,16.662,N,84.543,W
10/27/2017,19:24:40,16.67,N,84.539,W
10/27/2017,19:26:40,16.679,N,84.535,W
10/27/2017,19:28:39,16.687,N,84.531,W
10/27/2017,19:30:39,16.695,N,84.527,W
10/27/2017,19:32:40,16.702,N,84.522,W
10/27/2017,19:34:40,16.71,N,84.517,W
10/27/2017,19:36:39,16.717,N,84.512,W
10/27/2017,19:38:39,16.724,N,84.507,W
10/27/2017,19:40:40,16.731,N,84.502,W
10/27/2017,19:42:39,16.737,N,84.496,W
10/27/2017,19:44:39,16.743,N,84.49,W
10/27/2017,19:46:40,16.748,N,84.484,W
10/27/2017,19:48:40,16.754,N,84.478,W
10/27/2017,19:50:39,16.759,N,84.471,W
10/27/2017,19:52:39,16.763,N,84.464,W
10/27/2017,19:54:40,16.767,N,84.457,W
10/27/2017,19:56:40,16.771,N,84.449,W
10/27/2017,19:58:39,16.775,N,84.441,W
10/27/2017,20:00:39,16.777,N,84.433,W
10/27/2017,20:02:40,16.78,N,84.424,W
10/27/2017,20:04:40,16.782,N,84.415,W
10/27/2017,20:06:39,16.783,N,84.405,W
10/27/2017,20:08:34,16.784,N,84.396,W
10/27/2017,20:10:34,16.788,N,84.388,W
10/27/2017,20:12:33,16.792,N,84.381,W
10/27/2017,20:14:33,16.796,N,84.373,W
10/27/2017,20:16:34,16.8,N,84.366,W
10/27/2017,20:18:33,16.803,N,84.358,W
10/27/2017,20:20:33,16.807,N,84.351,W
10/27/2017,20:22:34,16.811,N,84.343,W
10/27/2017,20:24:34,16.815,N,84.336,W
10/27/2017,20:26:33,16.819,N,84.328,W
10/27/2017,20:28:33,16.823,N,84.321,W
10/27/2017,20:30:34,16.827,N,84.313,W
10/27/2017,20:32:34,16.831,N,84.306,W
10/27/2017,20:34:33,16.835,N,84.298,W
10/27/2017,20:36:33,16.839,N,84.291,W
10/27/2017,20:38:34,16.843,N,84.283,W
10/27/2017,20:40:34,16.847,N,84.276,W
10/27/2017,20:42:33,16.851,N,84.268,W
10/27/2017,20:44:33,16.855,N,84.261,W
10/27/2017,20:46:34,16.859,N,84.253,W
10/27/2017,20:48:33,16.862,N,84.246,W
10/27/2017,20:50:33,16.866,N,84.239,W
10/27/2017,20:52:34,16.87,N,84.231,W
10/27/2017,20:54:34,16.874,N,84.224,W
10/27/2017,20:56:33,16.878,N,84.216,W
10/27/2017,20:58:33,16.882,N,84.209,W
10/27/2017,21:00:34,16.886,N,84.201,W
10/27/2017,21:02:34,16.89,N,84.194,W
10/27/2017,21:04:33,16.894,N,84.187,W
10/27/2017,21:06:33,16.898,N,84.179,W
10/27/2017,21:08:34,16.903,N,84.172,W
10/27/2017,21:10:34,16.907,N,84.164,W
10/27/2017,21:12:33,16.911,N,84.157,W
10/27/2017,21:14:33,16.915,N,84.15,W
10/27/2017,21:16:34,16.919,N,84.142,W
10/27/2017,21:18:33,16.923,N,84.135,W
10/27/2017,21:20:33,16.927,N,84.128,W
10/27/2017,21:22:34,16.931,N,84.12,W
10/27/2017,21:24:34,16.935,N,84.113,W
10/27/2017,21:26:33,16.939,N,84.106,W
10/27/2017,21:28:33,16.943,N,84.099,W
10/27/2017,21:30:34,16.947,N,84.091,W
10/27/2017,21:32:34,16.952,N,84.084,W
10/27/2017,21:34:33,16.956,N,84.077,W
10/27/2017,21:36:33,16.96,N,84.069,W
10/27/2017,21:38:34,16.964,N,84.062,W
10/27/2017,21:40:34,16.968,N,84.055,W
10/27/2017,21:42:33,16.972,N,84.048,W
10/27/2017,21:44:33,16.977,N,84.041,W
10/27/2017,21:46:34,16.981,N,84.033,W
10/27/2017,21:48:33,16.985,N,84.026,W
10/27/2017,21:50:33,16.989,N,84.019,W
10/27/2017,21:52:34,16.993,N,84.012,W
10/27/2017,21:54:34,16.998,N,84.005,W
10/27/2017,21:56:33,17.002,N,83.998,W
10/27/2017,21:58:33,17.006,N,83.99,W
10/27/2017,22:00:34,17.01,N,83.983,W
10/27/2017,22:02:34,17.015,N,83.976,W
10/27/2017,22:04:33,17.019,N,83.969,W
10/27/2017,22:06:33,17.023,N,83.962,W
10/27/2017,22:08:34,17.028,N,83.955,W
10/27/2017,22:10:34,17.032,N,83.948,W
