Track,for,Rafael,2012,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/13/2012,6:03:11,15.184,N,63.724,W
10/13/2012,6:05:11,15.181,N,63.725,W
10/13/2012,6:07:11,15.179,N,63.726,W
10/13/2012,6:09:11,15.177,N,63.727,W
10/13/2012,6:11:11,15.175,N,63.728,W
10/13/2012,6:13:11,15.173,N,63.729,W
10/13/2012,6:15:11,15.17,N,63.73,W
10/13/2012,6:17:10,15.168,N,63.731,W
10/13/2012,6:19:10,15.166,N,63.732,W
10/13/2012,6:21:10,15.164,N,63.733,W
10/13/2012,6:23:10,15.161,N,63.734,W
10/13/2012,6:25:10,15.159,N,63.735,W
10/13/2012,6:27:10,15.157,N,63.736,W
10/13/2012,6:29:10,15.155,N,63.737,W
10/13/2012,6:31:10,15.153,N,63.738,W
10/13/2012,6:33:11,15.151,N,63.739,W
10/13/2012,6:35:11,15.149,N,63.74,W
10/13/2012,6:37:11,15.146,N,63.741,W
10/13/2012,6:39:11,15.144,N,63.742,W
10/13/2012,6:41:11,15.142,N,63.743,W
10/13/2012,6:43:11,15.14,N,63.744,W
10/13/2012,6:45:11,15.138,N,63.745,W
10/13/2012,6:47:11,15.136,N,63.746,W
10/13/2012,6:49:10,15.134,N,63.747,W
10/13/2012,6:51:10,15.132,N,63.748,W
10/13/2012,6:53:10,15.131,N,63.749,W
10/13/2012,6:55:10,15.129,N,63.75,W
10/13/2012,6:57:10,15.127,N,63.751,W
10/13/2012,6:59:10,15.125,N,63.752,W
10/13/2012,7:01:10,15.123,N,63.753,W
10/13/2012,7:03:11,15.122,N,63.754,W
10/13/2012,7:05:11,15.12,N,63.755,W
10/13/2012,7:07:11,15.119,N,63.756,W
10/13/2012,7:09:11,15.117,N,63.757,W
10/13/2012,7:11:11,15.115,N,63.758,W
10/13/2012,7:13:11,15.114,N,63.758,W
10/13/2012,7:15:11,15.113,N,63.759,W
10/13/2012,7:17:10,15.111,N,63.76,W
10/13/2012,7:19:10,15.11,N,63.761,W
10/13/2012,7:21:10,15.109,N,63.762,W
10/13/2012,7:23:10,15.107,N,63.762,W
10/13/2012,7:25:10,15.106,N,63.763,W
10/13/2012,7:27:10,15.105,N,63.764,W
10/13/2012,7:29:10,15.104,N,63.765,W
10/13/2012,7:31:10,15.103,N,63.765,W
10/13/2012,7:33:11,15.102,N,63.766,W
10/13/2012,7:35:11,15.102,N,63.767,W
10/13/2012,7:37:11,15.101,N,63.768,W
10/13/2012,7:39:11,15.1,N,63.768,W
10/13/2012,7:41:11,15.099,N,63.769,W
10/13/2012,7:43:11,15.099,N,63.769,W
10/13/2012,7:45:11,15.098,N,63.77,W
10/13/2012,7:47:11,15.098,N,63.771,W
10/13/2012,7:49:10,15.098,N,63.771,W
10/13/2012,7:51:10,15.098,N,63.772,W
10/13/2012,7:53:10,15.097,N,63.772,W
10/13/2012,7:55:10,15.097,N,63.773,W
10/13/2012,7:57:10,15.097,N,63.773,W
10/13/2012,7:59:10,15.097,N,63.774,W
10/13/2012,8:01:10,15.098,N,63.774,W
10/13/2012,8:03:11,15.098,N,63.775,W
10/13/2012,8:05:10,15.098,N,63.775,W
10/13/2012,8:07:11,15.099,N,63.775,W
10/13/2012,8:09:10,15.099,N,63.776,W
10/13/2012,8:11:11,15.1,N,63.776,W
10/13/2012,8:13:10,15.1,N,63.776,W
10/13/2012,8:15:11,15.101,N,63.777,W
10/13/2012,8:17:11,15.102,N,63.777,W
10/13/2012,8:19:10,15.103,N,63.777,W
10/13/2012,8:21:11,15.104,N,63.777,W
10/13/2012,8:23:10,15.106,N,63.778,W
10/13/2012,8:25:11,15.107,N,63.778,W
10/13/2012,8:27:10,15.108,N,63.778,W
10/13/2012,8:29:11,15.11,N,63.778,W
10/13/2012,8:31:10,15.111,N,63.778,W
10/13/2012,8:33:11,15.113,N,63.778,W
10/13/2012,8:35:10,15.115,N,63.778,W
10/13/2012,8:37:11,15.117,N,63.778,W
10/13/2012,8:39:10,15.119,N,63.778,W
10/13/2012,8:41:11,15.121,N,63.778,W
10/13/2012,8:43:10,15.124,N,63.778,W
10/13/2012,8:45:11,15.126,N,63.778,W
10/13/2012,8:47:11,15.129,N,63.778,W
10/13/2012,8:49:10,15.131,N,63.777,W
10/13/2012,8:51:11,15.134,N,63.777,W
10/13/2012,8:53:10,15.137,N,63.777,W
10/13/2012,8:55:11,15.14,N,63.777,W
10/13/2012,8:57:10,15.144,N,63.776,W
10/13/2012,8:59:11,15.147,N,63.776,W
10/13/2012,9:01:10,15.15,N,63.776,W
10/13/2012,9:03:11,15.154,N,63.775,W
10/13/2012,9:05:10,15.157,N,63.775,W
10/13/2012,9:07:11,15.161,N,63.774,W
10/13/2012,9:09:10,15.165,N,63.774,W
10/13/2012,9:11:11,15.169,N,63.773,W
10/13/2012,9:13:10,15.173,N,63.773,W
10/13/2012,9:15:11,15.177,N,63.772,W
10/13/2012,9:17:11,15.182,N,63.772,W
