Track,for,Sean,2011,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
11/10/2011,5:54:00,29.691,N,70.902,W
11/10/2011,5:56:00,29.694,N,70.901,W
11/10/2011,5:58:00,29.697,N,70.901,W
11/10/2011,6:00:00,29.7,N,70.9,W
11/10/2011,6:01:59,29.703,N,70.899,W
11/10/2011,6:03:59,29.706,N,70.899,W
11/10/2011,6:05:59,29.709,N,70.898,W
11/10/2011,6:07:59,29.712,N,70.898,W
11/10/2011,6:09:59,29.715,N,70.897,W
11/10/2011,6:11:59,29.718,N,70.897,W
11/10/2011,6:13:59,29.721,N,70.896,W
11/10/2011,6:16:00,29.724,N,70.896,W
11/10/2011,6:18:00,29.727,N,70.895,W
11/10/2011,6:20:00,29.73,N,70.895,W
11/10/2011,6:22:00,29.733,N,70.894,W
11/10/2011,6:24:00,29.736,N,70.894,W
11/10/2011,6:26:00,29.739,N,70.893,W
11/10/2011,6:28:00,29.742,N,70.893,W
11/10/2011,6:30:00,29.745,N,70.892,W
11/10/2011,6:31:59,29.748,N,70.892,W
11/10/2011,6:33:59,29.751,N,70.891,W
11/10/2011,6:35:59,29.754,N,70.891,W
11/10/2011,6:37:59,29.757,N,70.89,W
11/10/2011,6:39:59,29.76,N,70.89,W
11/10/2011,6:41:59,29.762,N,70.889,W
11/10/2011,6:43:59,29.765,N,70.889,W
11/10/2011,6:46:00,29.768,N,70.888,W
11/10/2011,6:48:00,29.771,N,70.888,W
11/10/2011,6:50:00,29.774,N,70.887,W
11/10/2011,6:52:00,29.777,N,70.886,W
11/10/2011,6:54:00,29.78,N,70.886,W
11/10/2011,6:56:00,29.783,N,70.885,W
11/10/2011,6:58:00,29.786,N,70.885,W
11/10/2011,7:00:00,29.789,N,70.884,W
11/10/2011,7:01:59,29.792,N,70.884,W
11/10/2011,7:03:59,29.795,N,70.883,W
11/10/2011,7:05:59,29.798,N,70.882,W
11/10/2011,7:07:59,29.801,N,70.882,W
11/10/2011,7:09:59,29.804,N,70.881,W
11/10/2011,7:11:59,29.807,N,70.881,W
11/10/2011,7:13:59,29.81,N,70.88,W
11/10/2011,7:16:00,29.813,N,70.88,W
11/10/2011,7:18:00,29.816,N,70.879,W
11/10/2011,7:20:00,29.819,N,70.878,W
11/10/2011,7:22:00,29.822,N,70.878,W
11/10/2011,7:24:00,29.825,N,70.877,W
11/10/2011,7:26:00,29.828,N,70.877,W
11/10/2011,7:28:00,29.831,N,70.876,W
11/10/2011,7:30:00,29.833,N,70.875,W
11/10/2011,7:31:59,29.836,N,70.875,W
11/10/2011,7:33:59,29.839,N,70.874,W
11/10/2011,7:35:59,29.842,N,70.873,W
11/10/2011,7:37:59,29.845,N,70.873,W
11/10/2011,7:39:59,29.848,N,70.872,W
11/10/2011,7:41:59,29.851,N,70.872,W
11/10/2011,7:43:59,29.854,N,70.871,W
11/10/2011,7:46:00,29.857,N,70.87,W
11/10/2011,7:48:00,29.86,N,70.87,W
11/10/2011,7:50:00,29.863,N,70.869,W
11/10/2011,7:52:00,29.866,N,70.868,W
11/10/2011,7:54:00,29.869,N,70.868,W
11/10/2011,7:56:00,29.872,N,70.867,W
11/10/2011,7:58:00,29.874,N,70.866,W
11/10/2011,8:00:00,29.877,N,70.865,W
11/10/2011,8:02:00,29.88,N,70.865,W
11/10/2011,8:03:59,29.883,N,70.864,W
11/10/2011,8:06:00,29.886,N,70.863,W
11/10/2011,8:07:59,29.889,N,70.863,W
11/10/2011,8:10:00,29.892,N,70.862,W
11/10/2011,8:11:59,29.895,N,70.861,W
11/10/2011,8:14:00,29.898,N,70.86,W
11/10/2011,8:15:59,29.901,N,70.86,W
11/10/2011,8:18:00,29.903,N,70.859,W
11/10/2011,8:19:59,29.906,N,70.858,W
11/10/2011,8:22:00,29.909,N,70.857,W
11/10/2011,8:23:59,29.912,N,70.856,W
11/10/2011,8:26:00,29.915,N,70.856,W
11/10/2011,8:27:59,29.918,N,70.855,W
11/10/2011,8:30:00,29.921,N,70.854,W
11/10/2011,8:32:00,29.924,N,70.853,W
11/10/2011,8:33:59,29.927,N,70.852,W
11/10/2011,8:36:00,29.929,N,70.851,W
11/10/2011,8:37:59,29.932,N,70.851,W
11/10/2011,8:40:00,29.935,N,70.85,W
11/10/2011,8:41:59,29.938,N,70.849,W
11/10/2011,8:44:00,29.941,N,70.848,W
11/10/2011,8:45:59,29.944,N,70.847,W
11/10/2011,8:48:00,29.947,N,70.846,W
11/10/2011,8:49:59,29.949,N,70.845,W
11/10/2011,8:52:00,29.952,N,70.844,W
11/10/2011,8:53:59,29.955,N,70.843,W
11/10/2011,8:56:00,29.958,N,70.842,W
11/10/2011,8:57:59,29.961,N,70.842,W
11/10/2011,9:00:00,29.964,N,70.841,W
11/10/2011,9:02:00,29.966,N,70.84,W
11/10/2011,9:03:59,29.969,N,70.839,W
11/10/2011,9:06:00,29.972,N,70.838,W
11/10/2011,9:07:59,29.975,N,70.837,W
