Track,for,TD100,2007,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
9/20/2007,19:27:19,26.777,N,84.239,W
9/20/2007,19:29:20,26.782,N,84.243,W
9/20/2007,19:31:20,26.786,N,84.246,W
9/20/2007,19:33:19,26.791,N,84.25,W
9/20/2007,19:35:19,26.796,N,84.254,W
9/20/2007,19:37:20,26.8,N,84.257,W
9/20/2007,19:39:20,26.805,N,84.261,W
9/20/2007,19:41:19,26.81,N,84.265,W
9/20/2007,19:43:19,26.814,N,84.269,W
9/20/2007,19:45:20,26.819,N,84.272,W
9/20/2007,19:47:20,26.824,N,84.276,W
9/20/2007,19:49:19,26.828,N,84.28,W
9/20/2007,19:51:20,26.833,N,84.283,W
9/20/2007,19:53:20,26.837,N,84.287,W
9/20/2007,19:55:19,26.842,N,84.291,W
9/20/2007,19:57:19,26.847,N,84.295,W
9/20/2007,19:59:20,26.851,N,84.298,W
9/20/2007,20:01:20,26.856,N,84.302,W
9/20/2007,20:03:19,26.861,N,84.306,W
9/20/2007,20:05:19,26.865,N,84.309,W
9/20/2007,20:07:20,26.87,N,84.313,W
9/20/2007,20:09:20,26.875,N,84.317,W
9/20/2007,20:11:19,26.879,N,84.321,W
9/20/2007,20:13:19,26.884,N,84.324,W
9/20/2007,20:15:20,26.889,N,84.328,W
9/20/2007,20:17:20,26.893,N,84.332,W
9/20/2007,20:19:19,26.898,N,84.335,W
9/20/2007,20:21:20,26.903,N,84.339,W
9/20/2007,20:23:20,26.907,N,84.343,W
9/20/2007,20:25:19,26.912,N,84.346,W
9/20/2007,20:27:19,26.916,N,84.35,W
9/20/2007,20:29:20,26.921,N,84.354,W
9/20/2007,20:31:20,26.926,N,84.358,W
9/20/2007,20:33:19,26.93,N,84.361,W
9/20/2007,20:35:19,26.935,N,84.365,W
9/20/2007,20:37:20,26.94,N,84.369,W
9/20/2007,20:39:20,26.944,N,84.372,W
9/20/2007,20:41:19,26.949,N,84.376,W
9/20/2007,20:43:19,26.954,N,84.38,W
9/20/2007,20:45:20,26.958,N,84.383,W
9/20/2007,20:47:20,26.963,N,84.387,W
9/20/2007,20:49:19,26.968,N,84.391,W
9/20/2007,20:51:20,26.972,N,84.394,W
9/20/2007,20:53:20,26.977,N,84.398,W
9/20/2007,20:55:19,26.982,N,84.402,W
9/20/2007,20:57:19,26.986,N,84.406,W
9/20/2007,20:59:20,26.991,N,84.409,W
9/20/2007,21:01:20,26.995,N,84.413,W
9/20/2007,21:03:19,27,N,84.417,W
9/20/2007,21:05:19,27.005,N,84.42,W
9/20/2007,21:07:20,27.009,N,84.424,W
9/20/2007,21:09:20,27.014,N,84.428,W
9/20/2007,21:11:19,27.019,N,84.431,W
9/20/2007,21:13:19,27.023,N,84.435,W
9/20/2007,21:15:20,27.028,N,84.439,W
9/20/2007,21:17:20,27.033,N,84.442,W
9/20/2007,21:19:19,27.037,N,84.446,W
9/20/2007,21:21:20,27.042,N,84.45,W
9/20/2007,21:23:20,27.047,N,84.453,W
9/20/2007,21:25:19,27.051,N,84.457,W
9/20/2007,21:27:19,27.056,N,84.46,W
9/20/2007,21:29:20,27.061,N,84.464,W
9/20/2007,21:31:20,27.065,N,84.468,W
9/20/2007,21:33:19,27.07,N,84.471,W
9/20/2007,21:35:19,27.075,N,84.475,W
9/20/2007,21:37:20,27.079,N,84.479,W
9/20/2007,21:39:20,27.084,N,84.482,W
9/20/2007,21:41:19,27.088,N,84.486,W
9/20/2007,21:43:19,27.093,N,84.49,W
9/20/2007,21:45:20,27.098,N,84.493,W
9/20/2007,21:47:20,27.102,N,84.497,W
9/20/2007,21:49:19,27.107,N,84.5,W
9/20/2007,21:51:20,27.112,N,84.504,W
9/20/2007,21:53:20,27.116,N,84.508,W
9/20/2007,21:55:19,27.121,N,84.511,W
9/20/2007,21:57:19,27.126,N,84.515,W
9/20/2007,21:59:20,27.13,N,84.518,W
9/20/2007,22:01:20,27.135,N,84.522,W
9/20/2007,22:03:19,27.14,N,84.526,W
9/20/2007,22:05:19,27.144,N,84.529,W
9/20/2007,22:07:20,27.149,N,84.533,W
9/20/2007,22:09:20,27.154,N,84.536,W
9/20/2007,22:11:19,27.158,N,84.54,W
9/20/2007,22:13:19,27.163,N,84.544,W
9/20/2007,22:15:20,27.168,N,84.547,W
9/20/2007,22:17:20,27.172,N,84.551,W
9/20/2007,22:19:19,27.177,N,84.554,W
9/20/2007,22:21:20,27.181,N,84.558,W
9/20/2007,22:23:20,27.186,N,84.562,W
9/20/2007,22:25:19,27.191,N,84.565,W
9/20/2007,22:27:19,27.195,N,84.569,W
9/20/2007,22:29:20,27.2,N,84.572,W
9/20/2007,22:31:20,27.205,N,84.576,W
9/20/2007,22:33:19,27.209,N,84.579,W
9/20/2007,22:35:19,27.214,N,84.583,W
9/20/2007,22:37:20,27.219,N,84.586,W
9/20/2007,22:39:20,27.223,N,84.59,W
9/20/2007,22:41:19,27.228,N,84.593,W
