Track,for,Sandy,2012,,
Date,Time,(UTC),Latitude,Longitude,
MM/DD/Year,HH:MM:SS,(deg),(deg),,
10/22/2012,19:50:52,12.271,N,78.364,W
10/22/2012,19:52:53,12.276,N,78.356,W
10/22/2012,19:54:53,12.282,N,78.349,W
10/22/2012,19:56:52,12.287,N,78.341,W
10/22/2012,19:58:52,12.292,N,78.333,W
10/22/2012,20:00:53,12.298,N,78.326,W
10/22/2012,20:02:53,12.303,N,78.318,W
10/22/2012,20:04:52,12.309,N,78.311,W
10/22/2012,20:06:52,12.314,N,78.303,W
10/22/2012,20:08:53,12.32,N,78.296,W
10/22/2012,20:10:52,12.325,N,78.288,W
10/22/2012,20:12:52,12.331,N,78.281,W
10/22/2012,20:14:53,12.336,N,78.273,W
10/22/2012,20:16:53,12.342,N,78.265,W
10/22/2012,20:18:52,12.347,N,78.258,W
10/22/2012,20:20:52,12.352,N,78.25,W
10/22/2012,20:22:53,12.358,N,78.243,W
10/22/2012,20:24:53,12.363,N,78.235,W
10/22/2012,20:26:52,12.369,N,78.228,W
10/22/2012,20:28:52,12.374,N,78.221,W
10/22/2012,20:30:53,12.379,N,78.213,W
10/22/2012,20:32:53,12.385,N,78.206,W
10/22/2012,20:34:52,12.39,N,78.198,W
10/22/2012,20:36:52,12.395,N,78.191,W
10/22/2012,20:38:53,12.401,N,78.184,W
10/22/2012,20:40:52,12.406,N,78.176,W
10/22/2012,20:42:52,12.411,N,78.169,W
10/22/2012,20:44:53,12.417,N,78.162,W
10/22/2012,20:46:53,12.422,N,78.154,W
10/22/2012,20:48:52,12.427,N,78.147,W
10/22/2012,20:50:52,12.432,N,78.14,W
10/22/2012,20:52:53,12.438,N,78.133,W
10/22/2012,20:54:53,12.443,N,78.125,W
10/22/2012,20:56:52,12.448,N,78.118,W
10/22/2012,20:58:52,12.453,N,78.111,W
10/22/2012,21:00:53,12.458,N,78.104,W
10/22/2012,21:02:53,12.463,N,78.097,W
10/22/2012,21:04:52,12.468,N,78.09,W
10/22/2012,21:06:52,12.473,N,78.083,W
10/22/2012,21:08:53,12.478,N,78.076,W
10/22/2012,21:10:52,12.483,N,78.069,W
10/22/2012,21:12:52,12.488,N,78.062,W
10/22/2012,21:14:53,12.493,N,78.055,W
10/22/2012,21:16:53,12.498,N,78.049,W
10/22/2012,21:18:52,12.503,N,78.042,W
10/22/2012,21:20:52,12.508,N,78.035,W
10/22/2012,21:22:53,12.513,N,78.028,W
10/22/2012,21:24:53,12.517,N,78.022,W
10/22/2012,21:26:52,12.522,N,78.015,W
10/22/2012,21:28:52,12.527,N,78.009,W
10/22/2012,21:30:53,12.532,N,78.002,W
10/22/2012,21:32:53,12.536,N,77.996,W
10/22/2012,21:34:52,12.541,N,77.989,W
10/22/2012,21:36:52,12.546,N,77.983,W
10/22/2012,21:38:53,12.55,N,77.977,W
10/22/2012,21:40:52,12.555,N,77.97,W
10/22/2012,21:42:52,12.559,N,77.964,W
10/22/2012,21:44:53,12.563,N,77.958,W
10/22/2012,21:46:53,12.568,N,77.952,W
10/22/2012,21:48:52,12.572,N,77.946,W
10/22/2012,21:50:52,12.577,N,77.94,W
10/22/2012,21:52:53,12.581,N,77.934,W
10/22/2012,21:54:53,12.585,N,77.928,W
10/22/2012,21:56:52,12.589,N,77.922,W
10/22/2012,21:58:52,12.593,N,77.916,W
10/22/2012,22:00:53,12.598,N,77.91,W
10/22/2012,22:02:53,12.602,N,77.905,W
10/22/2012,22:04:52,12.606,N,77.899,W
10/22/2012,22:06:52,12.61,N,77.894,W
10/22/2012,22:08:53,12.614,N,77.888,W
10/22/2012,22:10:52,12.617,N,77.883,W
10/22/2012,22:12:52,12.621,N,77.877,W
10/22/2012,22:14:53,12.625,N,77.872,W
10/22/2012,22:16:53,12.629,N,77.867,W
10/22/2012,22:18:52,12.632,N,77.862,W
10/22/2012,22:20:52,12.636,N,77.857,W
10/22/2012,22:22:53,12.64,N,77.852,W
10/22/2012,22:24:53,12.643,N,77.847,W
10/22/2012,22:26:52,12.647,N,77.842,W
10/22/2012,22:28:52,12.65,N,77.837,W
10/22/2012,22:30:53,12.653,N,77.833,W
10/22/2012,22:32:53,12.657,N,77.828,W
10/22/2012,22:34:52,12.66,N,77.823,W
10/22/2012,22:36:52,12.663,N,77.819,W
10/22/2012,22:38:53,12.666,N,77.814,W
10/22/2012,22:40:52,12.669,N,77.81,W
10/22/2012,22:42:52,12.672,N,77.806,W
10/22/2012,22:44:53,12.675,N,77.802,W
10/22/2012,22:46:53,12.678,N,77.798,W
10/22/2012,22:48:52,12.681,N,77.794,W
10/22/2012,22:50:52,12.684,N,77.79,W
10/22/2012,22:52:53,12.687,N,77.786,W
10/22/2012,22:54:53,12.689,N,77.782,W
10/22/2012,22:56:52,12.692,N,77.779,W
10/22/2012,22:58:52,12.694,N,77.775,W
10/22/2012,23:00:53,12.697,N,77.771,W
10/22/2012,23:02:53,12.699,N,77.768,W
10/22/2012,23:04:52,12.701,N,77.765,W
