Track ,for,Andrew,,,,,
Time(sec),Time,,,Latitude,,Longitude,
-600,2350Z,18,AUG,16.667,N,53.689,W
0,0000Z,19,AUG,16.683,N,53.689,W
600,0010Z,19,AUG,16.7,N,53.689,W
1200,0020Z,19,AUG,16.717,N,53.689,W
1800,0030Z,19,AUG,16.733,N,53.689,W
2400,0040Z,19,AUG,16.75,N,53.689,W
3000,0050Z,19,AUG,16.767,N,53.689,W
3600,0100Z,19,AUG,16.783,N,53.689,W
4200,0110Z,19,AUG,16.8,N,53.689,W
4800,0120Z,19,AUG,16.817,N,53.689,W
5400,0130Z,19,AUG,16.833,N,53.689,W
6000,0140Z,19,AUG,16.85,N,53.689,W
6600,0150Z,19,AUG,16.867,N,53.689,W
7200,0200Z,19,AUG,16.883,N,53.689,W
7800,0210Z,19,AUG,16.9,N,53.689,W
8400,0220Z,19,AUG,16.917,N,53.689,W
9000,0230Z,19,AUG,16.934,N,53.689,W
9600,0240Z,19,AUG,16.951,N,54.468,W
10200,0250Z,19,AUG,16.968,N,54.513,W
10800,0300Z,19,AUG,16.985,N,54.559,W
11400,0310Z,19,AUG,17.002,N,54.605,W
12000,0320Z,19,AUG,17.019,N,54.65,W
12600,0330Z,19,AUG,17.036,N,54.696,W
13200,0340Z,19,AUG,17.053,N,54.742,W
13800,0350Z,19,AUG,17.07,N,54.788,W
14400,0400Z,19,AUG,17.087,N,54.833,W
15000,0410Z,19,AUG,17.104,N,54.879,W
15600,0420Z,19,AUG,17.122,N,54.925,W
16200,0430Z,19,AUG,17.139,N,54.97,W
16800,0440Z,19,AUG,17.157,N,55.016,W
17400,0450Z,19,AUG,17.174,N,55.062,W
18000,0500Z,19,AUG,17.192,N,55.107,W
18600,0510Z,19,AUG,17.209,N,55.153,W
19200,0520Z,19,AUG,17.227,N,55.199,W
19800,0530Z,19,AUG,17.245,N,55.244,W
20400,0540Z,19,AUG,17.262,N,55.29,W
21000,0550Z,19,AUG,17.28,N,55.336,W
21600,0600Z,19,AUG,17.298,N,55.381,W
22200,0610Z,19,AUG,17.316,N,55.427,W
22800,0620Z,19,AUG,17.334,N,55.472,W
23400,0630Z,19,AUG,17.352,N,55.518,W
24000,0640Z,19,AUG,17.371,N,55.564,W
24600,0650Z,19,AUG,17.389,N,55.609,W
25200,0700Z,19,AUG,17.407,N,55.655,W
25800,0710Z,19,AUG,17.426,N,55.7,W
26400,0720Z,19,AUG,17.444,N,55.746,W
27000,0730Z,19,AUG,17.463,N,55.791,W
27600,0740Z,19,AUG,17.482,N,55.837,W
28200,0750Z,19,AUG,17.501,N,55.882,W
28800,0800Z,19,AUG,17.519,N,55.928,W
29400,0810Z,19,AUG,17.539,N,55.973,W
30000,0820Z,19,AUG,17.558,N,56.019,W
30600,0830Z,19,AUG,17.577,N,56.064,W
31200,0840Z,19,AUG,17.596,N,56.11,W
31800,0850Z,19,AUG,17.616,N,56.155,W
32400,0900Z,19,AUG,17.635,N,56.2,W
33000,0910Z,19,AUG,17.655,N,56.246,W
33600,0920Z,19,AUG,17.675,N,56.291,W
34200,0930Z,19,AUG,17.694,N,56.337,W
34800,0940Z,19,AUG,17.714,N,56.382,W
35400,0950Z,19,AUG,17.735,N,56.427,W
36000,1000Z,19,AUG,17.755,N,56.473,W
36600,1010Z,19,AUG,17.775,N,56.518,W
37200,1020Z,19,AUG,17.796,N,56.563,W
37800,1030Z,19,AUG,17.816,N,56.608,W
38400,1040Z,19,AUG,17.837,N,56.654,W
39000,1050Z,19,AUG,17.858,N,56.699,W
39600,1100Z,19,AUG,17.879,N,56.744,W
40200,1110Z,19,AUG,17.9,N,56.789,W
40800,1120Z,19,AUG,17.921,N,56.834,W
41400,1130Z,19,AUG,17.943,N,56.879,W
42000,1140Z,19,AUG,17.964,N,56.924,W
42600,1150Z,19,AUG,17.986,N,56.969,W
43200,1200Z,19,AUG,18.007,N,57.014,W
43800,1210Z,19,AUG,18.029,N,57.059,W
44400,1220Z,19,AUG,18.051,N,57.104,W
45000,1230Z,19,AUG,18.073,N,57.148,W
45600,1240Z,19,AUG,18.096,N,57.192,W
46200,1250Z,19,AUG,18.118,N,57.237,W
46800,1300Z,19,AUG,18.14,N,57.28,W
47400,1310Z,19,AUG,18.163,N,57.324,W
48000,1320Z,19,AUG,18.186,N,57.368,W
48600,1330Z,19,AUG,18.209,N,57.411,W
49200,1340Z,19,AUG,18.232,N,57.454,W
49800,1350Z,19,AUG,18.255,N,57.497,W
50400,1400Z,19,AUG,18.278,N,57.54,W
51000,1410Z,19,AUG,18.301,N,57.583,W
51600,1420Z,19,AUG,18.325,N,57.625,W
52200,1430Z,19,AUG,18.348,N,57.667,W
52800,1440Z,19,AUG,18.372,N,57.708,W
53400,1450Z,19,AUG,18.396,N,57.749,W
54000,1500Z,19,AUG,18.42,N,57.79,W
54600,1510Z,19,AUG,18.444,N,57.831,W
55200,1520Z,19,AUG,18.468,N,57.871,W
55800,1530Z,19,AUG,18.492,N,57.911,W
56400,1540Z,19,AUG,18.516,N,57.951,W
57000,1550Z,19,AUG,18.541,N,57.99,W
57600,1600Z,19,AUG,18.566,N,58.029,W
58200,1610Z,19,AUG,18.59,N,58.067,W
58800,1620Z,19,AUG,18.615,N,58.105,W
59400,1630Z,19,AUG,18.64,N,58.142,W
60000,1640Z,19,AUG,18.665,N,58.179,W
60600,1650Z,19,AUG,18.69,N,58.216,W
61200,1700Z,19,AUG,18.715,N,58.252,W
61800,1710Z,19,AUG,18.741,N,58.288,W
62400,1720Z,19,AUG,18.766,N,58.323,W
63000,1730Z,19,AUG,18.792,N,58.357,W
63600,1740Z,19,AUG,18.817,N,58.391,W
64200,1750Z,19,AUG,18.843,N,58.425,W
64800,1800Z,19,AUG,18.869,N,58.458,W
65400,1810Z,19,AUG,18.895,N,58.49,W
66000,1820Z,19,AUG,18.921,N,58.522,W
66600,1830Z,19,AUG,18.947,N,58.554,W
67200,1840Z,19,AUG,18.973,N,58.584,W
67800,1850Z,19,AUG,19,N,58.614,W
68400,1900Z,19,AUG,19.026,N,58.644,W
69000,1910Z,19,AUG,19.053,N,58.673,W
69600,1920Z,19,AUG,19.08,N,58.701,W
70200,1930Z,19,AUG,19.106,N,58.728,W
70800,1940Z,19,AUG,19.133,N,58.755,W
71400,1950Z,19,AUG,19.16,N,58.781,W
72000,2000Z,19,AUG,19.187,N,58.806,W
72600,2010Z,19,AUG,19.214,N,58.831,W
73200,2020Z,19,AUG,19.242,N,58.855,W
73800,2030Z,19,AUG,19.269,N,58.878,W
74400,2040Z,19,AUG,19.296,N,58.901,W
75000,2050Z,19,AUG,19.324,N,58.923,W
75600,2100Z,19,AUG,19.352,N,58.943,W
76200,2110Z,19,AUG,19.379,N,58.964,W
76800,2120Z,19,AUG,19.407,N,58.983,W
77400,2130Z,19,AUG,19.435,N,59.002,W
78000,2140Z,19,AUG,19.463,N,59.019,W
78600,2150Z,19,AUG,19.491,N,59.036,W
79200,2200Z,19,AUG,19.519,N,59.052,W
79800,2210Z,19,AUG,19.547,N,59.067,W
80400,2220Z,19,AUG,19.576,N,59.082,W
81000,2230Z,19,AUG,19.604,N,59.096,W
81600,2240Z,19,AUG,19.633,N,59.109,W
82200,2250Z,19,AUG,19.661,N,59.121,W
82800,2300Z,19,AUG,19.69,N,59.133,W
83400,2310Z,19,AUG,19.718,N,59.144,W
84000,2320Z,19,AUG,19.747,N,59.154,W
84600,2330Z,19,AUG,19.775,N,59.164,W
85200,2340Z,19,AUG,19.804,N,59.174,W
85800,2350Z,19,AUG,19.833,N,59.183,W
86400,0000Z,20,AUG,19.861,N,59.192,W
87000,0010Z,20,AUG,19.89,N,59.2,W
87600,0020Z,20,AUG,19.919,N,59.208,W
88200,0030Z,20,AUG,19.948,N,59.215,W
88800,0040Z,20,AUG,19.976,N,59.222,W
89400,0050Z,20,AUG,20.005,N,59.229,W
90000,0100Z,20,AUG,20.034,N,59.236,W
90600,0110Z,20,AUG,20.062,N,59.242,W
91200,0120Z,20,AUG,20.091,N,59.248,W
91800,0130Z,20,AUG,20.119,N,59.254,W
92400,0140Z,20,AUG,20.148,N,59.26,W
93000,0150Z,20,AUG,20.176,N,59.266,W
93600,0200Z,20,AUG,20.205,N,59.272,W
94200,0210Z,20,AUG,20.233,N,59.277,W
94800,0220Z,20,AUG,20.261,N,59.283,W
95400,0230Z,20,AUG,20.289,N,59.289,W
96000,0240Z,20,AUG,20.317,N,59.295,W
96600,0250Z,20,AUG,20.345,N,59.301,W
97200,0300Z,20,AUG,20.373,N,59.307,W
97800,0310Z,20,AUG,20.401,N,59.313,W
98400,0320Z,20,AUG,20.429,N,59.32,W
99000,0330Z,20,AUG,20.456,N,59.326,W
99600,0340Z,20,AUG,20.484,N,59.333,W
100200,0350Z,20,AUG,20.511,N,59.341,W
100800,0400Z,20,AUG,20.538,N,59.348,W
101400,0410Z,20,AUG,20.565,N,59.356,W
102000,0420Z,20,AUG,20.592,N,59.365,W
102600,0430Z,20,AUG,20.618,N,59.373,W
103200,0440Z,20,AUG,20.645,N,59.383,W
103800,0450Z,20,AUG,20.671,N,59.392,W
104400,0500Z,20,AUG,20.698,N,59.403,W
105000,0510Z,20,AUG,20.724,N,59.414,W
105600,0520Z,20,AUG,20.749,N,59.425,W
106200,0530Z,20,AUG,20.775,N,59.437,W
106800,0540Z,20,AUG,20.8,N,59.45,W
107400,0550Z,20,AUG,20.826,N,59.463,W
108000,0600Z,20,AUG,20.851,N,59.477,W
108600,0610Z,20,AUG,20.876,N,59.492,W
109200,0620Z,20,AUG,20.9,N,59.507,W
109800,0630Z,20,AUG,20.924,N,59.524,W
110400,0640Z,20,AUG,20.949,N,59.541,W
111000,0650Z,20,AUG,20.972,N,59.559,W
111600,0700Z,20,AUG,20.996,N,59.578,W
