Track,for,Wilma,2005,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
10/15/2005,19:47:59,17.677,N,78.827,W,5
10/15/2005,19:49:58,17.684,N,78.829,W,5
10/15/2005,19:51:58,17.69,N,78.83,W,5
10/15/2005,19:53:59,17.696,N,78.832,W,5
10/15/2005,19:55:59,17.702,N,78.834,W,5
10/15/2005,19:57:58,17.708,N,78.835,W,5
10/15/2005,19:59:58,17.715,N,78.837,W,5
10/15/2005,20:01:59,17.721,N,78.838,W,5
10/15/2005,20:03:59,17.727,N,78.84,W,5
10/15/2005,20:05:58,17.733,N,78.842,W,5
10/15/2005,20:07:58,17.739,N,78.844,W,5
10/15/2005,20:09:59,17.745,N,78.845,W,5
10/15/2005,20:11:59,17.751,N,78.847,W,5
10/15/2005,20:13:58,17.757,N,78.85,W,5
10/15/2005,20:15:58,17.764,N,78.852,W,5
10/15/2005,20:17:59,17.77,N,78.854,W,5
10/15/2005,20:19:58,17.776,N,78.856,W,5
10/15/2005,20:21:58,17.781,N,78.859,W,5
10/15/2005,20:23:59,17.787,N,78.862,W,5
10/15/2005,20:25:59,17.793,N,78.865,W,5
10/15/2005,20:27:58,17.799,N,78.868,W,5
10/15/2005,20:29:58,17.805,N,78.871,W,5
10/15/2005,20:31:59,17.811,N,78.874,W,5
10/15/2005,20:33:59,17.816,N,78.878,W,5
10/15/2005,20:35:58,17.822,N,78.882,W,5
10/15/2005,20:37:58,17.828,N,78.886,W,5
10/15/2005,20:39:59,17.833,N,78.89,W,5
10/15/2005,20:41:59,17.839,N,78.895,W,5
10/15/2005,20:43:58,17.844,N,78.9,W,5
10/15/2005,20:45:58,17.85,N,78.905,W,5
10/15/2005,20:47:59,17.855,N,78.91,W,5
10/15/2005,20:49:58,17.86,N,78.916,W,5
10/15/2005,20:51:58,17.865,N,78.922,W,5
10/15/2005,20:53:59,17.871,N,78.929,W,5
10/15/2005,20:55:59,17.876,N,78.935,W,5
10/15/2005,20:57:58,17.881,N,78.942,W,5
10/15/2005,20:59:58,17.885,N,78.95,W,5
10/15/2005,21:01:59,17.89,N,78.957,W,5
10/15/2005,21:03:59,17.895,N,78.966,W,5
10/15/2005,21:05:58,17.9,N,78.974,W,5
10/15/2005,21:07:58,17.904,N,78.983,W,5
10/15/2005,21:09:59,17.909,N,78.992,W,5
10/15/2005,21:11:59,17.913,N,79.002,W,5
10/15/2005,21:13:58,17.917,N,79.012,W,5
10/15/2005,21:15:58,17.921,N,79.023,W,5
10/15/2005,21:17:59,17.925,N,79.034,W,5
10/15/2005,21:19:58,17.929,N,79.045,W,5
10/15/2005,21:21:58,17.933,N,79.057,W,5
10/15/2005,21:23:59,17.937,N,79.07,W,5
10/15/2005,21:25:59,17.941,N,79.083,W,5
10/15/2005,21:27:58,17.944,N,79.096,W,5
10/15/2005,21:29:58,17.947,N,79.11,W,5
10/15/2005,21:31:59,17.951,N,79.125,W,5
10/15/2005,21:33:59,17.954,N,79.14,W,5
10/15/2005,21:35:58,17.957,N,79.155,W,5
10/15/2005,21:37:58,17.96,N,79.172,W,5
