Track for Colin                2010
Date       Time (UTC)   Latitude     Longitude
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/05/2010 18:04:52     24.285 N     65.742 W
08/05/2010 18:06:52     24.290 N     65.744 W
08/05/2010 18:08:51     24.294 N     65.745 W
08/05/2010 18:10:51     24.299 N     65.746 W
08/05/2010 18:12:52     24.304 N     65.747 W
08/05/2010 18:14:52     24.308 N     65.748 W
08/05/2010 18:16:51     24.313 N     65.750 W
08/05/2010 18:18:51     24.317 N     65.751 W
08/05/2010 18:20:52     24.322 N     65.752 W
08/05/2010 18:22:52     24.327 N     65.753 W
08/05/2010 18:24:51     24.331 N     65.755 W
08/05/2010 18:26:52     24.336 N     65.756 W
08/05/2010 18:28:52     24.341 N     65.757 W
08/05/2010 18:30:51     24.345 N     65.758 W
08/05/2010 18:32:51     24.350 N     65.760 W
08/05/2010 18:34:52     24.355 N     65.761 W
08/05/2010 18:36:52     24.360 N     65.762 W
08/05/2010 18:38:51     24.365 N     65.764 W
08/05/2010 18:40:51     24.370 N     65.765 W
08/05/2010 18:42:52     24.375 N     65.766 W
08/05/2010 18:44:52     24.380 N     65.768 W
08/05/2010 18:46:51     24.385 N     65.769 W
08/05/2010 18:48:51     24.390 N     65.771 W
08/05/2010 18:50:52     24.395 N     65.772 W
08/05/2010 18:52:52     24.401 N     65.773 W
08/05/2010 18:54:51     24.406 N     65.775 W
08/05/2010 18:56:52     24.412 N     65.776 W
08/05/2010 18:58:52     24.417 N     65.778 W
08/05/2010 19:00:51     24.423 N     65.779 W
08/05/2010 19:02:51     24.428 N     65.781 W
08/05/2010 19:04:52     24.434 N     65.783 W
08/05/2010 19:06:52     24.440 N     65.784 W
08/05/2010 19:08:51     24.446 N     65.786 W
08/05/2010 19:10:51     24.452 N     65.788 W
08/05/2010 19:12:52     24.459 N     65.789 W
08/05/2010 19:14:52     24.465 N     65.791 W
08/05/2010 19:16:51     24.471 N     65.793 W
08/05/2010 19:18:51     24.478 N     65.795 W
08/05/2010 19:20:52     24.484 N     65.796 W
08/05/2010 19:22:52     24.491 N     65.798 W
08/05/2010 19:24:51     24.498 N     65.800 W
08/05/2010 19:26:52     24.505 N     65.802 W
08/05/2010 19:28:52     24.512 N     65.804 W
08/05/2010 19:30:51     24.520 N     65.806 W
08/05/2010 19:32:51     24.527 N     65.808 W
08/05/2010 19:34:52     24.535 N     65.810 W
08/05/2010 19:36:52     24.543 N     65.812 W
08/05/2010 19:38:51     24.550 N     65.815 W
08/05/2010 19:40:51     24.558 N     65.817 W
08/05/2010 19:42:52     24.567 N     65.819 W
08/05/2010 19:44:52     24.575 N     65.822 W
08/05/2010 19:46:51     24.584 N     65.824 W
08/05/2010 19:48:51     24.592 N     65.826 W
08/05/2010 19:50:52     24.601 N     65.829 W
08/05/2010 19:52:52     24.610 N     65.831 W
08/05/2010 19:54:51     24.619 N     65.834 W
08/05/2010 19:56:52     24.629 N     65.837 W
08/05/2010 19:58:52     24.638 N     65.839 W
08/05/2010 20:00:51     24.648 N     65.842 W
08/05/2010 20:02:51     24.658 N     65.845 W
08/05/2010 20:04:52     24.668 N     65.848 W
08/05/2010 20:06:52     24.679 N     65.851 W
08/05/2010 20:08:51     24.689 N     65.853 W
08/05/2010 20:10:51     24.700 N     65.857 W
08/05/2010 20:12:52     24.711 N     65.860 W
08/05/2010 20:14:52     24.722 N     65.863 W
08/05/2010 20:16:51     24.734 N     65.866 W
08/05/2010 20:18:51     24.745 N     65.869 W
08/05/2010 20:20:52     24.757 N     65.873 W
08/05/2010 20:22:52     24.769 N     65.876 W
08/05/2010 20:24:51     24.782 N     65.879 W
08/05/2010 20:26:52     24.794 N     65.883 W
08/05/2010 20:28:52     24.807 N     65.887 W
08/05/2010 20:30:51     24.820 N     65.890 W
08/05/2010 20:32:51     24.833 N     65.894 W
08/05/2010 20:34:52     24.847 N     65.898 W
08/05/2010 20:36:52     24.861 N     65.902 W
08/05/2010 20:38:51     24.875 N     65.906 W
08/05/2010 20:40:51     24.889 N     65.910 W
08/05/2010 20:42:52     24.903 N     65.914 W
08/05/2010 20:44:52     24.918 N     65.918 W
08/05/2010 20:46:51     24.933 N     65.922 W
08/05/2010 20:48:30     24.946 N     65.926 W
08/05/2010 20:50:30     24.957 N     65.929 W
08/05/2010 20:52:31     24.968 N     65.932 W
08/05/2010 20:54:31     24.979 N     65.935 W
08/05/2010 20:56:30     24.990 N     65.938 W
08/05/2010 20:58:30     25.001 N     65.941 W
08/05/2010 21:00:31     25.012 N     65.944 W
08/05/2010 21:02:31     25.023 N     65.948 W
08/05/2010 21:04:30     25.034 N     65.951 W
08/05/2010 21:06:31     25.045 N     65.954 W
08/05/2010 21:08:31     25.056 N     65.957 W
08/05/2010 21:10:30     25.067 N     65.960 W
08/05/2010 21:12:30     25.078 N     65.963 W
08/05/2010 21:14:31     25.088 N     65.966 W
08/05/2010 21:16:31     25.099 N     65.969 W
08/05/2010 21:18:30     25.110 N     65.972 W
08/05/2010 21:20:30     25.121 N     65.975 W
08/05/2010 21:22:31     25.132 N     65.978 W
08/05/2010 21:24:31     25.143 N     65.981 W
08/05/2010 21:26:30     25.154 N     65.984 W
08/05/2010 21:28:30     25.164 N     65.987 W
08/05/2010 21:30:31     25.175 N     65.990 W
08/05/2010 21:32:31     25.186 N     65.993 W
08/05/2010 21:34:30     25.197 N     65.996 W
08/05/2010 21:36:31     25.208 N     65.999 W
08/05/2010 21:38:31     25.218 N     66.002 W
08/05/2010 21:40:30     25.229 N     66.005 W
08/05/2010 21:42:30     25.240 N     66.008 W
08/05/2010 21:44:31     25.251 N     66.011 W
08/05/2010 21:46:31     25.261 N     66.014 W
08/05/2010 21:48:30     25.272 N     66.017 W
08/05/2010 21:50:30     25.283 N     66.020 W
08/05/2010 21:52:31     25.293 N     66.023 W
08/05/2010 21:54:31     25.304 N     66.026 W
08/05/2010 21:56:30     25.315 N     66.029 W
08/05/2010 21:58:30     25.325 N     66.032 W
08/05/2010 22:00:31     25.336 N     66.035 W
08/05/2010 22:02:31     25.347 N     66.038 W
08/05/2010 22:04:30     25.357 N     66.041 W
08/05/2010 22:06:31     25.368 N     66.044 W
08/05/2010 22:08:31     25.378 N     66.047 W
08/05/2010 22:10:30     25.389 N     66.050 W
08/05/2010 22:12:30     25.399 N     66.052 W
08/05/2010 22:14:31     25.410 N     66.055 W
08/05/2010 22:16:31     25.420 N     66.058 W
08/05/2010 22:18:30     25.431 N     66.061 W
08/05/2010 22:20:30     25.441 N     66.064 W
08/05/2010 22:22:31     25.452 N     66.067 W
08/05/2010 22:24:31     25.462 N     66.070 W
08/05/2010 22:26:30     25.472 N     66.073 W
08/05/2010 22:28:30     25.483 N     66.076 W
08/05/2010 22:30:31     25.493 N     66.078 W
08/05/2010 22:32:31     25.504 N     66.081 W
08/05/2010 22:34:30     25.514 N     66.084 W
08/05/2010 22:36:31     25.524 N     66.087 W
08/05/2010 22:38:31     25.534 N     66.090 W
08/05/2010 22:40:30     25.545 N     66.093 W
