x,y,z
-469.44,-678.8792,94.640396
-469.44,-674.9551,95.2195
-469.44,-671.0309,95.8901
-469.44,-667.10675,97.2007
-469.44,-663.18256,97.9932
-469.44,-659.2584,99.029495
-469.44,-655.3343,99.9134
-469.44,-651.4101,100.6754
-469.44,-647.48596,100.2487
-469.44,-643.5618,101.2546
-469.44,-639.63763,100.6145
-469.44,-635.7135,101.1326
-469.44,-631.7893,100.9802
-469.44,-627.8652,101.6203
-469.44,-623.94104,102.138504
-469.44,-620.01685,101.6508
-469.44,-616.09265,102.047
-469.44,-612.1686,100.9193
-469.44,-608.2444,101.193596
-469.44,-604.3202,100.1878
-469.44,-600.3961,100.1573
-469.44,-596.4719,100.0658
-469.44,-592.5477,99.2734
-469.44,-588.6236,98.7552
-469.44,-584.6994,98.359
-469.44,-580.77527,97.7189
-469.44,-576.85114,96.6521
-469.44,-572.92694,96.012
-469.44,-569.0028,96.3168
-469.44,-565.0787,94.2442
-469.44,-561.1545,92.3239
-469.44,-557.23035,89.5807
-469.44,-553.30615,86.0146
-469.44,-549.382,83.789505
-469.44,-545.4579,84.7344
-469.44,-541.5337,88.087204
-469.44,-537.60956,88.3006
-469.44,-533.6854,88.5139
-469.44,-529.7612,88.3006
-469.44,-525.83704,88.453
-469.44,-521.9129,88.544395
-469.44,-517.9888,88.544395
-469.44,-514.0646,88.635796
-469.44,-510.14044,88.7273
-469.44,-506.2163,88.666306
-469.44,-502.29214,88.9102
-469.44,-498.36798,89.0016
-469.44,-494.44385,89.0626
-469.44,-490.51962,89.0016
-469.44,-486.59552,89.0016
-469.44,-482.67133,89.1235
-469.44,-478.74716,89.154
-469.44,-474.82306,89.0626
-469.44,-470.89886,88.9406
-469.44,-466.9747,89.0016
-469.44,-463.0506,90.068405
-469.44,-459.12637,90.8609
-469.44,-455.20224,91.7448
-469.44,-451.27808,92.1715
-469.44,-447.3539,92.567795
-469.44,-443.42978,92.7811
-469.44,-439.5056,92.903
-469.44,-435.58145,92.9335
-469.44,-431.65732,92.750595
-469.44,-427.73315,92.8116
-469.44,-423.809,92.5982
-469.44,-419.88486,93.7565
-469.44,-415.96063,93.6955
-469.44,-412.03653,93.726
-469.44,-408.11237,92.750595
-469.44,-404.1882,92.4763
-469.44,-400.26404,91.8667
-469.44,-396.3399,91.7753
-469.44,-392.4157,91.257095
-469.44,-388.49158,90.2208
-469.44,-384.5674,90.799904
-469.44,-380.64325,91.1962
-469.44,-376.7191,91.470505
-469.44,-372.79495,91.7448
-469.44,-368.8708,91.8058
-469.44,-364.94662,92.141
-469.44,-361.02246,92.3849
-469.44,-357.09833,92.5982
-469.44,-353.17413,93.0859
-469.44,-349.25,93.451706
-469.44,-345.32584,93.8479
-469.44,-341.40167,94.091805
-469.44,-337.4775,94.2137
-469.44,-333.55338,94.3966
-469.44,-329.6292,94.640396
-469.44,-325.70505,95.0671
-469.44,-321.7809,95.311
-469.44,-317.85675,95.7377
-469.44,-313.9326,96.012
-469.44,-310.00842,96.408195
-469.44,-306.0843,96.5606
-469.44,-302.1601,97.170204
-469.44,-298.23596,97.5055
-469.44,-294.3118,97.7189
-469.44,-290.38763,98.0846
-469.44,-286.46347,98.3285
-469.44,-282.5393,98.5723
-469.44,-278.61517,98.938095
-469.44,-274.691,99.242905
-469.44,-270.76685,99.4258
-469.44,-266.84268,99.730606
-469.44,-262.91855,99.9744
-469.44,-258.9944,100.340195
-469.44,-255.07022,100.827805
-469.44,-251.14604,101.1326
-469.44,-247.22192,101.3765
-469.44,-243.29776,101.3765
-469.44,-239.37358,101.6813
-469.44,-235.44942,101.5898
-469.44,-231.5253,101.864204
-469.44,-227.60112,102.138504
-469.44,-223.67696,102.3518
-469.44,-219.75278,102.6262
-469.44,-215.82866,103.0834
-469.44,-211.9045,103.327194
-469.44,-207.98032,103.571
-469.44,-204.05615,103.8454
-469.44,-200.13203,104.33299
-469.44,-196.20786,104.6074
-469.44,-192.28369,105.308395
-469.44,-188.35957,105.704605
-469.44,-184.4354,106.13139
-469.44,-180.51123,107.0458
-469.44,-176.58707,107.7773
-469.44,-172.66293,107.71629
-469.44,-168.73877,107.7773
-469.44,-164.8146,107.9297
-469.44,-160.89043,108.4174
-469.44,-156.96631,108.874596
-469.44,-153.04214,109.027
-469.44,-149.11797,109.697495
-469.44,-145.1938,109.66701
-469.44,-141.26968,109.9718
-469.44,-137.3455,110.429
-469.44,-133.42134,110.8253
-469.44,-129.49716,111.130104
-469.44,-125.573044,111.495804
-469.44,-121.64888,111.861595
-469.44,-117.72471,111.861595
-469.44,-113.80054,112.1969
-469.44,-109.87642,112.50169
-469.44,-105.95225,112.837
-469.44,-102.028076,113.3551
-469.44,-98.103905,113.69041
-469.44,-94.17979,114.025696
-469.44,-90.255615,113.9647
-469.44,-86.33144,114.665794
-469.44,-82.40727,114.5438
-469.44,-78.483154,114.879105
-469.44,-74.55898,115.001
-469.44,-70.63481,115.3058
-469.44,-66.71069,115.5192
-469.44,-62.786522,115.884995
-469.44,-58.862354,116.1593
-469.44,-54.938183,116.281204
-469.44,-51.01406,116.67741
-469.44,-47.089893,117.25661
-469.44,-43.16572,117.652794
-469.44,-39.241554,118.231895
-469.44,-35.317432,118.7501
-469.44,-31.393261,119.1463
-469.44,-27.469091,119.42061
-469.44,-23.544922,119.9998
-469.44,-19.6208,120.121704
-469.44,-15.6966305,120.335
-469.44,-11.772461,120.5484
-469.44,-7.848291,120.7313
-469.44,-3.92417,120.9446
-469.44,0.0,121.27989
-469.44,3.92417,121.4323
-469.44,7.84834,121.27989
-469.44,11.772461,121.4323
-469.44,15.6966305,121.3104
-469.44,19.6208,121.3714
-469.44,23.544971,121.3714
-469.44,27.469091,120.6094
-469.44,31.393261,120.4265
-469.44,35.317432,120.5484
-469.44,39.2416,122.22481
-469.44,43.16572,122.86491
-469.44,47.089893,123.1697
-469.44,51.01406,123.200195
-469.44,54.938183,123.26109
-469.44,58.862354,123.3221
-469.44,62.786522,123.2916
-469.44,66.71069,123.3526
-469.44,70.63481,123.382996
-469.44,74.55898,123.2916
-469.44,78.483154,122.68199
-469.44,82.407326,122.86491
-469.44,86.33144,121.1885
-469.44,90.255615,122.7734
-469.44,94.17979,123.7793
-469.44,98.10396,123.7793
