Track,for,Rina,2011,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
10/23/2011,5:54:00,14.19,N,81.399,W,3
10/23/2011,5:56:00,14.193,N,81.399,W,3
10/23/2011,5:58:00,14.197,N,81.4,W,3
10/23/2011,6:00:00,14.2,N,81.4,W,3
10/23/2011,6:01:59,14.203,N,81.4,W,3
10/23/2011,6:03:59,14.207,N,81.401,W,3
10/23/2011,6:05:59,14.21,N,81.401,W,3
10/23/2011,6:07:59,14.213,N,81.402,W,3
10/23/2011,6:09:59,14.217,N,81.402,W,3
10/23/2011,6:11:59,14.22,N,81.402,W,3
10/23/2011,6:13:59,14.223,N,81.403,W,3
10/23/2011,6:16:00,14.227,N,81.403,W,3
10/23/2011,6:18:00,14.23,N,81.404,W,3
10/23/2011,6:20:00,14.234,N,81.404,W,3
10/23/2011,6:22:00,14.237,N,81.405,W,3
10/23/2011,6:24:00,14.24,N,81.405,W,3
10/23/2011,6:26:00,14.244,N,81.405,W,3
10/23/2011,6:28:00,14.247,N,81.406,W,3
10/23/2011,6:30:00,14.25,N,81.406,W,3
10/23/2011,6:31:59,14.254,N,81.407,W,3
10/23/2011,6:33:59,14.257,N,81.407,W,3
10/23/2011,6:35:59,14.26,N,81.407,W,3
10/23/2011,6:37:59,14.264,N,81.408,W,3
10/23/2011,6:39:59,14.267,N,81.408,W,3
10/23/2011,6:41:59,14.27,N,81.409,W,3
10/23/2011,6:43:59,14.274,N,81.409,W,3
10/23/2011,6:46:00,14.277,N,81.409,W,3
10/23/2011,6:48:00,14.28,N,81.41,W,3
10/23/2011,6:50:00,14.284,N,81.41,W,3
10/23/2011,6:52:00,14.287,N,81.411,W,3
10/23/2011,6:54:00,14.291,N,81.411,W,3
10/23/2011,6:56:00,14.294,N,81.412,W,3
10/23/2011,6:58:00,14.297,N,81.412,W,3
10/23/2011,7:00:00,14.301,N,81.412,W,3
10/23/2011,7:01:59,14.304,N,81.413,W,3
10/23/2011,7:03:59,14.307,N,81.413,W,3
10/23/2011,7:05:59,14.311,N,81.414,W,3
10/23/2011,7:07:59,14.314,N,81.414,W,3
10/23/2011,7:09:59,14.317,N,81.415,W,3
10/23/2011,7:11:59,14.321,N,81.415,W,3
10/23/2011,7:13:59,14.324,N,81.415,W,3
10/23/2011,7:16:00,14.327,N,81.416,W,3
10/23/2011,7:18:00,14.331,N,81.416,W,3
10/23/2011,7:20:00,14.334,N,81.417,W,3
10/23/2011,7:22:00,14.337,N,81.417,W,3
10/23/2011,7:24:00,14.341,N,81.418,W,3
10/23/2011,7:26:00,14.344,N,81.418,W,3
10/23/2011,7:28:00,14.347,N,81.418,W,3
10/23/2011,7:30:00,14.351,N,81.419,W,3
10/23/2011,7:31:59,14.354,N,81.419,W,3
10/23/2011,7:33:59,14.357,N,81.42,W,3
10/23/2011,7:35:59,14.361,N,81.42,W,3
10/23/2011,7:37:59,14.364,N,81.421,W,3
10/23/2011,7:39:59,14.368,N,81.421,W,3
10/23/2011,7:41:59,14.371,N,81.421,W,3
10/23/2011,7:43:59,14.374,N,81.422,W,3
