Track,for,TD#14,2002,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
10/13/2002,19:58:00,14.859,N,81.955,W,-1
10/13/2002,20:00:00,14.861,N,81.958,W,-1
10/13/2002,20:01:59,14.863,N,81.961,W,-1
10/13/2002,20:04:00,14.865,N,81.964,W,-1
10/13/2002,20:06:00,14.867,N,81.967,W,-1
10/13/2002,20:07:59,14.869,N,81.97,W,-1
10/13/2002,20:09:59,14.871,N,81.973,W,-1
10/13/2002,20:12:00,14.874,N,81.976,W,-1
10/13/2002,20:14:00,14.876,N,81.979,W,-1
10/13/2002,20:15:59,14.878,N,81.982,W,-1
10/13/2002,20:17:59,14.88,N,81.985,W,-1
10/13/2002,20:20:00,14.882,N,81.988,W,-1
10/13/2002,20:22:00,14.884,N,81.991,W,-1
10/13/2002,20:23:59,14.886,N,81.994,W,-1
10/13/2002,20:25:59,14.889,N,81.997,W,-1
10/13/2002,20:28:00,14.891,N,82,W,-1
10/13/2002,20:30:00,14.893,N,82.004,W,-1
10/13/2002,20:31:59,14.895,N,82.007,W,-1
10/13/2002,20:34:00,14.897,N,82.01,W,-1
10/13/2002,20:36:00,14.899,N,82.013,W,-1
10/13/2002,20:37:59,14.901,N,82.016,W,-1
10/13/2002,20:39:59,14.903,N,82.019,W,-1
10/13/2002,20:42:00,14.906,N,82.022,W,-1
10/13/2002,20:44:00,14.908,N,82.025,W,-1
10/13/2002,20:45:59,14.91,N,82.028,W,-1
10/13/2002,20:47:59,14.912,N,82.031,W,-1
10/13/2002,20:50:00,14.914,N,82.034,W,-1
10/13/2002,20:52:00,14.916,N,82.037,W,-1
10/13/2002,20:53:59,14.918,N,82.04,W,-1
10/13/2002,20:55:59,14.921,N,82.043,W,-1
10/13/2002,20:58:00,14.923,N,82.046,W,-1
10/13/2002,21:00:00,14.925,N,82.049,W,-1
10/13/2002,21:01:59,14.927,N,82.052,W,-1
10/13/2002,21:04:00,14.929,N,82.055,W,-1
10/13/2002,21:06:00,14.931,N,82.058,W,-1
10/13/2002,21:07:59,14.933,N,82.061,W,-1
10/13/2002,21:09:59,14.936,N,82.064,W,-1
10/13/2002,21:12:00,14.938,N,82.067,W,-1
10/13/2002,21:14:00,14.94,N,82.07,W,-1
10/13/2002,21:15:59,14.942,N,82.073,W,-1
10/13/2002,21:17:59,14.944,N,82.076,W,-1
10/13/2002,21:20:00,14.946,N,82.079,W,-1
10/13/2002,21:22:00,14.948,N,82.082,W,-1
10/13/2002,21:23:59,14.951,N,82.085,W,-1
10/13/2002,21:25:59,14.953,N,82.088,W,-1
10/13/2002,21:28:00,14.955,N,82.091,W,-1
10/13/2002,21:30:00,14.957,N,82.095,W,-1
10/13/2002,21:31:59,14.959,N,82.098,W,-1
10/13/2002,21:34:00,14.961,N,82.101,W,-1
10/13/2002,21:36:00,14.963,N,82.104,W,-1
10/13/2002,21:37:59,14.966,N,82.107,W,-1
10/13/2002,21:39:59,14.968,N,82.11,W,-1
10/13/2002,21:42:00,14.97,N,82.113,W,-1
10/13/2002,21:44:00,14.972,N,82.116,W,-1
