Track,for,Tammy,2005,,,
Date,Time,(UTC),Latitude,Longitude,,Category
MM/DD/Year,HH:MM:SS,(deg),(deg),,,
10/5/2005,11:53:59,28.282,N,80.184,W,0
10/5/2005,11:56:00,28.288,N,80.189,W,0
10/5/2005,11:57:59,28.294,N,80.195,W,0
10/5/2005,12:00:00,28.3,N,80.2,W,0
10/5/2005,12:02:00,28.306,N,80.205,W,0
10/5/2005,12:03:59,28.312,N,80.211,W,0
10/5/2005,12:06:00,28.318,N,80.216,W,0
10/5/2005,12:07:59,28.325,N,80.221,W,0
10/5/2005,12:10:00,28.331,N,80.226,W,0
10/5/2005,12:11:59,28.337,N,80.232,W,0
10/5/2005,12:14:00,28.343,N,80.237,W,0
10/5/2005,12:15:59,28.349,N,80.242,W,0
10/5/2005,12:18:00,28.355,N,80.248,W,0
10/5/2005,12:19:59,28.362,N,80.253,W,0
10/5/2005,12:22:00,28.368,N,80.258,W,0
10/5/2005,12:23:59,28.374,N,80.263,W,0
10/5/2005,12:26:00,28.38,N,80.269,W,0
10/5/2005,12:27:59,28.386,N,80.274,W,0
10/5/2005,12:30:00,28.392,N,80.279,W,0
10/5/2005,12:32:00,28.399,N,80.285,W,0
10/5/2005,12:33:59,28.405,N,80.29,W,0
10/5/2005,12:36:00,28.411,N,80.295,W,0
10/5/2005,12:37:59,28.417,N,80.3,W,0
10/5/2005,12:40:00,28.423,N,80.306,W,0
10/5/2005,12:41:59,28.429,N,80.311,W,0
10/5/2005,12:44:00,28.436,N,80.316,W,0
10/5/2005,12:45:59,28.442,N,80.321,W,0
10/5/2005,12:48:00,28.448,N,80.327,W,0
10/5/2005,12:49:59,28.454,N,80.332,W,0
10/5/2005,12:52:00,28.46,N,80.337,W,0
10/5/2005,12:53:59,28.467,N,80.342,W,0
10/5/2005,12:56:00,28.473,N,80.348,W,0
10/5/2005,12:57:59,28.479,N,80.353,W,0
10/5/2005,13:00:00,28.485,N,80.358,W,0
10/5/2005,13:02:00,28.491,N,80.363,W,0
10/5/2005,13:03:59,28.497,N,80.368,W,0
10/5/2005,13:06:00,28.504,N,80.374,W,0
10/5/2005,13:07:59,28.51,N,80.379,W,0
10/5/2005,13:10:00,28.516,N,80.384,W,0
10/5/2005,13:11:59,28.522,N,80.389,W,0
10/5/2005,13:14:00,28.528,N,80.394,W,0
10/5/2005,13:15:59,28.535,N,80.399,W,0
10/5/2005,13:18:00,28.541,N,80.405,W,0
10/5/2005,13:19:59,28.547,N,80.41,W,0
10/5/2005,13:22:00,28.553,N,80.415,W,0
10/5/2005,13:23:59,28.559,N,80.42,W,0
10/5/2005,13:26:00,28.566,N,80.425,W,0
10/5/2005,13:27:59,28.572,N,80.43,W,0
10/5/2005,13:30:00,28.578,N,80.435,W,0
10/5/2005,13:32:00,28.584,N,80.44,W,0
10/5/2005,13:33:59,28.591,N,80.446,W,0
10/5/2005,13:36:00,28.597,N,80.451,W,0
10/5/2005,13:37:59,28.603,N,80.456,W,0
10/5/2005,13:40:00,28.609,N,80.461,W,0
10/5/2005,13:41:59,28.616,N,80.466,W,0
10/5/2005,13:44:00,28.622,N,80.471,W,0
